id,BluAPP200506240
info,visteam,DanAPP
info,hometeam,BluAPP
info,date,2005/06/24
start,458647,Yohan Silva,0,1,8
start,448274,Eric Campbell,0,2,5
start,488862,Yunel Escobar,0,3,6
start,461735,Manuel Rodriguez,0,4,3
start,445615,Maximiliano Ramirez,0,5,2
start,457449,Jamie Romak,0,6,9
start,488822,Quentin Davis,0,7,7
start,445632,Jose Santos,0,8,4
start,461734,Ovandy Suero,0,9,10
start,449790,Asher Demme,0,0,1
start,458568,Jonathan Tucker,1,1,5
start,459933,Robert Andrews,1,2,8
start,458593,Joey Howell,1,3,9
start,446544,Andrew Moffitt,1,4,7
start,447840,Kevin Kotch,1,5,2
start,489160,Stuart Musslewhite,1,6,6
start,489760,Rene Aqueron,1,7,4
start,473224,Joel Pacheco,1,8,3
start,488652,Miguel Abreu,1,9,10
start,471177,Wilfrido Perez,1,0,1
play,1,0,458647,,,13/G
play,1,0,448274,,,W
play,1,0,488862,,,K+SB2
play,1,0,461735,,,S8/G.2-H
play,1,0,445615,,,K
play,1,1,458568,,,63/G
play,1,1,459933,,,K
play,1,1,458593,,,K
play,2,0,457449,,,W
play,2,0,488822,,,46(1)3/GDP/G4
play,2,0,445632,,,K
play,2,1,446544,,,S7/L
play,2,1,447840,,,W.1-2
play,2,1,489160,,,8/F
play,2,1,489760,,,K+CS3
play,3,0,461734,,,K
play,3,0,458647,,,D7/F
play,3,0,448274,,,K
play,3,0,488862,,,W
play,3,0,461735,,,K
play,3,1,473224,,,S4/G
play,3,1,488652,,,K
play,3,1,458568,,,FC5/G.1X2(54);B-1
play,3,1,459933,,,8/F
play,4,0,445615,,,NP
sub,448839,Julio Soriano,1,0,1
play,4,0,445615,,,W
play,4,0,457449,,,4/P
play,4,0,488822,,,43/G.1-2
play,4,0,445632,,,E5.2-3
play,4,0,461734,,,POCS2(163);3-H
play,4,1,458593,,,8/F
play,4,1,446544,,,W
play,4,1,447840,,,K
play,4,1,489160,,,S7/F.1-2
play,4,1,489760,,,K
play,5,0,461734,,,S3/BG
play,5,0,458647,,,SB2
play,5,0,458647,,,SB3.2-H
play,5,0,458647,,,W
play,5,0,448274,,,7/F
play,5,0,488862,,,43/G.1-2
play,5,0,461735,,,9/F
play,5,1,473224,,,NP
sub,450309,Johnnie Wiggins,0,0,1
play,5,1,473224,,,7/L
play,5,1,488652,,,4/L
play,5,1,458568,,,63/G
play,6,0,445615,,,E5
play,6,0,457449,,,K
play,6,0,488822,,,FC4/G.1X2(46);B-1
play,6,0,445632,,,8/F
play,6,1,459933,,,43/G
play,6,1,458593,,,W
play,6,1,446544,,,S7/F.1-2
play,6,1,447840,,,NP
sub,452064,Dan Puente,1,5,11
play,6,1,452064,,,PB.1-2;2-3
play,6,1,452064,,,63/G.3-H
play,6,1,489160,,,S7/F.2-3
play,6,1,489760,,,NP
sub,455108,Denver Kitch,1,7,11
play,6,1,455108,,,HR/F.1-H;3-H
play,6,1,473224,,,E6/TH.B-2
play,6,1,488652,,,E4.2XH(42)
play,7,0,461734,,,NP
sub,458568,Jonathan Tucker,1,1,4
play,7,0,458647,,,NP
sub,452064,Dan Puente,1,5,2
play,7,0,448274,,,NP
sub,455108,Denver Kitch,1,7,5
play,7,0,488862,,,NP
sub,459739,Tag Horner,1,0,1
play,7,0,461734,,,K
play,7,0,458647,,,13/G
play,7,0,448274,,,63/G
play,7,1,458568,,,W
play,7,1,459933,,,K
play,7,1,458593,,,SB2
play,7,1,458593,,,K
play,7,1,446544,,,HP
play,7,1,452064,,,NP
sub,444456,Drew Jackson,0,0,1
play,7,1,452064,,,K
play,8,0,488862,,,S8/G
play,8,0,461735,,,K
play,8,0,445615,,,K
play,8,0,457449,,,7/F
play,8,1,489160,,,7/L
play,8,1,455108,,,K
play,8,1,473224,,,W
play,8,1,488652,,,9/F
play,9,0,488822,,,63/G
play,9,0,445632,,,T7/F
play,9,0,461734,,,K
play,9,0,458647,,,43/G
id,BluAPP200506250
info,visteam,DanAPP
info,hometeam,BluAPP
info,date,2005/06/25
start,488822,Quentin Davis,0,1,8
start,445632,Jose Santos,0,2,10
start,448274,Eric Campbell,0,3,5
start,488862,Yunel Escobar,0,4,6
start,461735,Manuel Rodriguez,0,5,3
start,445615,Maximiliano Ramirez,0,6,2
