id,AanAZL200506230
info,visteam,AmaAZL
info,hometeam,AanAZL
info,date,2005/06/23
start,451587,Jeffrey Dominguez,0,1,6
start,463622,Ronald Garth,0,2,4
start,449813,Samuel Bradford Jr.,0,3,8
start,473295,Jairo Hernandez,0,4,9
start,488902,Kevin Gergel,0,5,10
start,471897,Gregory Halman,0,6,7
start,468381,Leury Bonilla,0,7,5
start,445049,Andrew Hargrove,0,8,3
start,462517,Kent Dixon,0,9,2
start,456681,Harold Williams,0,0,1
start,448257,Josh Leblanc,1,1,8
start,457756,Patrick Phillips,1,2,6
start,457116,Josh Davies,1,3,4
start,489283,Darrell Sales,1,4,5
start,408054,Tom Gregorio,1,5,2
start,456505,John Ryan,1,6,3
start,444939,Grant Harper,1,7,10
start,488889,Cody Fuller,1,8,9
start,489135,Jerome Moore,1,9,7
start,456493,Felipe Arredondo,1,0,1
play,1,0,451587,,,7/F
play,1,0,463622,,,8/F
play,1,0,449813,,,W
play,1,0,473295,,,CS2
play,1,1,448257,,,K
play,1,1,457756,,,4/P
play,1,1,457116,,,43/G
play,2,0,473295,,,D7/L
play,2,0,488902,,,K
play,2,0,471897,,,K
play,2,0,468381,,,W
play,2,0,445049,,,HR/F.1-H;2-H
play,2,0,462517,,,W
play,2,0,451587,,,K
play,2,1,489283,,,S6/G
play,2,1,408054,,,7/F
play,2,1,456505,,,SB2
play,2,1,456505,,,9/F
play,2,1,placeholder,,,PO2(?6)
play,3,0,463622,,,HP
play,3,0,449813,,,NP
sub,465680,Juan Guzman,0,2,12
play,3,0,449813,,,WP.1-2
play,3,0,449813,,,D9/L.2-H
play,3,0,473295,,,K
play,3,0,488902,,,K
play,3,0,471897,,,53/G
play,3,1,placeholder,,,NP
sub,465680,Juan Guzman,0,2,4
play,3,1,444939,,,63/G
play,3,1,488889,,,S9/G
play,3,1,489135,,,SB2
play,3,1,489135,,,W
play,3,1,448257,,,D7/F.1-H;2-H
play,3,1,457756,,,FLE3/PF
play,3,1,457756,,,WP.2-3
play,3,1,457756,,,K23
play,3,1,457116,,,7/F
play,4,0,468381,,,K
play,4,0,445049,,,S8/G
play,4,0,462517,,,D7/G.1-3
play,4,0,451587,,,8/F
play,4,0,465680,,,8/F
play,4,1,489283,,,S8/G
play,4,1,408054,,,E5.1-2
play,4,1,456505,,,8/F
play,4,1,444939,,,64(1)3/GDP/G6
play,5,0,449813,,,NP
sub,445190,Richard Bambino,1,5,2
play,5,0,473295,,,NP
sub,456397,Amalio Diaz,1,0,1
play,5,0,449813,,,31/G
play,5,0,473295,,,W
play,5,0,488902,,,6(1)3/G6/GDP
play,5,1,488889,,,NP
sub,458216,Juan Zapata,0,0,1
play,5,1,488889,,,8/F
play,5,1,489135,,,43/G
play,5,1,448257,,,K
play,6,0,471897,,,13/G
play,6,0,468381,,,K
play,6,0,445049,,,W
play,6,0,462517,,,K
play,6,1,457756,,,S6/G
play,6,1,457116,,,S7/G.1-3(E5)(E5);B-2
play,6,1,489283,,,4/P
play,6,1,445190,,,E5.2-H(E2);3-H
play,6,1,456505,,,3/G.1-2
play,6,1,444939,,,HR/F.2-H
play,6,1,488889,,,7/F
play,7,0,451587,,,63/G
play,7,0,465680,,,63/G
play,7,0,449813,,,HR/F
play,7,0,473295,,,53/G
play,7,1,489135,,,S7/G
play,7,1,448257,,,FC4/G.1X2(46);B-1
play,7,1,457756,,,SB2
play,7,1,457756,,,43/G.2-3
play,7,1,457116,,,S6/L.3-H
play,7,1,489283,,,K
play,8,0,488902,,,7/F
play,8,0,471897,,,53/G
play,8,0,468381,,,6/L
play,8,1,445190,,,NP
sub,446660,Daniel Schwab,0,0,1
play,8,1,445190,,,9/F
play,8,1,456505,,,W
play,8,1,444939,,,FC6/G.1X2(64);B-1
play,8,1,488889,,,W.1-2
play,8,1,489135,,,3/G
play,9,0,445049,,,NP
sub,451753,Pedro Herrera,1,0,1
play,9,0,445049,,,W
play,9,0,placeholder,,,NP
sub,448816,Marquise Liverpool,0,8,12
play,9,0,462517,,,S7/G.1-2
play,9,0,451587,,,FC1/G.1-2;2X3(15);B-1
play,9,0,465680,,,8/F
play,9,0,449813,,,K
id,AanAZL200506260
info,visteam,AraAZL
info,hometeam,AanAZL
info,date,2005/06/26
start,473248,Jose Vallejo,0,1,4
start,457079,Truan Mehl,0,2,7
start,283161,Josue Perez,0,3,9
start,488949,Phillip Hawke,0,4,3
start,488804,Benjamin Crabtree,0,5,10
start,450855,Mauro Gomez,0,6,5
start,458727,Roberto Valiente,0,7,8
start,444489,Manuel Pina,0,8,2
start,473250,Aneuris Carvajal,0,9,6
start,457779,Michael Kirkman,0,0,1
start,488889,Cody Fuller,1,1,9
start,457756,Patrick Phillips,1,2,6
start,457116,Josh Davies,1,3,5
start,456505,Matt Ryan,1,4,3
start,408054,Tom Gregorio,1,5,2
start,446574,Tyler Johnson,1,6,7
start,444939,Grant Harper,1,7,10
start,467680,Johan Silva,1,8,4
start,489135,Jeremy Moore,1,9,8
start,444440,Nicholas Adenhart,1,0,1
play,1,0,473248,,,W
play,1,0,457079,,,FC4/G.1X2(46);B-1
play,1,0,283161,,,6(1)3/G6/GDP
play,1,1,488889,,,W
play,1,1,457756,,,S9/F.1-2
play,1,1,457116,,,E4.1-2;2-3
play,1,1,456505,,,FC5/G.1-3;2X3(5);3-H;B-2(E5/TH)
play,1,1,408054,,,S8/F.2-3;3-H
play,1,1,446574,,,K
play,1,1,444939,,,53/G
play,2,0,488949,,,43/G
play,2,0,488804,,,43/G
play,2,0,450855,,,W
play,2,0,458727,,,K
play,2,1,467680,,,3/G
play,2,1,489135,,,K
play,2,1,488889,,,S7/F
play,2,1,457756,,,SB2
play,2,1,457756,,,PB.2-3
play,2,1,457756,,,W
play,2,1,457116,,,SB2
play,2,1,457116,,,E5/TH.2-H;3-H;B-2
play,2,1,456505,,,NP
sub,446945,Edwin Vera,0,0,1
play,2,1,456505,,,43/G
play,3,0,placeholder,,,NP
sub,446657,Mitchell Arnold,1,0,1
play,3,0,444489,,,K
play,3,0,473250,,,K
play,3,0,473248,,,K
play,3,1,408054,,,K
play,3,1,446574,,,31/G
play,3,1,444939,,,K
play,4,0,457079,,,NP
sub,451753,Pedro Herrera,1,0,1
play,4,0,457079,,,S8/F
play,4,0,283161,,,D8/F.1-H
play,4,0,488949,,,43/G.2-3
play,4,0,488804,,,63/G.3-H
play,4,0,450855,,,W
play,4,0,458727,,,FC6/G.1X2(64)
play,4,1,467680,,,3/L
play,4,1,489135,,,S9/F
play,4,1,488889,,,CS2
play,4,1,488889,,,HP
play,4,1,457756,,,43/G
play,5,0,444489,,,3/G
play,5,0,473250,,,53/G
play,5,0,473248,,,T8/F
play,5,0,457079,,,63/G
play,5,1,457116,,,E6/TH
play,5,1,456505,,,WP.1-2
play,5,1,456505,,,S8/F.2-3
play,5,1,408054,,,K
play,5,1,446574,,,K+SBH;SB2
play,5,1,444939,,,K
play,6,0,283161,,,NP
sub,445190,Richard Bambino,1,5,2
play,6,0,283161,,,NP
sub,453555,Jose Torres,0,3,11
play,6,0,453555,,,W
play,6,0,488949,,,SB2
play,6,0,488949,,,43/G.2-3
play,6,0,488804,,,S9/F.3-H
play,6,0,450855,,,PO1(13)
play,6,0,450855,,,53/G
play,6,1,467680,,,NP
sub,453555,Jose Torres,0,3,9
play,6,1,489135,,,NP
sub,458941,Cain Byrd,0,0,1
play,6,1,467680,,,D7/F
play,6,1,489135,,,K
play,6,1,488889,,,S8/F.2XH;B-2
play,6,1,457756,,,6/L
play,7,0,458727,,,S8/G
play,7,0,444489,,,W.1-2
play,7,0,473250,,,NP
sub,467681,Felix Gamboa,1,0,1
play,7,0,473250,,,SB3;SB2
play,7,0,473250,,,K
play,7,0,473248,,,D8/F.2-H;3-H
play,7,0,457079,,,K
play,7,0,453555,,,K
play,7,1,457116,,,53/G
play,7,1,456505,,,D8/F
play,7,1,445190,,,S8/F.2-H
play,7,1,446574,,,K
play,7,1,444939,,,K
play,8,0,488949,,,K.B-1(E2/TH)
play,8,0,488804,,,E1.1-2
play,8,0,450855,,,E5/TH.1-2;2-3
play,8,0,458727,,,K
play,8,0,444489,,,FC4/G.1X2(46);2-3;3-H;B-1
play,8,0,473250,,,53/G
play,8,1,467680,,,NP
sub,452005,William Rodriguez,0,0,1
play,8,1,467680,,,K23
play,8,1,489135,,,W
play,8,1,488889,,,T8/F.1-H
play,8,1,457756,,,S9/F.3-H
play,8,1,457116,,,BK.1-2
play,8,1,457116,,,9/F
play,8,1,456505,,,43/G
play,9,0,473248,,,NP
sub,456397,Amalio Diaz,1,0,1
play,9,0,473248,,,E6
play,9,0,457079,,,K
play,9,0,453555,,,PB.1-2
play,9,0,453555,,,K
play,9,0,488949,,,7/F
id,AanAZL200506270
info,visteam,AatAZL
info,hometeam,AanAZL
info,date,2005/06/27
start,457136,Samuel Hernandez,0,1,6
start,465017,Alexander Valdez,0,2,5
start,488988,Benjamin Ingold,0,3,10
start,448856,Ramon Alvarado,0,4,7
start,450856,Carlos Morales,0,5,3
start,447740,Ramiro Mendez,0,6,9
start,489029,Michael Klug,0,7,4
start,446663,Pedro Maldonado,0,8,2
start,448260,Andre Piper-Jordan,0,9,8
start,136268,Chad Bradford,0,0,1
start,488889,Cody Fuller,1,1,7
start,457756,Patrick Phillips,1,2,4
start,489283,Darrell Sales,1,3,5
start,456505,John Ryan,1,4,3
start,408054,Tom Gregorio,1,5,2
start,456483,Larry Infante,1,6,6
start,450288,Luis Rivera,1,7,9
start,455117,Martin Maldonado,1,8,10
start,489135,Jerome Moore,1,9,8
start,456482,Gustavo Espinoza,1,0,1
play,1,0,457136,,,8/F
play,1,0,465017,,,6/P
play,1,0,488988,,,T8/F
play,1,0,448856,,,K
play,1,1,488889,,,S7/F
play,1,1,457756,,,K
play,1,1,489283,,,CS2
play,1,1,489283,,,53/G
play,2,0,450856,,,K
play,2,0,447740,,,S7/F
play,2,0,489029,,,9/F
play,2,0,446663,,,D7/F.1-H
play,2,0,448260,,,2/PF
play,2,1,placeholder,,,NP
sub,488884,TJ Franco Jr.,0,0,1
play,2,1,456505,,,43/G
play,2,1,408054,,,63/G
play,2,1,456483,,,D7/F
play,2,1,450288,,,WP.2-3
play,2,1,450288,,,K
play,3,0,457136,,,S9/F
play,3,0,465017,,,POCS2(136)
play,3,0,465017,,,3/P
play,3,0,488988,,,63/G
play,3,1,455117,,,6/P
play,3,1,489135,,,K
