id,LanCAL200504120
info,visteam,SanCAL
info,hometeam,LanCAL
info,date,2005/04/12
start,435626,Clay Timpner,0,1,8
start,435623,Kevin Frandsen,0,2,4
start,448170,Travis Ishikawa,0,3,3
start,452245,Eddy Martinez-Esteve,0,4,10
start,425769,Eliezer Alfonzo,0,5,2
start,435625,Nate Schierholtz,0,6,9
start,435624,John Bowker,0,7,7
start,430925,Todd Jennings,0,8,5
start,446659,Aaron Hornostaj,0,9,6
start,446880,Ben Thurmond,0,0,1
start,450294,Erik Schindewolf,1,1,4
start,449805,Jeff Cook,1,2,9
start,452080,William Carter,1,3,3
start,446652,Alex Frazier,1,4,7
start,471083,Miguel Montero,1,5,2
start,448686,Jay Garthwaite,1,6,10
start,454453,Edgar Varela,1,7,5
start,470364,Lino Garcia,1,8,8
start,462950,Danny Richar,1,9,6
start,452241,Garrett Mock,1,0,1
play,1,0,435626,,,D9/F
play,1,0,435623,,,43/G.2-3
play,1,0,448170,,,WP.3-H
play,1,0,448170,,,K
play,1,0,452245,,,S9/F
play,1,0,425769,,,S8/F.1-2
play,1,0,435625,,,S7/F.1-2;2-H
play,1,0,435624,,,5/PF
play,1,1,450294,,,W
play,1,1,449805,,,S9/G.1-2
play,1,1,452080,,,6/P
play,1,1,446652,,,5(2)3/G5/GDP
play,2,0,430925,,,53/G
play,2,0,446659,,,K
play,2,0,435626,,,K
play,2,1,471083,,,K
play,2,1,448686,,,S5/G
play,2,1,454453,,,CS2
play,2,1,454453,,,K
play,3,0,435623,,,43/G
play,3,0,448170,,,HP
play,3,0,452245,,,W.1-2
play,3,0,425769,,,S8/F.1-3;2-H;B-2
play,3,0,435625,,,6/P
play,3,0,435624,,,4/P
play,3,1,470364,,,K
play,3,1,462950,,,E2/TH.B-2
play,3,1,450294,,,6(B)64(2)/LDP
play,4,0,430925,,,63/G
play,4,0,446659,,,K
play,4,0,435626,,,S4/G
play,4,0,435623,,,FC4/G.1X2(4)
play,4,1,449805,,,D7/F
play,4,1,452080,,,S9/F.2-3
play,4,1,446652,,,HR/F.1-H;3-H
play,4,1,471083,,,HR/F
play,4,1,448686,,,S8/F
play,4,1,454453,,,NP
sub,459401,Jeffrey Petersen,0,0,1
play,4,1,454453,,,36(1)3/GDP/G3
play,4,1,470364,,,63/G
play,5,0,448170,,,K
play,5,0,452245,,,9/L
play,5,0,425769,,,S8/F
play,5,0,435625,,,8/F
play,5,1,462950,,,K
play,5,1,450294,,,W
play,5,1,449805,,,8/F
play,5,1,452080,,,53/G
play,6,0,435624,,,43/G
play,6,0,430925,,,13/G
play,6,0,446659,,,9/L
play,6,1,446652,,,K
play,6,1,471083,,,4/L
play,6,1,448686,,,K
play,7,0,435626,,,43/G
play,7,0,435623,,,13/G
play,7,0,448170,,,6/P
play,7,1,454453,,,NP
sub,459403,Jonathan Coutlangus,0,0,1
play,7,1,454453,,,S7/F
play,7,1,470364,,,FC1/B.1X2(16);B-1
play,7,1,462950,,,S8/F.1-2
play,7,1,450294,,,WP.1-2;2-3
play,7,1,450294,,,W
play,7,1,449805,,,8/SF.1-2;2-3;3-H
play,7,1,452080,,,43/G
play,8,0,452245,,,NP
sub,449094,Jered Liebeck,1,0,1
play,8,0,452245,,,K
play,8,0,425769,,,K
play,8,0,435625,,,13/G
play,8,1,446652,,,D7/F
play,8,1,471083,,,WP.2-3
play,8,1,471083,,,13/G
play,8,1,448686,,,NP
sub,445070,Juan Serrato,0,0,1
play,8,1,448686,,,S9/F.3-H
play,8,1,454453,,,FC3/G.1X2(34);B-1
play,8,1,470364,,,FC6/G.1X2(64)
play,9,0,435624,,,NP
sub,457835,Dustin Glant,1,0,1
play,9,0,435624,,,63/G
play,9,0,430925,,,53/G
play,9,0,446659,,,S7/F
play,9,0,435626,,,6/P
id,LanCAL200504130
info,visteam,SanCAL
info,hometeam,LanCAL
info,date,2005/04/13
start,435626,Clay Timpner,0,1,8
start,435623,Kevin Frandsen,0,2,4
start,448170,Travis Ishikawa,0,3,3
start,452245,Eddy Martinez-Esteve,0,4,10
start,425769,Eliezer Alfonzo,0,5,2
start,435625,Nate Schierholtz,0,6,9
start,446879,Michael Wagner,0,7,7
start,430925,Todd Jennings,0,8,5
start,425824,Angel Chavez,0,9,6
start,448623,Garrett Broshuis,0,0,1
start,450294,Erik Schindewolf,1,1,4
start,449805,Jeff Cook,1,2,9
start,452080,William Carter,1,3,3
start,446652,Alex Frazier,1,4,7
start,471083,Miguel Montero,1,5,2
start,448686,Jay Garthwaite,1,6,10
start,451790,Steve Garrabrants,1,7,5
start,470364,Lino Garcia,1,8,8
start,462950,Danny Richar,1,9,6
start,459372,Jonathan Castellanos,1,0,1
play,1,0,435626,,,5/PF
play,1,0,435623,,,9/F
play,1,0,448170,,,K
play,1,1,450294,,,S7/L
play,1,1,449805,,,K
play,1,1,452080,,,64(1)3/GDP/G6
play,2,0,452245,,,W
play,2,0,425769,,,HP.1-2
play,2,0,435625,,,7/F
play,2,0,446879,,,HR/F.1-H;2-H
play,2,0,430925,,,53/G
play,2,0,425824,,,63/G
play,2,1,446652,,,S6/G.BX2(64)
play,2,1,471083,,,S9/L
play,2,1,448686,,,T8/F.1-H
play,2,1,451790,,,S6/G.3-H
play,2,1,470364,,,7/F
play,2,1,462950,,,43/G
play,3,0,435626,,,S8/L
play,3,0,435623,,,54(1)3/GDP/G5
play,3,0,448170,,,S9/L
play,3,0,452245,,,8/F
play,3,1,450294,,,4/P
play,3,1,449805,,,T8/F
play,3,1,452080,,,43/G.3-H
play,3,1,446652,,,HP
play,3,1,471083,,,D9/F.1-H
play,3,1,448686,,,8/F
play,4,0,425769,,,K
play,4,0,435625,,,S9/F
play,4,0,446879,,,S7/L.1-2
play,4,0,430925,,,FC6/G.1X2(64);2-3;B-1
play,4,0,425824,,,SB2
play,4,0,425824,,,13/G
play,4,1,451790,,,D7/F
play,4,1,470364,,,WP.2-3
play,4,1,470364,,,53/G
play,4,1,462950,,,S8/L.3-H
play,4,1,450294,,,W.1-2
play,4,1,449805,,,7/F
play,4,1,452080,,,53/G
play,5,0,435626,,,K
play,5,0,435623,,,53/G
play,5,0,448170,,,K
play,5,1,446652,,,S8/L
play,5,1,471083,,,WP.1-2
play,5,1,471083,,,E7.2-3;B-2
play,5,1,448686,,,63/G.2-3;3-H
play,5,1,451790,,,E6.3-H
play,5,1,470364,,,S7/L.1-3
play,5,1,462950,,,NP
sub,448651,Nathan Pendley,0,0,1
play,5,1,462950,,,WP.1-2;3-H
play,5,1,462950,,,W
play,5,1,450294,,,K
play,5,1,449805,,,3/G
play,6,0,452245,,,53/G
play,6,0,425769,,,S7/L
play,6,0,435625,,,7/F
play,6,0,446879,,,53/G
play,6,1,452080,,,7/F
play,6,1,446652,,,9/F
play,6,1,471083,,,8/F
play,7,0,430925,,,K
play,7,0,425824,,,S9/L
play,7,0,435626,,,31/G.1-2
play,7,0,435623,,,9/F
play,7,1,448686,,,9/F
play,7,1,451790,,,K
play,7,1,470364,,,S7/F
play,7,1,462950,,,W.1-2
play,7,1,450294,,,43/G
play,8,0,448170,,,NP
sub,461351,Reuben Kerbs,1,0,1
play,8,0,448170,,,5/P
play,8,0,452245,,,D9/F
play,8,0,425769,,,HR/F.2-H
play,8,0,435625,,,E4
play,8,0,446879,,,NP
sub,448157,Ryan Coffin,1,0,1
play,8,0,446879,,,D7/F.1-3
play,8,0,430925,,,K
play,8,0,425824,,,13/G
play,8,1,449805,,,NP
sub,453957,Justin Hedrick,0,0,1
play,8,1,449805,,,D9/F
play,8,1,452080,,,9/F.2-3
play,8,1,446652,,,K
play,8,1,471083,,,WP.3-H
play,8,1,471083,,,43/G
play,9,0,435626,,,W
play,9,0,435623,,,64(1)3/GDP/G6
play,9,0,448170,,,W
play,9,0,452245,,,9/F
id,LanCAL200504140
info,visteam,SanCAL
info,hometeam,LanCAL
info,date,2005/04/14
start,435626,Clay Timpner,0,1,8
start,435623,Kevin Frandsen,0,2,4
start,435624,John Bowker,0,3,7
start,425769,Eliezer Alfonzo,0,4,10
start,425824,Angel Chavez,0,5,6
start,446879,Michael Wagner,0,6,9
start,276534,Guillermo Rodriguez,0,7,2
start,455962,Pat Dobson,0,8,3
start,446659,Aaron Hornostaj,0,9,5
start,455960,Jesse Floyd,0,0,1
start,450294,Erik Schindewolf,1,1,4
start,449805,Jeff Cook,1,2,9
start,452080,Chris Carter,1,3,3
start,446652,Alex Frazier,1,4,7
start,471083,Miguel Montero,1,5,2
start,448686,Jay Garthwaite,1,6,10
start,451790,Steve Garrabrants,1,7,5
start,451576,Derek Bruce,1,8,6
start,470364,Lino Garcia,1,9,8
start,445621,Chad Scarbery,1,0,1
play,1,0,435626,,,43/G
play,1,0,435623,,,13/G
play,1,0,435624,,,S7/G
play,1,0,425769,,,S8/G.1-3
play,1,0,425824,,,S8/G.1-3;3-H
play,1,0,446879,,,53/G
play,1,1,450294,,,W
play,1,1,449805,,,9/F
play,1,1,452080,,,S7/G.1-2
play,1,1,446652,,,7/F
play,1,1,471083,,,7/F
play,2,0,276534,,,HP
play,2,0,455962,,,6(1)3/G6/GDP
play,2,0,446659,,,13/G
play,2,1,448686,,,43/G
play,2,1,451790,,,W
play,2,1,451576,,,64(1)3/GDP/G6
play,3,0,435626,,,HP
play,3,0,435623,,,CS2
play,3,0,435623,,,S8/G
play,3,0,435624,,,W.1-2
play,3,0,425769,,,HP.1-2;2-3
play,3,0,425824,,,FC4/G.1X2(4);2-3;3-H;B-1
play,3,0,446879,,,SB2
play,3,0,446879,,,K
play,3,1,470364,,,5/PF
play,3,1,450294,,,7/F
play,3,1,449805,,,53/G
play,4,0,276534,,,13/G
play,4,0,455962,,,13/BG
play,4,0,446659,,,23/BG
play,4,1,452080,,,K
play,4,1,446652,,,8/F
play,4,1,471083,,,W
play,4,1,448686,,,FC5/G.1X2(54)
play,5,0,435626,,,K
play,5,0,435623,,,W
play,5,0,435624,,,S7/G.1-2
play,5,0,425769,,,9/F
play,5,0,425824,,,FC5/G.2X3(5)
play,5,1,451790,,,8/L
play,5,1,451576,,,S3/G
play,5,1,470364,,,9/F
play,5,1,450294,,,6/P
play,6,0,446879,,,7/F
play,6,0,276534,,,9/F
play,6,0,455962,,,K
play,6,1,449805,,,7/F
play,6,1,452080,,,S8/G
play,6,1,446652,,,64(1)3/GDP/G6
play,7,0,446659,,,53/G
play,7,0,435626,,,S6/G
play,7,0,435623,,,SB2
play,7,0,435623,,,K
play,7,0,435624,,,5/P
play,7,1,471083,,,NP
sub,457910,Eugene Espineli,0,0,1
play,7,1,471083,,,K
play,7,1,448686,,,K
play,7,1,451790,,,8/F
play,8,0,425769,,,NP
sub,454622,Ryan Holsten,1,0,1
play,8,0,425769,,,63/G
play,8,0,425824,,,HR/F
play,8,0,446879,,,S8/G
play,8,0,276534,,,S5/G.1-2
play,8,0,455962,,,HP.1-2;2-3
play,8,0,446659,,,NP
sub,459692,Carlton Wells,1,0,1
play,8,0,446659,,,2/P
play,8,0,435626,,,K
play,8,1,451576,,,NP
sub,452211,Jonny Kaplan,1,8,11
play,8,1,452211,,,K
play,8,1,470364,,,53/G
play,8,1,450294,,,K
play,9,0,435623,,,NP
