id,KinCAR200504080
info,visteam,WinCAR
info,hometeam,KinCAR
info,date,2005/04/08
start,451515,Ricardo Nanita,0,1,8
start,449804,Robert Valido,0,2,6
start,468327,Norm Martel Jr,0,3,7
start,440364,Leo Daigle,0,4,3
start,454608,Travis Hinton,0,5,10
start,451695,Micah Schnurstein,0,6,5
start,457988,Thomas Collaro,0,7,9
start,435238,Gustavo Molina,0,8,2
start,453497,Christopher Amador,0,9,4
start,452217,Wesley Whisler,0,0,1
start,444514,Nathan Panther,1,1,7
start,449775,Brandon Pinckney,1,2,6
start,430957,Brad Snyder,1,3,8
start,450260,Kevin Kouzmanoff,1,4,10
start,457830,Ryan Goleski,1,5,9
start,444515,Shaun Larkin,1,6,5
start,430955,David Wallace,1,7,2
start,453892,Ryan Mulhern,1,8,3
start,444340,Micah Schilling,1,9,4
start,445939,Nick Pesco,1,0,1
play,1,0,451515,,,S4/G
play,1,0,449804,,,K
play,1,0,468327,,,FC6/G.1X2(64);B-1
play,1,0,440364,,,S9/G.1-3
play,1,0,454608,,,43/G
play,1,1,444514,,,53/G
play,1,1,449775,,,63/G
play,1,1,430957,,,63/G
play,2,0,451695,,,63/G
play,2,0,457988,,,K
play,2,0,435238,,,6/P
play,2,1,450260,,,K23
play,2,1,457830,,,63/G
play,2,1,444515,,,S8/G
play,2,1,430955,,,D7/F.1-3
play,2,1,453892,,,K
play,3,0,453497,,,9/F
play,3,0,451515,,,5/P
play,3,0,449804,,,K
play,3,1,444340,,,K
play,3,1,444514,,,K
play,3,1,449775,,,9/F
play,4,0,468327,,,53/G
play,4,0,440364,,,D7/F
play,4,0,454608,,,8/F
play,4,0,451695,,,D8/F.2-H
play,4,0,457988,,,43/G
play,4,1,430957,,,63/G
play,4,1,450260,,,W
play,4,1,457830,,,E5/TH.1-3
play,4,1,444515,,,5/PF
play,4,1,430955,,,S8/G.1-2;3-H
play,4,1,453892,,,7/F
play,5,0,435238,,,43/G
play,5,0,453497,,,K
play,5,0,451515,,,43/G
play,5,1,444340,,,K
play,5,1,444514,,,9/F
play,5,1,449775,,,HR/F
play,5,1,430957,,,53/G
play,6,0,449804,,,S8/G
play,6,0,468327,,,FC4/G.1X2(4);B-1
play,6,0,440364,,,4(1)3/G4/GDP
play,6,1,450260,,,NP
sub,455924,Juan Ovalles,0,0,1
play,6,1,450260,,,T9/L
play,6,1,457830,,,K
play,6,1,444515,,,K
play,6,1,430955,,,HR/L.3-H
play,6,1,453892,,,K
play,7,0,454608,,,NP
sub,453891,Matt Davis,1,0,1
play,7,0,454608,,,3/G
play,7,0,451695,,,K
play,7,0,457988,,,K
play,7,1,444340,,,NP
sub,452730,Fraser Dizard,0,0,1
play,7,1,444340,,,K
play,7,1,444514,,,3/G
play,7,1,449775,,,43/G
