id,TreEL200505060
info,visteam,AltEL
info,hometeam,TreEL
info,date,2005/05/06
start,434658,Rajai Davis,0,1,8
start,444839,Craig Stansberry,0,2,4
start,113941,Tom Evans,0,3,10
start,455650,Josh Bonifay,0,4,3
start,430832,Jose Bautista,0,5,5
start,430041,Ray Sadler,0,6,9
start,433593,Jorge Cortes,0,7,7
start,430961,Carlos Maldonado,0,8,2
start,454990,Taber Lee,0,9,6
start,431149,Matt Peterson,0,0,1
start,453911,Kevin Thompson,1,1,7
start,451668,Gabe Lopez,1,2,4
start,466320,Melky Cabrera,1,3,8
start,455167,Shelly Duncan,1,4,3
start,449080,Eric Duncan,1,5,5
start,462375,Andy Cannizaro,1,6,6
start,450363,Bronson Sardinha,1,7,9
start,435408,Omir Santos,1,8,2
start,430577,Yobal Duenas,1,9,10
start,408300,Danny Borrell,1,0,1
play,1,0,434658,,,K
play,1,0,444839,,,S9/F
play,1,0,113941,,,64(1)3/GDP/G6
play,1,1,453911,,,D7/F
play,1,1,451668,,,W
play,1,1,466320,,,K
play,1,1,455167,,,7/F.2-3
play,1,1,449080,,,D9/F.1-H;3-H
play,1,1,462375,,,S5/G.2-3
play,1,1,450363,,,6/P
play,2,0,455650,,,D7/F
play,2,0,430832,,,63/G
play,2,0,430041,,,S8/G.2-H
play,2,0,433593,,,CS2
play,2,0,433593,,,8/F
play,2,1,435408,,,W
play,2,1,430577,,,WP.1-2
play,2,1,430577,,,T9/F.2-H
play,2,1,453911,,,S6/G.3-H
play,2,1,451668,,,SB2
play,2,1,451668,,,7/F.2-3
play,2,1,466320,,,41/G.3-H
play,2,1,455167,,,9/F
play,3,0,430961,,,7/F
play,3,0,454990,,,K
play,3,0,434658,,,31/G
play,3,1,449080,,,W
play,3,1,462375,,,D7/L.1-H
play,3,1,450363,,,5/P
play,3,1,435408,,,HR/F.2-H
play,3,1,430577,,,K
play,3,1,453911,,,63/G
play,4,0,444839,,,D7/L
play,4,0,113941,,,W
play,4,0,455650,,,W.1-2;2-3
play,4,0,430832,,,K
play,4,0,430041,,,K
play,4,0,433593,,,S7/G.1-2;2-H;3-H
play,4,0,430961,,,BK.1-2;2-3
play,4,0,430961,,,K
play,4,1,451668,,,NP
sub,407996,Ben Shaffar,0,0,1
play,4,1,451668,,,53/G
play,4,1,466320,,,43/G
play,4,1,455167,,,63/G
play,5,0,454990,,,4/P
play,5,0,434658,,,3/G
play,5,0,444839,,,9/F
play,5,1,449080,,,W
play,5,1,462375,,,S9/F.1-3
play,5,1,450363,,,43/G.1-2;3-H
play,5,1,435408,,,K
play,5,1,430577,,,4/P
play,6,0,113941,,,NP
sub,447797,Ben Julianel,1,0,1
