id,VerFSL200504080
info,visteam,St.FSL
info,hometeam,VerFSL
info,date,2005/04/08
start,444141,Corey Ragsdale,0,1,6
start,457991,Jamar Hill,0,2,9
start,451186,Lastings Milledge,0,3,8
start,444107,Brett Harper,0,4,3
start,452665,Shawn Bowman,0,5,5
start,458650,Alhaji Turay,0,6,7
start,451791,Andy Wilson,0,7,2
start,444542,Blake Whealy,0,8,4
start,451471,Yunir Garcia,0,9,2
start,444858,Vincent Cordova,0,0,1
start,473234,Tony Abreu,1,1,4
start,464341,Chin-lung Hu,1,2,6
start,431143,Edwin Bellorin,1,3,2
start,451188,Andy LaRoche,1,4,5
start,451588,Cory Dunlap,1,5,3
start,449159,Anthony Raglani,1,6,9
start,425767,Mike Nixon,1,7,7
start,451125,Mayke Cabrera,1,8,10
start,451640,Ryan Russ,1,9,8
start,469151,Julio Cesar Pimentel,1,0,1
play,1,0,444141,,,S8/F
play,1,0,457991,,,FC4/G.1X2(46);B-1
play,1,0,451186,,,S8/F.1-2
play,1,0,444107,,,FC3/G.1X2(36);2-H;B-1(E6/TH)
play,1,0,452665,,,63/G
play,1,1,473234,,,7/F
play,1,1,464341,,,K
play,1,1,431143,,,S8/F
play,1,1,451188,,,S9/F.1-2
play,1,1,451588,,,8/F
play,2,0,458650,,,K
play,2,0,451791,,,T8/F
play,2,0,444542,,,W
play,2,0,451471,,,7/SF.3-H
play,2,0,444141,,,53/G
play,2,1,449159,,,S8/F
play,2,1,425767,,,FC6/G.1X2(64);B-1
play,2,1,451125,,,S8/F.1-2
play,2,1,451640,,,K
play,2,1,473234,,,9/F
play,3,0,457991,,,D8/F
play,3,0,451186,,,64/G
play,3,0,444107,,,S8/F.2-H
play,3,0,452665,,,S7/F.1-2
play,3,0,458650,,,S7/F.1-3;2XH
play,3,0,451791,,,HR/F.1-H;3-H
play,3,0,444542,,,D8/F
play,3,0,451471,,,W
play,3,0,444141,,,NP
sub,451173,Casey Hoorelbeke,1,0,1
play,3,0,444141,,,K
play,3,1,464341,,,63/G
play,3,1,431143,,,K
play,3,1,451188,,,43/G
play,4,0,457991,,,D9/F
play,4,0,451186,,,S9/G.2-H(E9)
play,4,0,444107,,,6(1)3/G6/GDP
play,4,0,452665,,,K
play,4,1,451588,,,7/F
play,4,1,449159,,,S8/L
play,4,1,425767,,,D7/F.1-H
play,4,1,451125,,,S9/F.2-H
play,4,1,451640,,,3/G
play,4,1,473234,,,PO1(E?).1-2
play,4,1,473234,,,43/G
play,5,0,458650,,,8/F
play,5,0,451791,,,K
play,5,0,444542,,,3/P
play,5,1,464341,,,S8/F
play,5,1,431143,,,8/F
play,5,1,451188,,,NP
sub,452291,Henry Owens,0,0,1
play,5,1,451188,,,T7/F.1-H
play,5,1,451588,,,PO3(??)
play,5,1,451588,,,W
play,5,1,449159,,,K
play,6,0,451471,,,W
play,6,0,444141,,,7/F
play,6,0,457991,,,K
play,6,0,451186,,,9/F
play,6,1,425767,,,K
