id,GbrGCL200506250
info,visteam,GyaGCL
info,hometeam,GbrGCL
info,date,2005/06/25
start,457107,Wilmer Pino,0,1,4
start,467798,Jose Tabata,0,2,7
start,460344,Wilkins De La Rossa,0,3,8
start,468474,Jose Gil,0,4,2
start,445197,Michael Dunn,0,5,10
start,476015,C. J. Henry,0,6,6
start,450841,Angel Fermin,0,7,3
start,489205,Joel Perez,0,8,9
start,462495,Luis Nunez,0,9,5
start,453538,Grant Duff,0,0,1
start,458636,Bienvenido Disla,1,1,5
start,489132,Brandon Monk,1,2,4
start,462101,Elvis Andrus,1,3,6
start,447761,Brandon Jones,1,4,9
start,457788,Jordan Schafer,1,5,7
start,452071,Danny Brezeale,1,6,3
start,460369,Jose Camarena,1,7,2
start,461427,Phillip Britton,1,8,10
start,455697,Eliazar Carmona,1,9,8
start,120717,Jay Powell,1,0,1
play,1,0,457107,,,HP
play,1,0,467798,,,SB2
play,1,0,467798,,,9/F
play,1,0,460344,,,CS3
play,1,0,460344,,,S8/L
play,1,0,468474,,,SB2
play,1,0,468474,,,K
play,1,1,458636,,,8/F
play,1,1,489132,,,5/P
play,1,1,462101,,,W
play,1,1,447761,,,43/G
play,2,0,placeholder,,,NP
sub,452306,Yeliar Castro,1,0,1
play,2,0,445197,,,7/F
play,2,0,476015,,,3/G
play,2,0,450841,,,D8/L
play,2,0,489205,,,S9/L.2-H
play,2,0,462495,,,K
play,2,1,457788,,,43/G
play,2,1,452071,,,S5/G
play,2,1,460369,,,D7/L.1-H;BX3(75)
play,2,1,461427,,,K
play,3,0,457107,,,W
play,3,0,467798,,,43/G.1-2
play,3,0,460344,,,8/F
play,3,0,468474,,,W
play,3,0,445197,,,T8/L.1-H;2-H
play,3,0,476015,,,43/G
play,3,1,455697,,,W
play,3,1,458636,,,WP.1-2
play,3,1,458636,,,WP.2-3
play,3,1,458636,,,7/F
play,3,1,489132,,,W
play,3,1,462101,,,W.1-2
play,3,1,447761,,,S8/L.1-3;2-H;3-H
play,3,1,457788,,,FC3.1-2;3XH(32)
play,3,1,452071,,,CS3
play,4,0,450841,,,NP
sub,489423,David Williams,1,0,1
play,4,0,450841,,,63/G
play,4,0,489205,,,S9/L
play,4,0,462495,,,SB2
play,4,0,462495,,,3/PF
play,4,0,457107,,,K
play,4,1,460369,,,NP
sub,458217,Jesus Mendez,0,0,1
play,4,1,452071,,,K
play,4,1,460369,,,S9/L
play,4,1,461427,,,6(1)3/G6/GDP
play,5,0,467798,,,63/G
play,5,0,460344,,,S7/L
play,5,0,468474,,,D8/L.1-3
play,5,0,445197,,,7/SF.3-H
play,5,0,476015,,,S5/G
play,5,0,450841,,,3/PF
play,5,1,455697,,,NP
sub,462502,Rolando Japa,0,0,1
play,5,1,455697,,,9/F
play,5,1,458636,,,K
play,5,1,489132,,,W
play,5,1,462101,,,CS2
play,6,0,489205,,,6/L
play,6,0,462495,,,S8/L
play,6,0,457107,,,7/F
play,6,0,467798,,,POCS2(134)
play,6,1,462101,,,31/G
play,6,1,447761,,,K
play,6,1,457788,,,S6/G
play,6,1,452071,,,WP.1-2
play,6,1,452071,,,K
play,7,0,467798,,,9/F
play,7,0,460344,,,K
play,7,0,468474,,,13/G
play,7,1,460369,,,5/P
play,7,1,461427,,,K23
play,7,1,455697,,,53/G
play,8,0,445197,,,NP
sub,450311,Tyler Wilson,1,0,1
play,8,0,445197,,,43/G
play,8,0,476015,,,T9/L
play,8,0,450841,,,D7/L.3-H
play,8,0,489205,,,K
play,8,0,462495,,,7/F
play,8,1,458636,,,NP
