id,ChaIL200505090
info,visteam,OttIL
info,hometeam,ChaIL
info,date,2005/05/09
start,408244,Bernie Castro,0,1,4
start,406428,Tim RainesJr.,0,2,8
start,425488,Walter Young,0,3,3
start,439421,Alejandro Freire,0,4,10
start,440056,Bobby Darula,0,5,7
start,430899,Napoleon Calzado,0,6,5
start,124388,Enrique Wilson,0,7,6
start,434630,Eli Whiteside,0,8,2
start,407910,Keith Reed,0,9,9
start,429720,John Maine,0,0,1
start,462441,Scott Bikowski,1,1,9
start,119853,Greg Norton,1,2,5
start,150032,Roosevelt Brown,1,3,7
start,435042,Brian Anderson,1,4,8
start,150243,Jorge Toca,1,5,3
start,400021,Joe Borchard,1,6,10
start,112077,Raul Casanova,1,7,2
start,118366,Felix Martinez,1,8,4
start,434601,Pedro Lopez,1,9,6
start,120447,Robert Person,1,0,1
play,1,0,408244,,,7/F
play,1,0,406428,,,8/F
play,1,0,425488,,,K
play,1,1,462441,,,8/F
play,1,1,119853,,,K
play,1,1,150032,,,HR/F
play,1,1,435042,,,9/F
play,2,0,439421,,,HR/F
play,2,0,440056,,,W
play,2,0,430899,,,SB2
play,2,0,430899,,,HR/F.2-H
play,2,0,124388,,,HR/F
play,2,0,434630,,,9/L
play,2,0,407910,,,K
play,2,0,408244,,,3/G
play,2,1,150243,,,31/G
play,2,1,400021,,,6/P
play,2,1,112077,,,W
play,2,1,118366,,,D9/L.1-3
play,2,1,434601,,,K
play,3,0,406428,,,W
play,3,0,425488,,,SB2
play,3,0,425488,,,W
play,3,0,439421,,,PB.1-2;2-3
play,3,0,439421,,,K
play,3,0,440056,,,IW
play,3,0,430899,,,9/SF.3-H
play,3,0,124388,,,W.1-2;2-3
play,3,0,434630,,,53/G
play,3,1,462441,,,S7/F
play,3,1,119853,,,HR/F.1-H
play,3,1,150032,,,K
play,3,1,435042,,,9/F
play,3,1,150243,,,S7/L
play,3,1,400021,,,HP.1-2
play,3,1,112077,,,FC6/G.1X2(6)
play,4,0,407910,,,9/F
play,4,0,408244,,,W
play,4,0,406428,,,CS2
play,4,0,406428,,,3/L
play,4,1,118366,,,63/G
play,4,1,434601,,,K
play,4,1,462441,,,63/G
play,5,0,425488,,,43/G
play,5,0,439421,,,63/G
play,5,0,440056,,,W
play,5,0,430899,,,8/F
play,5,1,119853,,,43/G
play,5,1,150032,,,W
play,5,1,435042,,,K
play,5,1,150243,,,K
play,6,0,124388,,,NP
sub,408097,Arnie Munoz,1,0,1
play,6,0,124388,,,8/F
play,6,0,434630,,,7/F
play,6,0,407910,,,9/L
play,6,1,400021,,,NP
sub,433258,Aaron Rakers,0,0,1
play,6,1,400021,,,K
play,6,1,112077,,,43/G
play,6,1,118366,,,8/L
play,7,0,408244,,,D7/L
play,7,0,406428,,,54/SH.2-3
play,7,0,425488,,,D8/L.3-H
play,7,0,439421,,,IW
play,7,0,440056,,,S9/L.1-2;2-3
play,7,0,430899,,,NP
sub,446362,Joshua Fields,1,0,1
play,7,0,430899,,,D8/L.1-3;2-H;3-H
play,7,0,124388,,,43/G
play,7,0,434630,,,D7/L.2-H;3-H
play,7,0,407910,,,7/F
play,7,1,434601,,,S7/L
play,7,1,462441,,,7/FF
play,7,1,119853,,,K
play,7,1,150032,,,S7/L.1-2
play,7,1,435042,,,5/P
play,8,0,408244,,,8/F
play,8,0,406428,,,K
play,8,0,425488,,,43/G
play,8,1,150243,,,K
play,8,1,400021,,,K
play,8,1,112077,,,43/G
play,9,0,439421,,,NP
sub,434599,Matt Smith,1,0,1
play,9,0,439421,,,S7/L
play,9,0,440056,,,FC1/G.1X2(16);B-1
play,9,0,430899,,,8/F
play,9,0,124388,,,9/L
play,9,1,118366,,,NP
sub,136263,Tim Byrdak,0,0,1
play,9,1,434601,,,NP
sub,456447,Kris Wilken,0,3,3
play,9,1,118366,,,8/F
play,9,1,434601,,,K
play,9,1,462441,,,D7/L
play,9,1,119853,,,HR/F.2-H
play,9,1,150032,,,S9/L
play,9,1,435042,,,K
id,ChaIL200505100
info,visteam,OttIL
info,hometeam,ChaIL
info,date,2005/05/10
start,408244,Bernie Castro,0,1,4
start,406428,Tim Raines,0,2,8
start,425488,Walter Young,0,3,10
start,439421,Alejandro Freire,0,4,3
start,440056,Bobby Darula,0,5,7
start,430899,Napoleon Calzado,0,6,9
start,124388,Enrique Wilson,0,7,6
start,434630,Eli Whiteside,0,8,2
start,407855,Ed Rogers,0,9,5
start,110503,James Baldwin,0,0,1
start,462441,Scott Bikowski,1,1,9
start,118366,Felix Martinez,1,2,4
start,150032,Roosevelt Brown,1,3,7
start,435042,Brian Anderson,1,4,8
start,150243,Jorge Toca,1,5,3
start,400021,Joe Borchard,1,6,10
start,112077,Raul Casanova,1,7,2
start,150399,Trace Coquillette,1,8,5
start,434601,Pedro Lopez,1,9,6
start,435221,Brandon McCarthy,1,0,1
play,1,0,408244,,,K
play,1,0,406428,,,K
play,1,0,425488,,,W
play,1,0,439421,,,S9/L.1-3
play,1,0,440056,,,S8/G.1-2;3-H
play,1,0,430899,,,W.1-2;2-3
play,1,0,124388,,,S3/G.2XH(36);3-H
play,1,1,462441,,,D9/F
play,1,1,118366,,,7/F
play,1,1,150032,,,3/G.2-3
play,1,1,435042,,,7/F
play,2,0,434630,,,43/G
play,2,0,407855,,,13/G
play,2,0,408244,,,K
play,2,1,150243,,,9/FF
play,2,1,400021,,,S7/L
play,2,1,112077,,,K
play,2,1,150399,,,63/G
play,3,0,406428,,,K
play,3,0,425488,,,31/G
play,3,0,439421,,,7/F
play,3,1,434601,,,S7/L
play,3,1,462441,,,64(1)3/GDP/G6
play,3,1,118366,,,S8/F
play,3,1,150032,,,8/F
play,4,0,440056,,,8/F
play,4,0,430899,,,9/F
play,4,0,124388,,,W
play,4,0,434630,,,K
play,4,1,435042,,,43/G
play,4,1,150243,,,HR/F
play,4,1,400021,,,6/P
play,4,1,112077,,,7/F
play,5,0,407855,,,K
play,5,0,408244,,,43/G
play,5,0,406428,,,HR/F
play,5,0,425488,,,K
play,5,1,150399,,,S7/L
play,5,1,434601,,,643/G6.1-2
play,5,1,462441,,,K
play,5,1,118366,,,4/P
play,6,0,439421,,,HR/F
play,6,0,440056,,,D7/L
play,6,0,430899,,,WP.2-3
play,6,0,430899,,,S8/F.3-H
