id,WisMDW200505060
info,visteam,DayMDW
info,hometeam,WisMDW
info,date,2005/05/06
start,455675,Philip Gentry,0,1,7
start,457926,Paul Janish,0,2,6
start,450819,Chris Kroski,0,3,2
start,446041,John Purdom,0,4,5
start,446013,Tonys Gutierrez,0,5,3
start,450325,Habelito Hernandez,0,6,10
start,452028,Drew Anderson,0,7,4
start,446904,Kenny Lewis,0,8,8
start,448790,Cody Strait,0,9,9
start,444434,Philippe-Alexandre Valiquette,0,0,1
start,464281,Oswaldo Navarro,1,1,4
start,452678,Asdrubal Cabrera,1,2,10
start,472594,Yung Chi Chen,1,3,5
start,449168,Matt Tuiasosopo,1,4,6
start,453531,Robert Johnson,1,5,2
start,462523,Brandon Green,1,6,3
start,444125,Michael Wilson,1,7,9
start,445164,Brent Johnson,1,8,8
start,456698,Jack Arroyo,1,9,7
start,448760,Jason Snyder,1,0,1
play,1,0,455675,,,K
play,1,0,457926,,,9/F
play,1,0,450819,,,43/G
play,1,1,464281,,,K
play,1,1,452678,,,HR/F
play,1,1,472594,,,K
play,1,1,449168,,,53/G
play,2,0,446041,,,S8/L
play,2,0,446013,,,13/G.1-2
play,2,0,450325,,,53/G
play,2,0,452028,,,S4/G.2-H;B-3(E4/TH)
play,2,0,446904,,,43/G
play,2,1,453531,,,S7/G
play,2,1,462523,,,FC3/G.1X2(36);B-1
play,2,1,444125,,,K
play,2,1,445164,,,SB2
play,2,1,445164,,,W
play,2,1,456698,,,S9/F.1-3;2-H
play,2,1,464281,,,8/L
play,3,0,448790,,,K
play,3,0,455675,,,63/G
play,3,0,457926,,,9/F
play,3,1,452678,,,NP
sub,452028,Drew Anderson,0,7,9
play,3,1,472594,,,NP
sub,460354,Mayker Sandoval,0,8,4
play,3,1,449168,,,NP
sub,448790,Cody Strait,0,9,8
play,3,1,452678,,,53/G
play,3,1,472594,,,K
play,3,1,449168,,,9/F
play,4,0,450819,,,S9/L
play,4,0,446041,,,E5/TH.1-3
play,4,0,446013,,,FC4/G.1X2(46);3-H;B-1
play,4,0,450325,,,E5.1-2
play,4,0,452028,,,S9/L.1-3;2-H
play,4,0,460354,,,BK.1-2;3-H
play,4,0,460354,,,D9/L.2-H
play,4,0,448790,,,W+WP.2-3
play,4,0,455675,,,S1/G.1-2;3-H
play,4,0,457926,,,D7/G.1-3;2-H
play,4,0,450819,,,NP
sub,448220,Cibney Bello,1,0,1
play,4,0,450819,,,K
play,4,0,446041,,,13/G
play,4,1,453531,,,T9/F
play,4,1,462523,,,13/G
play,4,1,444125,,,8/F
play,4,1,445164,,,W
play,4,1,456698,,,SB2
play,4,1,456698,,,S4/G.2-H(E4);3-H
play,4,1,464281,,,9/F
play,5,0,446013,,,K
play,5,0,450325,,,7/F
play,5,0,452028,,,S6/G
play,5,0,460354,,,SB2
play,5,0,460354,,,K
play,5,1,452678,,,NP
sub,450191,Jonathan George,0,0,1
play,5,1,452678,,,43/G
play,5,1,472594,,,9/F
play,5,1,449168,,,S9/G
play,5,1,453531,,,53/G
play,6,0,448790,,,4/P
play,6,0,455675,,,E3/TH
play,6,0,457926,,,SB2
play,6,0,457926,,,13/BG.2-3
play,6,0,450819,,,31/G
play,6,1,462523,,,6/P
play,6,1,444125,,,3/P
play,6,1,445164,,,13/G
play,7,0,446041,,,53/G
play,7,0,446013,,,9/F
play,7,0,450325,,,K23
play,7,1,456698,,,K
play,7,1,464281,,,S7/L
play,7,1,452678,,,43/G.1-2
play,7,1,472594,,,9/F
play,8,0,452028,,,NP
sub,470370,Roman Martinez,1,0,1
play,8,0,452028,,,K
play,8,0,460354,,,53/G
play,8,0,448790,,,HP
play,8,0,455675,,,K
play,8,1,449168,,,63/G
play,8,1,453531,,,S8/L
play,8,1,462523,,,8/F
play,8,1,444125,,,FC4/G.1X2(46)
play,9,0,457926,,,D7/L
play,9,0,450819,,,WP.2-3
