id,BoiNWL200506260
info,visteam,EugNWL
info,hometeam,BoiNWL
info,date,2005/06/26
start,488660,Joshua Alley,0,1,8
start,489245,Billy Richardson,0,2,6
start,488773,Brian Cavanaugh,0,3,9
start,460026,Nicholas Hundley,0,4,10
start,457698,Drew Davidson,0,5,7
start,489339,Chad Steiner,0,6,5
start,459422,Billy Killian,0,7,2
start,455107,Daryl Jones,0,8,3
start,460323,Jodam Rivera,0,9,4
start,447755,Steve Delabar,0,0,1
start,488922,David Gregg,1,1,8
start,445208,Jeff Culpepper,1,2,9
start,467061,Elvin Puello,1,3,5
start,453947,Chris Gaskin,1,4,3
start,489356,Brandon Taylor,1,5,10
start,448293,Alfred Joseph,1,6,7
start,456989,Jake Muyco,1,7,2
start,488972,Scott Hode,1,8,4
start,470466,Jonathan Mota,1,9,6
start,488974,Kyle Holden,1,0,1
play,1,0,488660,,,D9/F
play,1,0,489245,,,63/G
play,1,0,488773,,,S7/G.2-3;B-2
play,1,0,460026,,,S8/L.2-H;3-H;B-2(E8/TH)
play,1,0,457698,,,D7/F.2-H
play,1,0,489339,,,63/G.2-3
play,1,0,459422,,,WP.3-H
play,1,0,459422,,,K
play,1,1,488922,,,13/G
play,1,1,445208,,,S8/G
play,1,1,467061,,,SB2
play,1,1,467061,,,W
play,1,1,453947,,,WP.2-3
play,1,1,453947,,,FC6/G.1X2(64);3-H;B-1
play,1,1,489356,,,K
play,2,0,455107,,,K
play,2,0,460323,,,43/G
play,2,0,488660,,,43/G
play,2,1,448293,,,S9/L
play,2,1,456989,,,S9/L.1-3
play,2,1,488972,,,FC5.1-2;3XH(52)
play,2,1,470466,,,53/G.1-2;2-3
play,2,1,488922,,,63/G
play,3,0,489245,,,NP
sub,445153,Darin Downs,1,0,1
play,3,0,489245,,,S6/G
play,3,0,488773,,,9/L
play,3,0,460026,,,S7/L.1-2
play,3,0,457698,,,5(2)3/G5/GDP
play,3,1,445208,,,63/G
play,3,1,467061,,,D8/F
play,3,1,453947,,,HP
play,3,1,489356,,,64(1)3/GDP/G6
play,4,0,489339,,,K23
play,4,0,459422,,,K23
play,4,0,455107,,,63/G
play,4,1,448293,,,43/G
play,4,1,456989,,,S8/G
play,4,1,488972,,,1(B)13()/LDP.1X1
play,5,0,460323,,,S8/L
play,5,0,488660,,,46(1)3/GDP/G4
play,5,0,489245,,,K
play,5,1,470466,,,S9/G
play,5,1,488922,,,PB.1-2
play,5,1,488922,,,HP
play,5,1,445208,,,FC1/G.1-2;2X3(15);B-1
play,5,1,467061,,,W.1-2;2-3
play,5,1,453947,,,8/SF.2-3;3-H
play,5,1,489356,,,7/F
play,6,0,488773,,,43/G
play,6,0,460026,,,63/G
play,6,0,457698,,,63/G
play,6,1,448293,,,NP
sub,460155,Adam Gold,0,0,1
play,6,1,448293,,,W
play,6,1,456989,,,WP.1-2
play,6,1,456989,,,W
play,6,1,488972,,,56(2)3/GDP/B5.1-2
play,6,1,470466,,,7/F
play,7,0,489339,,,9/F
play,7,0,459422,,,K23
play,7,0,455107,,,9/F
play,7,1,488922,,,W
play,7,1,445208,,,HR/F.1-H
play,7,1,467061,,,53/G
play,7,1,453947,,,NP
sub,489077,John Madden,0,0,1
play,7,1,453947,,,43/G
play,7,1,489356,,,K
play,8,0,460323,,,NP
sub,459894,Jeffrey Teasley,1,0,1
play,8,0,460323,,,3/P
play,8,0,488660,,,W
play,8,0,489245,,,8/F
play,8,0,488773,,,SB2
play,8,0,488773,,,K
play,8,1,448293,,,S8/G
play,8,1,456989,,,34/SH.1-2
play,8,1,488972,,,3/G.2-3
play,8,1,470466,,,3/G
play,9,0,460026,,,NP
sub,446924,Victor Ramos,1,0,1
play,9,0,460026,,,E3
play,9,0,457698,,,14/SH.1-2
play,9,0,489339,,,NP
sub,458516,Kelvin Vazquez,0,6,11
play,9,0,458516,,,43/G.2-3
play,9,0,459422,,,23/G
play,9,1,488922,,,NP
sub,458516,Kelvin Vazquez,0,6,5
play,9,1,488922,,,E1/TH
play,9,1,445208,,,SB2
play,9,1,445208,,,K
play,9,1,467061,,,PB.2-3
play,9,1,467061,,,IW
play,9,1,453947,,,IW.1-2
play,9,1,489356,,,NP
sub,488963,Brandon Higelin,0,0,1
play,9,1,489356,,,S8/G.1-2;2-3;3-H
id,BoiNWL200506270
info,visteam,EugNWL
info,hometeam,BoiNWL
info,date,2005/06/27
start,488660,Joshua Alley,0,1,8
start,460323,Jodam Rivera,0,2,4
start,488773,Brian Cavanaugh,0,3,10
start,460026,Nicholas Hundley,0,4,2
start,489287,Mike Sansoe,0,5,7
start,471055,Santiago Guerrero,0,6,9
start,489245,Billy Richardson,0,7,6
start,455107,Daryl Jones,0,8,3
start,458516,Kelvin Vazquez,0,9,5
start,453970,Ben Krosschell,0,0,1
start,488922,David Gregg,1,1,8
start,461861,Mark Reed,1,2,10
start,472505,Jesus Valdez,1,3,7
start,467061,Elvin Puello,1,4,3
start,445208,Jeff Culpepper,1,5,9
start,456989,Jake Muyco,1,6,2
start,489356,Brandon Taylor,1,7,5
start,488972,Scott Hode,1,8,4
start,470466,Jonathan Mota,1,9,6
start,458735,Michael Billek,1,0,1
play,1,0,488660,,,W
play,1,0,460323,,,K
play,1,0,488773,,,SB2
play,1,0,488773,,,43/G.2-3
play,1,0,460026,,,K
play,1,1,488922,,,S4/G
play,1,1,461861,,,SB2
play,1,1,461861,,,K
play,1,1,472505,,,9/F.2-3
play,1,1,467061,,,8/L
play,2,0,489287,,,53/G
play,2,0,471055,,,K
play,2,0,489245,,,53/G
play,2,1,445208,,,7/F
play,2,1,456989,,,43/G
play,2,1,489356,,,53/G
play,3,0,placeholder,,,NP
sub,456092,Edgar Baez,1,0,1
play,3,0,455107,,,13/G
play,3,0,458516,,,4/P
play,3,0,488660,,,43/G
play,3,1,488972,,,53/G
play,3,1,470466,,,43/G
