id,AbeNYP200506210
info,visteam,HudNYP
info,hometeam,AbeNYP
info,date,2005/06/21
start,489740,David Kennedy,0,1,8
start,451197,Brandon Rousseve,0,2,4
start,489741,Michael Rainville,0,3,5
start,452740,Matt Spring,0,4,2
start,475883,Ryder Mathias,0,5,10
start,460297,James Hall,0,6,7
start,451536,Fernando Frias,0,7,9
start,446560,Rhyne Hughes,0,8,3
start,456523,John Bouman,0,9,6
start,451584,Wade Davis,0,0,1
start,460194,Zachary Davis,1,1,8
start,469698,Jose Zapata,1,2,6
start,488879,Mark Fleisher,1,3,10
start,452093,Ryan Finan,1,4,3
start,460099,Nolan Reimold,1,5,9
start,460623,Matthew Pulley,1,6,5
start,462918,Angel Avila,1,7,7
start,488814,Kyle Dahlberg,1,8,2
start,466956,Francisco Guerrero,1,9,4
start,448658,Ryan Schwabe,1,0,1
play,1,0,489740,,,S8/G
play,1,0,451197,,,3(1)6/G3/GDP
play,1,0,489741,,,K
play,1,1,460194,,,K23
play,1,1,469698,,,K
play,1,1,488879,,,43/G
play,2,0,452740,,,K
play,2,0,475883,,,K
play,2,0,460297,,,K
play,2,1,452093,,,7/F
play,2,1,460099,,,D7/F
play,2,1,460623,,,D7/F.2-H
play,2,1,462918,,,K
play,2,1,488814,,,53/G
play,3,0,451536,,,K
play,3,0,446560,,,S8/F
play,3,0,456523,,,S8/F.1-2
play,3,0,489740,,,K
play,3,0,451197,,,FC4/G.1X2(4)
play,3,1,466956,,,8/F
play,3,1,460194,,,S8/G
play,3,1,469698,,,6/P
play,3,1,488879,,,PO1(?3)
play,4,0,489741,,,5/BP
play,4,0,452740,,,13/G
play,4,0,475883,,,63/G
play,4,1,488879,,,7/F
play,4,1,452093,,,43/G
play,4,1,460099,,,S9/G
play,4,1,460623,,,3/G
play,5,0,460297,,,K
play,5,0,451536,,,43/G
play,5,0,446560,,,K
play,5,1,462918,,,K
play,5,1,488814,,,K
play,5,1,466956,,,W
play,5,1,460194,,,SB2
play,5,1,460194,,,K
play,6,0,456523,,,S8/F
play,6,0,489740,,,46(1)3/GDP/G4
play,6,0,451197,,,K23
play,6,1,469698,,,NP
sub,472592,Roberto Gil,0,0,1
play,6,1,469698,,,K
play,6,1,488879,,,9/F
play,6,1,452093,,,K23
play,7,0,489741,,,53/G
play,7,0,452740,,,NP
