id,IowPCL200505040
info,visteam,NasPCL
info,hometeam,IowPCL
info,date,2005/05/04
start,425858,Dave Krynzel,0,1,8
start,430001,Rickie Weeks,0,2,4
start,425902,Prince Fielder,0,3,3
start,434525,Brad Nelson,0,4,7
start,430611,Corey Hart,0,5,9
start,227495,Trent Durrington,0,6,5
start,119442,Julio Mosquera,0,7,2
start,435138,Steve Scarborough,0,8,11
start,400114,Clint Weibl,0,9,1
start,116248,Trenidad Hubbard,1,1,8
start,447789,Dwaine Bacon,1,2,7
start,430917,Mike Fontenot,1,3,5
start,407778,David Kelton,1,4,9
start,451687,James Hoffpauir,1,5,3
start,430639,Richard Lewis,1,6,4
start,150322,Mark Johnson,1,7,2
start,150225,Mike Moriarty,1,8,6
start,458222,Robert Brownlie,1,9,1
play,1,0,425858,,,8/F
play,1,0,430001,,,8/F
play,1,0,425902,,,K
play,1,1,116248,,,HR/F
play,1,1,447789,,,S8/G
play,1,1,430917,,,SB2
play,1,1,430917,,,9/F.2-3
play,1,1,407778,,,D7/G.3-H
play,1,1,451687,,,8/F
play,1,1,430639,,,S9/G.2-H;B-2
play,1,1,150322,,,K
play,2,0,434525,,,43/G
play,2,0,430611,,,D9/L
play,2,0,227495,,,S9/G.2-H;B-2(E9/TH)
play,2,0,119442,,,D8/F.2-H
play,2,0,435138,,,K
play,2,0,400114,,,63/G
play,2,1,150225,,,HR/F
play,2,1,458222,,,S8/G
play,2,1,116248,,,9/L
play,2,1,447789,,,FC3/G.1X2(36);B-1
play,2,1,430917,,,S4/G.1-2
play,2,1,407778,,,9/F
play,3,0,425858,,,6/P
play,3,0,430001,,,13/BG
play,3,0,425902,,,K
play,3,1,451687,,,8/F
play,3,1,430639,,,HP
play,3,1,150322,,,S9/G.1-3
play,3,1,150225,,,T9/F.1-H;3-H
play,3,1,458222,,,53/G
play,3,1,116248,,,9/F
play,4,0,434525,,,W
play,4,0,430611,,,54(1)3/GDP/G5
play,4,0,227495,,,K
play,4,1,447789,,,W
play,4,1,430917,,,SB2
play,4,1,430917,,,W
play,4,1,407778,,,S9/L.1-3;2-H
play,4,1,451687,,,8/SF.3-H
play,4,1,430639,,,S9/G.1-2
play,4,1,150322,,,5/PF
play,4,1,150225,,,W.1-2;2-3
play,4,1,458222,,,FC4/G.1X2(46)
play,5,0,119442,,,53/G
play,5,0,435138,,,9/F
play,5,0,400114,,,13/G
play,5,1,116248,,,NP
sub,430680,Justin Lehr,0,9,1
play,5,1,116248,,,S9/F
play,5,1,447789,,,CS2
play,5,1,447789,,,4/L
play,5,1,430917,,,D9/F
play,5,1,407778,,,K
play,6,0,425858,,,2/PF
play,6,0,430001,,,HR/F
play,6,0,425902,,,K
play,6,0,434525,,,D8/F
play,6,0,430611,,,3/PF
play,6,1,451687,,,6/L
play,6,1,430639,,,S7/G
play,6,1,150322,,,FC5/G.1X2(54);B-1
play,6,1,150225,,,8/F
play,7,0,227495,,,E6
play,7,0,119442,,,9/F
play,7,0,435138,,,8/F
play,7,0,430680,,,NP
sub,120047,Kevin Orie,0,9,11
play,7,0,120047,,,13/G
play,7,1,458222,,,NP
sub,282327,Kane Davis,0,9,1
play,7,1,458222,,,63/G
play,7,1,116248,,,63/G
play,7,1,447789,,,W
play,7,1,430917,,,PB.1-2
play,7,1,430917,,,W
play,7,1,407778,,,PO?(E?).2-3
play,7,1,407778,,,K
play,8,0,425858,,,43/G
play,8,0,430001,,,W
play,8,0,425902,,,NP
sub,434566,Russ Rohlicek,1,9,1
play,8,0,425902,,,S9/F.1-3
play,8,0,434525,,,W.1-2
play,8,0,430611,,,FC6/G.1X2(64);2-3;3-H;B-1
play,8,0,227495,,,D8/F.1-H;3-H
play,8,0,119442,,,NP
sub,116248,Trenidad Hubbard,1,1,9
play,8,0,435138,,,NP
sub,435278,Jermaine Van Buren,1,4,1
play,8,0,282327,,,NP
sub,150273,Calvin Murray,1,9,8
play,8,0,119442,,,K
play,8,1,placeholder,,,NP
sub,406301,Chad Paronto,0,9,1
play,8,1,451687,,,31/G
play,8,1,430639,,,13/G
play,8,1,150322,,,43/G
play,9,0,435138,,,D7/F
play,9,0,406301,,,NP
sub,448833,Chris Barnwell,0,9,11
play,9,0,448833,,,K
play,9,0,425858,,,HR/F.2-H
play,9,0,430001,,,S6/G
play,9,0,425902,,,SB2
play,9,0,425902,,,IW
play,9,0,434525,,,FC4/G.1X2(46);2-3;B-1
play,9,0,430611,,,SB2
play,9,0,430611,,,FC5.2X3(5)
play,9,1,150225,,,NP
sub,435138,Steve Scarborough,0,8,1
play,9,1,150273,,,NP
sub,448833,Chris Barnwell,0,9,6
play,9,1,150225,,,6/P
play,9,1,150273,,,63/G
play,9,1,116248,,,S8/G
play,9,1,447789,,,S9/F.1-3
play,9,1,430917,,,13/G
play,10,0,227495,,,NP
sub,118960,Jose Mercedes,1,3,1
play,10,0,119442,,,NP
sub,115370,Shane Halter,1,4,5
play,10,0,227495,,,K23
play,10,0,119442,,,S6/G
play,10,0,435138,,,S8/G.1-3;B-2
play,10,0,448833,,,D7/F.2-H;3-H
play,10,0,425858,,,IW
play,10,0,430001,,,HR/F.1-H;2-H
play,10,0,425902,,,NP
sub,150041,Phil Norton,1,3,1
