id,BilPIO200506270
info,visteam,GrePIO
info,hometeam,BilPIO
info,date,2005/06/27
start,461873,Evan Tartaglia,0,1,7
start,456551,Garrett Guest,0,2,4
start,460051,Christopher Getz,0,3,6
start,450315,Brandon Allen,0,4,3
start,467003,Javier Castillo,0,5,10
start,451703,Matt Tribble,0,6,9
start,450290,Daron Roberts,0,7,8
start,471872,Francisco Hernandez,0,8,2
start,448765,Brandon Johnson,0,9,5
start,448747,Eric Everly,0,0,1
start,452325,Josh Holden,1,1,8
start,489267,Adam Rosales,1,2,6
start,460354,Mayker Sandoval,1,3,4
start,489152,Benjamin Mummy,1,4,3
start,461343,Jordan Belcher,1,5,9
start,448812,James Langham,1,6,10
start,448657,Jarrett Reininger,1,7,5
start,446904,Kenny Lewis,1,8,7
start,488715,Benjamin Blumenthal,1,9,2
start,452212,Damian Ursin,1,0,1
play,1,0,461873,,,K
play,1,0,456551,,,63/G
play,1,0,460051,,,W
play,1,0,450315,,,S7/G.1-3
play,1,0,467003,,,CSH
play,1,1,452325,,,13/BG
play,1,1,489267,,,HP
play,1,1,460354,,,64(1)3/GDP/G6
play,2,0,467003,,,43/G
play,2,0,451703,,,S8/G
play,2,0,450290,,,K+SB2
play,2,0,471872,,,WP.2-3
play,2,0,471872,,,W
play,2,0,448765,,,FC6/G.1X2(64)
play,2,1,489152,,,K
play,2,1,461343,,,53/G
play,2,1,448812,,,K
play,3,0,461873,,,S6/G.B-2(E6/TH)
play,3,0,456551,,,43/G.2-3
play,3,0,460051,,,S1/G
play,3,0,450315,,,W.1-2
play,3,0,467003,,,4(1)3/G4/GDP
play,3,1,448657,,,3/P
play,3,1,446904,,,W
play,3,1,placeholder,,,PO1(E?).1-2
play,3,1,488715,,,S7/G.2-H
play,3,1,452325,,,1(B)13()/LDP.1X1
play,4,0,451703,,,63/G
play,4,0,450290,,,53/G
play,4,0,471872,,,43/G
play,4,1,489267,,,S9/F
play,4,1,460354,,,POCS2(136)
