id,ColSAL200505040
info,visteam,AugSAL
info,hometeam,ColSAL
info,date,2005/05/04
start,430263,Alex Requena,0,1,8
start,448773,Marcus Sanders,0,2,6
start,452013,Carlos Sosa,0,3,7
start,461756,Jason Columbus,0,4,10
start,469821,Jonathan Armitage,0,5,9
start,452210,Brad Vericker,0,6,3
start,445008,Simon Klink,0,7,5
start,455725,Stephen Holm,0,8,2
start,446659,Aaron Hornostaj,0,9,4
start,456043,Jonathan Sanchez,0,0,1
start,448244,Sam Steidl,1,1,7
start,469845,Jamie Hoffmann,1,2,8
start,455088,Blake Dewitt,1,3,5
start,458239,Travis Denker,1,4,4
start,461315,Lucas May,1,5,10
start,448622,Daniel Batz,1,6,3
start,448596,David Nicholson,1,7,6
start,468368,Gabriel Gutierrez,1,8,2
start,451640,Ryan Russ,1,9,9
start,450692,Christopher Malone,1,0,1
play,1,0,430263,,,63/G
play,1,0,448773,,,S7/G
play,1,0,452013,,,S7/F.1-2
play,1,0,461756,,,64(1)3/GDP/G6
play,1,1,448244,,,W
play,1,1,469845,,,K
play,1,1,455088,,,9/L
play,1,1,458239,,,K
play,2,0,469821,,,6/P
play,2,0,452210,,,7/F
play,2,0,445008,,,13/G
play,2,1,461315,,,63/G
play,2,1,448622,,,43/G
play,2,1,448596,,,53/G
play,3,0,455725,,,8/F
play,3,0,446659,,,K23
play,3,0,430263,,,K
play,3,1,468368,,,9/F
play,3,1,451640,,,S8/G
play,3,1,448244,,,K
play,3,1,469845,,,S8/F.1-2
play,3,1,455088,,,43/G
play,4,0,448773,,,63/G
play,4,0,452013,,,8/F
play,4,0,461756,,,63/G
play,4,1,458239,,,S7/F
play,4,1,461315,,,54(1)3/GDP/G5
play,4,1,448622,,,W
play,4,1,448596,,,E4.1-3
play,4,1,468368,,,POCS2(136);3-H
play,5,0,469821,,,3/G
play,5,0,452210,,,3/G
play,5,0,445008,,,S7/F
play,5,0,455725,,,K
play,5,1,468368,,,63/G
play,5,1,451640,,,K
play,5,1,448244,,,63/G
play,6,0,446659,,,23/BG
play,6,0,430263,,,3/G
play,6,0,448773,,,8/F
play,6,1,469845,,,S9/F
play,6,1,455088,,,S9/F.1-2
play,6,1,458239,,,1/BP
play,6,1,461315,,,K
play,6,1,448622,,,9/F
play,7,0,452013,,,NP
sub,454662,Brian Akin,1,0,1
play,7,0,452013,,,7/F
play,7,0,461756,,,9/L
play,7,0,469821,,,S4/G
play,7,0,452210,,,63/G
play,7,1,448596,,,NP
sub,454477,Anthony Moreno,0,0,1
play,7,1,448596,,,43/G
play,7,1,468368,,,W
play,7,1,451640,,,46(1)3/GDP/G4
