id,MisSL200505130
info,visteam,MobSL
info,hometeam,MisSL
info,date,2005/05/13
start,462433,Casey Baker,0,1,8
start,453862,Dustin Delluchi,0,2,9
start,444912,Ronald Merrill,0,3,6
start,430647,Corey Smith,0,4,5
start,434582,Paul McAnulty,0,5,7
start,431161,Nick Trzesniak,0,6,2
start,456099,Greg Sain,0,7,3
start,448732,Jason Clements,0,8,4
start,434581,Sean Thompson,0,9,1
start,453923,Gregor Blanco,1,1,8
start,451664,Wes Timmons,1,2,5
start,425796,Jeff Francoeur,1,3,9
start,429801,Scott Thorman,1,4,3
start,435263,Brian McCann,1,5,2
start,430643,Onil Joseph,1,6,7
start,434682,Luis Hernandez,1,7,6
start,459320,Jonathan Schuerholz,1,8,4
start,453435,Matthew Coenen,1,9,1
play,1,0,462433,,,63/G
play,1,0,453862,,,K23
play,1,0,444912,,,S7/L
play,1,0,430647,,,8/L
play,1,1,453923,,,S7/L
play,1,1,451664,,,FC1/B.1X2(16);B-1
play,1,1,425796,,,W.1-2
play,1,1,429801,,,D7/F.1-H;2-H;B-3
play,1,1,435263,,,8/SF.3-H
play,1,1,430643,,,K
play,2,0,434582,,,63/G
play,2,0,431161,,,9/F
play,2,0,456099,,,K
play,2,1,434682,,,S7/L
play,2,1,459320,,,W.1-2
play,2,1,453435,,,54/SH.1-2;2-3
play,2,1,453923,,,7/SF.3-H
play,2,1,451664,,,43/G
play,3,0,448732,,,53/G
play,3,0,434581,,,43/G
play,3,0,462433,,,K
play,3,1,425796,,,K
play,3,1,429801,,,4/P
play,3,1,435263,,,9/F
play,4,0,453862,,,8/F
play,4,0,444912,,,W
play,4,0,430647,,,13/G.1-2
play,4,0,434582,,,7/F
play,4,1,430643,,,4/P
play,4,1,434682,,,W
play,4,1,459320,,,3/G.1-2
play,4,1,453435,,,K
play,5,0,431161,,,43/G
play,5,0,456099,,,63/G
play,5,0,448732,,,53/G
play,5,1,453923,,,D7/F
play,5,1,451664,,,43/G.2-3
play,5,1,425796,,,S9/G.3-H
play,5,1,429801,,,3(1)6/G3/GDP
play,6,0,434581,,,NP
sub,444534,Mike Richardson,0,9,11
play,6,0,444534,,,S8/L
play,6,0,462433,,,S7/L.1-2
play,6,0,453862,,,64(1)3/GDP/G6.2-3
play,6,0,444912,,,W
play,6,0,430647,,,FC6/G.1X2(64)
play,6,1,435263,,,NP
sub,430685,Rusty Tucker,0,9,1
play,6,1,435263,,,9/L
play,6,1,430643,,,S9/L
play,6,1,434682,,,SB2
play,6,1,434682,,,W
play,6,1,459320,,,S7/G.1-2;2-3
play,6,1,453435,,,NP
sub,452190,Michael Rosamond,1,9,11
play,6,1,452190,,,S9/L.1-2;2-3;3-H
play,6,1,453923,,,PO?(E?).1-2;2-3;3-H
play,6,1,453923,,,FC5.2-3;3XH(52)
play,6,1,451664,,,W.1-2
play,6,1,425796,,,7/F
play,7,0,434582,,,NP
sub,120717,Jay Powell,1,9,1
play,7,0,434582,,,7/F
play,7,0,431161,,,8/F
play,7,0,456099,,,K
play,7,1,429801,,,NP
sub,445222,Jack Cassel,0,9,1
play,7,1,429801,,,4/P
play,7,1,435263,,,9/L
play,7,1,430643,,,S5/G
play,7,1,434682,,,6/L
play,8,0,448732,,,NP
sub,150053,Mike Porzio,1,9,1
play,8,0,448732,,,S7/G
play,8,0,445222,,,NP
sub,450192,Luke Carlin,0,9,11
play,8,0,450192,,,S9/L.1-2
play,8,0,462433,,,S9/L.1-2;2-3
play,8,0,453862,,,S9/L.1-2;2-3;3-H
play,8,0,444912,,,K
play,8,0,430647,,,9/FF
play,8,0,434582,,,43/G
play,8,1,459320,,,NP
sub,444315,Geoffrey Jones,0,9,1
play,8,1,459320,,,T9/L
play,8,1,150053,,,NP
sub,425775,Mike O'Keefe,1,9,11
play,8,1,425775,,,31/G
play,8,1,453923,,,S7/G.3-H
play,8,1,451664,,,S8/L.1-2
play,8,1,425796,,,FC5/G.1X2(54);2-3;B-1
play,8,1,429801,,,K
play,9,0,431161,,,NP
sub,457460,Ryan Basner,1,9,1
play,9,0,431161,,,43/G
play,9,0,456099,,,DGR/F8
play,9,0,448732,,,53/G
play,9,0,444315,,,K
id,MisSL200505140
info,visteam,MobSL
info,hometeam,MisSL
info,date,2005/05/14
start,462433,Casey Baker,0,1,8
start,453862,Dustin Delluchi,0,2,9
start,444912,Ronald Merrill,0,3,6
start,430647,Corey Smith,0,4,5
start,434582,Paul McAnulty,0,5,7
start,431161,Nick Trzesniak,0,6,2
start,456099,Greg Sain,0,7,3
start,448732,Jason Clements,0,8,4
start,457086,Brian Whitaker,0,9,1
start,453923,Gregor Blanco,1,1,8
start,451664,Wes Timmons,1,2,5
start,425796,Jeff Francoeur,1,3,9
start,429801,Scott Thorman,1,4,3
start,435263,Brian McCann,1,5,2
start,438423,Juan Velazquez,1,6,4
start,430643,Onil Joseph,1,7,7
start,434682,Luis Hernandez,1,8,6
start,460580,Chuck James,1,9,1
play,1,0,462433,,,K
play,1,0,453862,,,K
play,1,0,444912,,,9/F
play,1,1,453923,,,K
play,1,1,451664,,,53/G
play,1,1,425796,,,HP
play,1,1,429801,,,3/G
play,2,0,430647,,,K
play,2,0,434582,,,K
play,2,0,431161,,,5/L
play,2,1,435263,,,S9/L
play,2,1,438423,,,S9/L.1-3(E9)(E9);B-2
play,2,1,430643,,,D7/L.2-H;3-H
play,2,1,434682,,,43/G.2-3
play,2,1,460580,,,K
play,2,1,453923,,,S8/L.3-H
play,2,1,451664,,,HP.1-2
play,2,1,425796,,,S7/L.1XH;2-H
play,3,0,456099,,,K
play,3,0,448732,,,K
play,3,0,457086,,,K
play,3,1,429801,,,W
play,3,1,435263,,,W.1-2
play,3,1,438423,,,23/SH.1-2;2-3
play,3,1,430643,,,S8/G.2-H;3-H;B-2
play,3,1,434682,,,3/G.2-3
play,3,1,460580,,,K
play,4,0,462433,,,2/PF
play,4,0,453862,,,8/F
play,4,0,444912,,,9/F
play,4,1,453923,,,T9/L
play,4,1,451664,,,63/G
play,4,1,425796,,,63/G
play,4,1,429801,,,43/G
play,5,0,430647,,,D7/L
play,5,0,434582,,,43/G.2-3
play,5,0,431161,,,W
play,5,0,456099,,,S8/L.1-3;3-H
play,5,0,448732,,,K
play,5,0,457086,,,NP
sub,444534,Mike Richardson,0,9,11
play,5,0,444534,,,W.1-2
play,5,0,462433,,,E7.1-H;2-H;3-H;B-2
play,5,0,453862,,,NP
sub,439309,James Dehart,1,9,1
