id,MidTEX200505040
info,visteam,TulTEX
info,hometeam,MidTEX
info,date,2005/05/04
start,434625,Jeff Salazar,0,1,8
start,430620,Tony Miller,0,2,10
start,447794,Corey Slavik,0,3,3
start,446436,Sean Barker,0,4,9
start,448676,Ryan Spilborghs,0,5,7
start,445226,Thomas Nicholson,0,6,5
start,434624,Jayson Nix,0,7,4
start,408222,Dan Conway,0,8,2
start,448674,Douglas Bernier,0,9,6
start,450205,Keith Ramsey,0,0,1
start,456577,Mark Kiger,1,1,4
start,435560,Omar Quintanilla,1,2,6
start,444843,Andre Ethier,1,3,7
start,425851,Jeremy Brown,1,4,2
start,459322,Brian Stavisky,1,5,10
start,450196,Brant Colamarino,1,6,3
start,452712,Matthew Allegra,1,7,8
start,434634,Jason Perry,1,8,9
start,460183,Lloyd Turner,1,9,5
start,461881,Mike Ziegler,1,0,1
play,1,0,434625,,,W
play,1,0,430620,,,K+SB2
play,1,0,447794,,,K
play,1,0,446436,,,SB3
play,1,0,446436,,,63/G
play,1,1,456577,,,W
play,1,1,435560,,,7/F
play,1,1,444843,,,S7/L.1-2
play,1,1,425851,,,W.1-2;2-3
play,1,1,459322,,,S8/L.1-2;2-H;3-H
play,1,1,450196,,,K
play,1,1,452712,,,FC5/G.1X2(54)
play,2,0,448676,,,63/G
play,2,0,445226,,,S8/L
play,2,0,434624,,,D7/G.1-3
play,2,0,408222,,,53/G.2-3;3-H
play,2,0,448674,,,63/G
play,2,1,434634,,,9/F
play,2,1,460183,,,E5
play,2,1,456577,,,SB2
play,2,1,456577,,,8/F
play,2,1,435560,,,SB3
play,2,1,435560,,,K
play,3,0,434625,,,D7/L
play,3,0,430620,,,43/G.2-3
play,3,0,447794,,,D9/L.3-H
play,3,0,446436,,,6/L
play,3,0,448676,,,S7/L.2-H
play,3,0,445226,,,S8/L.1-3
play,3,0,434624,,,D8/F.1-H;3-H
play,3,0,408222,,,CS3
play,3,1,444843,,,S9/L
play,3,1,425851,,,W.1-2
play,3,1,459322,,,S9/L.1-2;2-H
play,3,1,450196,,,S7/G.1-3;2-H;BX2(764)
play,3,1,452712,,,K23
play,3,1,434634,,,43/G
play,4,0,408222,,,53/G
play,4,0,448674,,,53/G
play,4,0,434625,,,43/G
play,4,1,460183,,,NP
sub,455589,Gerrit Simpson,0,0,1
play,4,1,460183,,,K
play,4,1,456577,,,S8/G
play,4,1,435560,,,S7/G.1-3
play,4,1,444843,,,9/SF.3-H
play,4,1,425851,,,7/F
play,5,0,430620,,,S7/G
play,5,0,447794,,,8/F
play,5,0,446436,,,SB2
play,5,0,446436,,,D9/G.2-H
play,5,0,448676,,,NP
sub,434632,Evan Fahrner,1,0,1
play,5,0,448676,,,S5/G.2-3
play,5,0,445226,,,D7/F.1-3;3-H
play,5,0,434624,,,8/SF.2-3;3-H
play,5,0,408222,,,9/F
play,5,1,459322,,,3/G
play,5,1,450196,,,4/P
play,5,1,452712,,,S7/L
play,5,1,434634,,,W.1-2
play,5,1,460183,,,9/F
play,6,0,448674,,,S8/L
play,6,0,434625,,,9/F
play,6,0,430620,,,7/F
play,6,0,447794,,,PO1(E?).1-2
play,6,0,446436,,,NP
sub,446629,Nick Brannon,1,0,1
play,6,0,447794,,,W
play,6,0,446436,,,4/P
play,6,1,456577,,,W
play,6,1,435560,,,NP
sub,447658,Marcos Mendoza,0,0,1
play,6,1,435560,,,9/F
play,6,1,444843,,,HR/F.1-H
play,6,1,425851,,,K
play,6,1,459322,,,S6/G
play,6,1,450196,,,K
play,7,0,448676,,,K
play,7,0,445226,,,W
play,7,0,434624,,,43/G.1-2
play,7,0,408222,,,53/G
play,7,1,452712,,,HR/F
play,7,1,434634,,,K
play,7,1,460183,,,NP
sub,465716,Yusuke Arakawa,0,0,1
play,7,1,460183,,,S8/G
play,7,1,456577,,,8/F
play,7,1,435560,,,8/F
play,8,0,448674,,,NP
sub,460668,Nick Mattioni,1,0,1
play,8,0,448674,,,K
play,8,0,434625,,,9/F
play,8,0,430620,,,K
play,8,1,444843,,,31/G
play,8,1,425851,,,W
play,8,1,459322,,,64(1)3/GDP/G6
play,9,0,447794,,,7/F
play,9,0,446436,,,6/P
play,9,0,448676,,,K
play,9,1,450196,,,S7/L
play,9,1,452712,,,13/SH.1-2
play,9,1,434634,,,D8/F.2-H
id,MidTEX200505130
info,visteam,CorTEX
info,hometeam,MidTEX
info,date,2005/05/13
start,461811,Josh Anderson,0,1,8
start,431246,Eric Riggs,0,2,6
start,462405,Brooks Conrad,0,3,4
start,443767,Carlos Rodriguez,0,4,9
start,464240,Ray Navarrete,0,5,5
start,150306,Dax Norris,0,6,10
start,458658,Mike Rodriguez,0,7,7
start,430591,Hector Gimenez,0,8,2
start,455986,Mark Saccomanno,0,9,3
start,430588,Fernando Nieve,0,0,1
start,435560,Omar Quintanilla,1,1,6
start,459322,Brian Stavisky,1,2,10
start,444843,Andre Ethier,1,3,7
start,434634,Jason Perry,1,4,9
start,450196,Brant Colamarino,1,5,3
start,452712,Matthew Allegra,1,6,5
start,461769,Steve Stanley,1,7,8
start,462390,Casey Myers,1,8,2
start,460183,Lloyd Turner,1,9,4
start,451796,Steven Bondurant,1,0,1
play,1,0,461811,,,53/BG
play,1,0,431246,,,9/F
play,1,0,462405,,,8/F
play,1,1,435560,,,63/G
