id,BluAPP200606281
info,visteam,EliAPP
info,hometeam,BluAPP
info,date,2006/06/28
start,471131,William Luque,0,1,5
start,445165,Josh Land,0,2,7
start,501920,Brian Dinkelman,0,3,4
start,474727,Henry Sanchez,0,4,10
start,445180,Danny Santiesteban,0,5,8
start,455702,Joshua Dean,0,6,3
start,468522,Wesley Connor,0,7,9
start,456999,Jeffrey Christy,0,8,2
start,465713,Yancarlos Ortiz,0,9,6
start,502293,Sean Land,0,0,1
start,465753,Pedro Florimon Jr.,1,1,6
start,466445,Pedro Silveren,1,2,4
start,457780,Kieron Pope,1,3,7
start,458593,Joey Howell,1,4,9
start,488780,Paul Chmiel,1,5,10
start,501794,Anthony Martinez,1,6,3
start,502335,Bobby Henson,1,7,5
start,502351,Luis Lopez,1,8,8
start,472541,Leonardo Huches,1,9,2
start,447835,Andrew Schindling,1,0,1
play,1,0,471131,,,7/F
play,1,0,445165,,,S9/L
play,1,0,501920,,,SB2
play,1,0,501920,,,K
play,1,0,474727,,,43/G
play,1,1,465753,,,53/G
play,1,1,466445,,,K
play,1,1,457780,,,W
play,1,1,458593,,,9/F
play,2,0,445180,,,W
play,2,0,455702,,,SB2
play,2,0,455702,,,K
play,2,0,placeholder,,,PO2(E?).2-3
play,2,0,468522,,,FC6.3X3(65)
play,2,0,456999,,,8/F
play,2,1,488780,,,K
play,2,1,501794,,,13/G
play,2,1,502335,,,W
play,2,1,502351,,,S9/L.1-3
play,2,1,472541,,,SB2
play,2,1,472541,,,9/F
play,3,0,465713,,,43/G
play,3,0,471131,,,S7/L
play,3,0,445165,,,WP.1-2
play,3,0,445165,,,K
play,3,0,501920,,,4/L
play,3,1,465753,,,W
play,3,1,466445,,,PO1(13)
play,3,1,466445,,,63/G
play,3,1,457780,,,S8/L
play,3,1,458593,,,9/F
play,4,0,474727,,,NP
sub,501828,Ryan Ouellette,1,0,1
play,4,0,474727,,,63/G
play,4,0,445180,,,9/F
play,4,0,455702,,,W
play,4,0,468522,,,43/G
play,4,1,488780,,,W
play,4,1,501794,,,FC3/G.1X2(36);B-1
play,4,1,502335,,,K
play,4,1,502351,,,K
play,5,0,456999,,,9/F
play,5,0,465713,,,K
play,5,0,471131,,,S7/L
play,5,0,445165,,,S7/G.1-3
play,5,0,501920,,,S8/L.1-3;3-H
play,5,0,474727,,,NP
sub,456941,Bruce Gallaway,1,0,1
play,5,0,474727,,,E4.1-2;3-H
play,5,0,445180,,,D9/L.1-3;2-H
play,5,0,455702,,,K
play,5,1,472541,,,NP
sub,456487,Matthew Williams,0,0,1
play,5,1,472541,,,S7/L
play,5,1,465753,,,WP.1-2
play,5,1,465753,,,FC6.2X3(65)
play,5,1,466445,,,9/F
play,5,1,457780,,,S9/L.1-3;B-2(E9/TH)
play,5,1,458593,,,7/F
play,6,0,468522,,,HP
play,6,0,456999,,,S8/G.1-2
play,6,0,465713,,,WP.1-2;2-3
play,6,0,465713,,,K
play,6,0,471131,,,IW
play,6,0,445165,,,S5/G.1-2;2-3;3-H
play,6,0,501920,,,FC5/G.1-2;2-3;3XH(52);B-1
play,6,0,474727,,,NP
sub,460151,Joshua Faiola,1,0,1
play,6,0,474727,,,K
play,6,1,488780,,,K
play,6,1,501794,,,63/G
play,6,1,502335,,,W
play,6,1,502351,,,S7/G.1-2
play,6,1,472541,,,K
play,7,0,445180,,,K
play,7,0,455702,,,8/F
play,7,0,468522,,,K
play,7,1,465753,,,S4/BG
play,7,1,466445,,,S8/L.1-2
play,7,1,457780,,,NP
sub,467069,Danny Hernandez,0,0,1
play,7,1,457780,,,9/F
play,7,1,458593,,,W.1-2;2-3
play,7,1,488780,,,K
play,7,1,501794,,,FC6/G.1X2(64)
id,BluAPP200606282
info,visteam,EliAPP
info,hometeam,BluAPP
info,date,2006/06/28
start,464348,Michael Lysaught,0,1,4
start,501979,Garrett Olson,0,2,5
start,468522,Wesley Connor,0,3,10
start,474727,Henry Sanchez,0,4,3
start,458686,Gregory Yersich,0,5,2
start,445180,Danny Santiesteban,0,6,8
start,469083,Richard Sojo,0,7,7
start,457739,J. W. Wilson,0,8,9
start,502035,Steven Singleton,0,9,6
start,471803,Armando Gabino,0,0,1
start,463717,Richard D Oleo,1,1,8
start,466445,Pedro Silveren,1,2,4
start,462984,Franklin Gonzalez,1,3,5
start,488780,Paul Chmiel,1,4,3
start,502664,Justin Johnson,1,5,2
start,502335,Bobby Henson,1,6,6
start,489762,Leonel Yeme,1,7,10
start,503484,Joseph Nowicki,1,8,9
start,470459,Winter Polo,1,9,7
