id,AanAZL200606230
info,visteam,AmaAZL
info,hometeam,AanAZL
info,date,2006/06/23
start,448816,Marquise Liverpool,0,1,7
start,501803,Marcos Villezcas,0,2,6
start,468535,Welington Dotel,0,3,10
start,462973,Gerardo Avila,0,4,3
start,451713,Carlos Peguero,0,5,9
start,488897,Alex Gary,0,6,8
start,499926,Alex Liddi,0,7,5
start,488954,Julian Henson,0,8,2
start,450704,Matthew Vogel,0,9,4
start,446150,Aric Van Gaalen,0,0,1
start,502206,Clayton Fuller,1,1,7
start,464423,Carlos Colmenares,1,2,6
start,502575,Matthew Sweeney,1,3,5
start,474233,Hank Conger,1,4,10
start,446411,Seth Loman,1,5,3
start,503498,Angel Castillo,1,6,9
start,489135,Jeremy Moore,1,7,8
start,455117,Martin Maldonado,1,8,2
start,459968,Christopher Lewis,1,9,4
start,473279,Esmerlin Jimenez,1,0,1
play,1,0,448816,,,S8/L
play,1,0,501803,,,43/G.1-2
play,1,0,468535,,,SB3
play,1,0,468535,,,K
play,1,0,462973,,,S9/G.3-H
play,1,0,451713,,,K
play,1,1,502206,,,8/F
play,1,1,464423,,,7/F
play,1,1,502575,,,HP
play,1,1,474233,,,FC6/G.1X2(64)
play,2,0,488897,,,W
play,2,0,499926,,,9/F
play,2,0,488954,,,BK.1-2
play,2,0,488954,,,63/G
play,2,0,450704,,,S4/G.2-3
play,2,0,448816,,,S8/F.1-3;3-H
play,2,0,501803,,,SBH;SB2
play,2,0,501803,,,4/P
play,2,1,446411,,,13/G
play,2,1,503498,,,53/G
play,2,1,489135,,,3/G
play,3,0,468535,,,W
play,3,0,462973,,,S9/L.1-2
play,3,0,451713,,,HR/F.1-H;2-H
play,3,0,488897,,,6/P
play,3,0,499926,,,W
play,3,0,488954,,,S6/G.1-2
play,3,0,450704,,,OA.2X3(25)
play,3,0,450704,,,S9/L.1-2
play,3,0,448816,,,NP
sub,501812,Timothy Schoeninger,1,0,1
play,3,0,448816,,,53/G
play,3,1,455117,,,63/G
play,3,1,459968,,,53/G
play,3,1,502206,,,53/G
play,4,0,501803,,,43/G
play,4,0,468535,,,K23
play,4,0,462973,,,S7/L
play,4,0,451713,,,K
play,4,1,464423,,,13/G
play,4,1,502575,,,HP
play,4,1,474233,,,S9/L.1-3
play,4,1,446411,,,K
play,4,1,503498,,,FC5/G.1X2(54)
play,5,0,488897,,,5/L
play,5,0,499926,,,K
play,5,0,488954,,,9/F
play,5,1,489135,,,S4/G
play,5,1,455117,,,S9/G.1X3
play,5,1,459968,,,W.1-2
play,5,1,502206,,,FC5/G.1X2(54);2-H;B-2(E4/TH)
play,5,1,464423,,,K
play,6,0,450704,,,7/F
play,6,0,448816,,,S6/G
play,6,0,501803,,,SB2
play,6,0,501803,,,W
play,6,0,468535,,,PO?(E?).1-2;2-3
play,6,0,468535,,,4/L
play,6,0,462973,,,6/P
play,6,1,502575,,,K
play,6,1,474233,,,S7/G
play,6,1,446411,,,E6.1-2
play,6,1,503498,,,3/P
play,6,1,489135,,,PB.1-2;2-3
play,6,1,489135,,,T8/F.2-H;3-H
play,6,1,455117,,,S6/G.3-H
play,6,1,459968,,,S9/G.1-2
play,6,1,502206,,,NP
sub,458160,Jared Eichelberger,0,0,1
play,6,1,502206,,,W.1-2;2-3
play,6,1,464423,,,43/G
play,7,0,451713,,,NP
sub,456504,Dylan Peacock,1,0,1
play,7,0,451713,,,K
play,7,0,488897,,,HR/F
play,7,0,499926,,,E5
play,7,0,488954,,,7/F
play,7,0,450704,,,S8/G.1-2
play,7,0,448816,,,9/FF
play,7,1,502575,,,HR/F
play,7,1,474233,,,43/G
play,7,1,446411,,,S9/L
play,7,1,503498,,,8/F
play,7,1,489135,,,FC6/G.1X2(64)
play,8,0,501803,,,S8/G
play,8,0,468535,,,K+CS2
play,8,0,462973,,,E4/TH.B-2
play,8,0,451713,,,K
play,8,1,455117,,,NP
sub,488743,Will Brown,0,0,1
play,8,1,455117,,,NP
sub,472569,Norberto Ortiz,1,8,11
play,8,1,472569,,,K23
play,8,1,459968,,,W
play,8,1,502206,,,K
play,8,1,464423,,,SB2
play,8,1,464423,,,K23
play,9,0,488897,,,NP
sub,462117,Anel De Los Santos,1,8,2
play,9,0,499926,,,NP
sub,451753,Pedro Herrera,1,0,1
play,9,0,488897,,,D7/G
play,9,0,499926,,,4(B)46(2)/LDP
play,9,0,488954,,,43/G
play,9,1,502575,,,W
play,9,1,474233,,,K
play,9,1,446411,,,K
play,9,1,503498,,,K
id,AanAZL200606260
info,visteam,AraAZL
info,hometeam,AanAZL
info,date,2006/06/26
start,430602,Ruddy Yan,0,1,9
start,502635,Cody Podraza,0,2,8
start,450855,Mauro Gomez,0,3,5
start,491643,Jose Rodriguez,0,4,3
start,470500,Carlos Dominguez,0,5,2
start,491679,Victor Barrios,0,6,7
start,489260,Timothy Rodriguez,0,7,10
start,503571,Johan Yan,0,8,4
start,503570,Andres James,0,9,6
start,502609,Daniel Herrera,0,0,1
start,489135,Jeremy Moore,1,1,7
start,459968,Christopher Lewis,1,2,4
start,502575,Matthew Sweeney,1,3,5
start,474233,Hank Conger,1,4,10
start,446411,Seth Loman,1,5,3
start,503498,Angel Castillo,1,6,9
start,502206,Clayton Fuller,1,7,8
