id,LanCAL200604140
info,visteam,RanCAL
info,hometeam,LanCAL
info,date,2006/04/14
start,448257,Josh Leblanc,0,1,8
start,4888889,Cody Fuller,0,2,9
start,461866,Freddy Sandoval,0,3,5
start,452052,Ben Johnson,0,4,10
start,448263,Drew Toussaint,0,5,7
start,444454,Devin Day,0,6,6
start,450287,Clifton Remole,0,7,3
start,447767,Tim Duff,0,8,2
start,456430,Nate Sutton,0,9,4
start,461766,Jose Arredondo,0,0,1
start,473922,Chris Rahl,1,1,7
start,446868,Wilkin Castillo,1,2,2
start,471865,Carlos Gonzalez,1,3,9
start,459446,Cesar Nicolas,1,4,3
start,448146,Jereme Milons,1,5,8
start,489277,Rusty Ryal,1,6,5
start,446404,Joshua Ford,1,7,10
start,451576,Derek Bruce,1,8,6
start,466988,Emilio Bonifacio,1,9,4
start,449821,Kellen Raab,1,0,1
play,1,0,448257,,,K23
play,1,0,4888889,,,S8/L
play,1,0,461866,,,SB2
play,1,0,461866,,,W
play,1,0,452052,,,K+CS3
play,1,1,473922,,,K
play,1,1,446868,,,K
play,1,1,471865,,,31/G
play,2,0,448263,,,D8/L
play,2,0,444454,,,9/F
play,2,0,450287,,,K
play,2,0,447767,,,S8/G.2-H
play,2,0,456430,,,S4/G.1-2
play,2,0,448257,,,K
play,2,1,459446,,,9/L
play,2,1,448146,,,63/G
play,2,1,489277,,,K23
play,3,0,4888889,,,D8/F
play,3,0,461866,,,S7/L.2-3
play,3,0,452052,,,46(1)3/GDP/G4.3-H
play,3,0,448263,,,63/G
play,3,1,446404,,,W
play,3,1,451576,,,S8/G.1-2
play,3,1,466988,,,S1/BG.1-2;2-3
play,3,1,473922,,,K
play,3,1,446868,,,K
play,3,1,471865,,,7/F
play,4,0,444454,,,9/F
play,4,0,450287,,,S8/L
play,4,0,447767,,,PO1(E?).1-3
play,4,0,447767,,,K
play,4,0,456430,,,S9/L.3-H
play,4,0,448257,,,CS2
play,4,1,459446,,,7/F
play,4,1,448146,,,K
play,4,1,489277,,,S7/F
play,4,1,446404,,,K
play,5,0,448257,,,8/F
play,5,0,4888889,,,S9/L
play,5,0,461866,,,FC4/G.1X2(4);B-2(E4/TH)
play,5,0,452052,,,9/F
play,5,1,451576,,,S7/G
play,5,1,466988,,,K+SB2
play,5,1,473922,,,53/G
play,5,1,446868,,,S9/L.2-H
play,5,1,471865,,,S4/G.1-2
play,5,1,459446,,,K
play,6,0,448263,,,NP
sub,448600,Daniel Pohlman,1,0,1
play,6,0,448263,,,D7/L
play,6,0,444454,,,6/L
play,6,0,450287,,,53/G.2-3
play,6,0,447767,,,W
play,6,0,456430,,,K
play,6,1,448146,,,NP
sub,456068,Miguel Gonzalez,0,0,1
play,6,1,448146,,,63/G
play,6,1,489277,,,S5/G
play,6,1,446404,,,64(1)3/GDP/G6
play,7,0,448257,,,63/G
play,7,0,4888889,,,K
play,7,0,461866,,,S1/L
play,7,0,452052,,,PO1(23)
play,7,1,451576,,,K
play,7,1,466988,,,S8/G
play,7,1,473922,,,D8/F.1-H
play,7,1,446868,,,S6/G.2-3
play,7,1,471865,,,NP
sub,458159,Mike Pete,0,0,1
play,7,1,471865,,,D8/F.1-H;3-H
play,7,1,459446,,,63/G
play,7,1,448146,,,SB3
play,7,1,448146,,,K
play,8,0,452052,,,13/G
play,8,0,448263,,,HP
play,8,0,444454,,,S9/L.1-2
play,8,0,450287,,,S7/G.1-3;2-H
play,8,0,447767,,,WP.1-2;3-H
play,8,0,447767,,,S6/G.2-3
play,8,0,456430,,,NP
sub,445087,Jared Doyle,1,0,1
play,8,0,456430,,,64(1)3/GDP/G6
play,8,1,489277,,,NP
sub,489075,Kevin Lynch,0,0,1
play,8,1,489277,,,S8/L.B-2(E8)
play,8,1,446404,,,NP
sub,452759,Brandon Burgess,1,7,11
play,8,1,452759,,,3/G.2-3
play,8,1,451576,,,CSH
play,8,1,451576,,,K
play,9,0,448257,,,NP
sub,452759,Brandon Burgess,1,7,10
play,9,0,448257,,,6/PF
play,9,0,4888889,,,13/G
play,9,0,461866,,,W
play,9,0,452052,,,FC6/G.1X2(64)
play,9,1,466988,,,S8/G
play,9,1,473922,,,S8/G.1-2
play,9,1,446868,,,W.1-2;2-3
play,9,1,471865,,,12(3)3/GDP/G1.1-2;2-3
play,9,1,459446,,,K
id,LanCAL200604150
info,visteam,RanCAL
info,hometeam,LanCAL
info,date,2006/04/15
start,448257,Josh Leblanc,0,1,8
start,4888889,Cody Fuller,0,2,9
start,461866,Freddy Sandoval,0,3,5
start,446479,Matthew Pali,0,4,7
start,452015,Michael Collins,0,5,2
start,450287,Clifton Remole,0,6,3
start,457127,Baltazar Lopez,0,7,10
start,444454,Devin Day,0,8,6
start,456430,Nate Sutton,0,9,4
start,451775,Fernando Rodriguez,0,0,1
start,473922,Chris Rahl,1,1,8
start,446868,Wilkin Castillo,1,2,10
start,471865,Carlos Gonzalez,1,3,9
start,459446,Cesar Nicolas,1,4,3
start,452759,Brandon Burgess,1,5,7
start,489277,Rusty Ryal,1,6,5
start,448602,Mark Reynolds,1,7,4
start,446404,Joshua Ford,1,8,2
start,451576,Derek Bruce,1,9,6
start,446275,Matthew Green,1,0,1
play,1,0,448257,,,5/BP
play,1,0,4888889,,,4/P
play,1,0,461866,,,43/G
play,1,1,473922,,,63/G
play,1,1,446868,,,8/F
play,1,1,471865,,,31/G
play,2,0,446479,,,S9/L
play,2,0,452015,,,K
play,2,0,450287,,,D8/F.1-3
play,2,0,457127,,,8/SF.3-H
play,2,0,444454,,,S6/G.2-3
play,2,0,456430,,,S8/F.1-3;3-H
play,2,0,448257,,,6/P
play,2,1,459446,,,63/G
play,2,1,452759,,,HR/F
play,2,1,489277,,,9/F
play,2,1,448602,,,K
play,3,0,4888889,,,9/F
play,3,0,461866,,,W
play,3,0,446479,,,43/G.1-2
play,3,0,452015,,,S8/L.2-H
play,3,0,450287,,,S9/G.1-2
play,3,0,457127,,,WP.1-2;2-3
play,3,0,457127,,,W
play,3,0,444454,,,D7/F.1-3;2-H;3-H
play,3,0,456430,,,K
play,3,1,446404,,,63/G
play,3,1,451576,,,31/G
play,3,1,473922,,,4/P
play,4,0,448257,,,13/BG
play,4,0,4888889,,,S9/L
play,4,0,461866,,,W.1-2
play,4,0,446479,,,SB3;SB2
play,4,0,446479,,,K
play,4,0,452015,,,S9/G.2-H;3-H
play,4,0,450287,,,NP
sub,448162,Mark Rosen,1,0,1
play,4,0,450287,,,7/F
play,4,1,446868,,,31/G
play,4,1,471865,,,K
play,4,1,459446,,,8/F
play,5,0,457127,,,S7/L
play,5,0,444454,,,POCS2(136)
play,5,0,444454,,,53/G
play,5,0,456430,,,43/G
play,5,1,452759,,,S7/G
play,5,1,489277,,,FC5/G.1X2(54);B-1
play,5,1,448602,,,S7/L.1-3
play,5,1,446404,,,FC5/G.1X2(54);3-H;B-1
play,5,1,451576,,,3/PF
play,6,0,448257,,,4/L
play,6,0,4888889,,,K
play,6,0,461866,,,W
play,6,0,446479,,,K
play,6,1,473922,,,K
play,6,1,446868,,,43/G
play,6,1,471865,,,S9/G
play,6,1,459446,,,S8/G.1-2
play,6,1,452759,,,53/G
play,7,0,452015,,,NP
sub,448157,Ryan Coffin,1,0,1
play,7,0,452015,,,S7/G
play,7,0,450287,,,9/F
play,7,0,457127,,,64(1)3/GDP/G6
play,7,1,489277,,,S7/L
play,7,1,448602,,,D7/G.1-3
play,7,1,446404,,,D9/G.2-H;3-H
play,7,1,451576,,,NP
sub,457994,Micah Posey,0,0,1
play,7,1,451576,,,HP
play,7,1,473922,,,S1/BG.1-3;2-H;B-2
play,7,1,446868,,,W
play,7,1,471865,,,K
play,7,1,459446,,,K
play,7,1,452759,,,K
play,8,0,444454,,,7/F
play,8,0,456430,,,6/L
play,8,0,448257,,,5/L
play,8,1,489277,,,NP
sub,458546,Frederic DeLoizaga-Carney,0,0,1
play,8,1,489277,,,43/G
play,8,1,448602,,,8/F
play,8,1,446404,,,S9/L
play,8,1,451576,,,6/P
play,9,0,4888889,,,NP
sub,458220,Esmerling Vasquez,1,0,1
play,9,0,4888889,,,S8/L
play,9,0,461866,,,WP.1-2
play,9,0,461866,,,43/G.2-3
play,9,0,446479,,,S9/L.3-H
play,9,0,452015,,,S9/F.1-3
play,9,0,450287,,,S9/L.1-2;3-H
play,9,0,457127,,,K+CS3
play,9,1,473922,,,HR/F
play,9,1,446868,,,6/P
play,9,1,471865,,,7/F
play,9,1,459446,,,9/FF
id,LanCAL200604160
info,visteam,RanCAL
info,hometeam,LanCAL
info,date,2006/04/16
start,4888889,Cody Fuller,0,1,8
start,444454,Devin Day,0,2,6
start,461866,Freddy Sandoval,0,3,5
start,452015,Michael Collins,0,4,10
start,448263,Drew Toussaint,0,5,7
start,446479,Matthew Pali,0,6,9
start,452052,Ben Johnson,0,7,2
start,450287,Clifton Remole,0,8,3
start,456430,Nate Sutton,0,9,4
start,445932,Karl Gelinas,0,0,1
start,466988,Emilio Bonifacio,1,1,4
start,446868,Wilkin Castillo,1,2,2
start,473922,Chris Rahl,1,3,7
start,471865,Carlos Gonzalez,1,4,9
start,489277,Rusty Ryal,1,5,5
start,448146,Jereme Milons,1,6,8
start,446404,Joshua Ford,1,7,10
start,469085,Javier Brito,1,8,3
start,451576,Derek Bruce,1,9,6
start,453889,Matt Chico,1,0,1
play,1,0,4888889,,,43/G
play,1,0,444454,,,K
play,1,0,461866,,,9/F
play,1,1,466988,,,W
play,1,1,446868,,,4/P
play,1,1,473922,,,S7/F.1-2
play,1,1,471865,,,HR/F.1-H;2-H
play,1,1,489277,,,K
play,1,1,448146,,,K
play,2,0,452015,,,S9/F
play,2,0,448263,,,9/F
play,2,0,446479,,,8/F
play,2,0,452052,,,HR/F.1-H
play,2,0,450287,,,43/G
play,2,1,446404,,,9/F
play,2,1,469085,,,W
play,2,1,451576,,,54(1)3/GDP/G5
play,3,0,456430,,,S7/L
play,3,0,4888889,,,S8/F.1-2
play,3,0,444454,,,W.1-2;2-3
