id,KinCAR200604240
info,visteam,LynCAR
info,hometeam,KinCAR
info,date,2006/04/24
start,460579,Nyjer Morgan,0,1,8
start,444448,Brian Bixler,0,2,6
start,468892,Vince Rooi,0,3,5
start,456127,Brad Correll,0,4,9
start,444388,Michael Carlin,0,5,3
start,456727,Richard Suomi,0,6,2
start,465603,Antonio Sucre,0,7,10
start,457545,Dan Schwartzbauer,0,8,4
start,446469,Pedro Powell,0,9,7
start,454480,Wardell Starling,0,0,1
start,469040,Argenis Reyes,1,1,4
start,452073,Brian Finegan,1,2,6
start,460067,Trevor Crowe,1,3,8
start,460115,Stephen Head,1,4,3
start,446382,Brian Barton,1,5,9
start,488740,Jordan Brown,1,6,7
start,456594,Matthew Whitney,1,7,5
start,444340,Micah Schilling,1,8,10
start,444430,Wyatt Toregas,1,9,2
start,460260,Scott Lewis,0,0,1
play,1,0,460579,,,7/F
play,1,0,444448,,,K
play,1,0,468892,,,K
play,1,1,469040,,,3/G
play,1,1,452073,,,5/L
play,1,1,460067,,,W
play,1,1,460115,,,SB2
play,1,1,460115,,,43/G
play,2,0,456127,,,K
play,2,0,444388,,,8/F
play,2,0,456727,,,S8/L
play,2,0,465603,,,K
play,2,1,446382,,,S8/G
play,2,1,488740,,,13/G.1-2
play,2,1,456594,,,63/G.2-3
play,2,1,444340,,,T8/F.3-H
play,2,1,444430,,,13/G
play,3,0,457545,,,43/G
play,3,0,446469,,,8/F
play,3,0,460579,,,S8/F
play,3,0,444448,,,SB2
play,3,0,444448,,,K
play,3,1,469040,,,W
play,3,1,452073,,,PO1(13)
play,3,1,452073,,,53/G
play,3,1,460067,,,1/G
play,4,0,468892,,,S7/G
play,4,0,456127,,,FC6/G.1X2(64);B-1
play,4,0,444388,,,PO1(13)
play,4,0,444388,,,63/G
play,4,1,460115,,,43/G
play,4,1,446382,,,13/G
play,4,1,488740,,,5/PF
play,5,0,456727,,,6/P
play,5,0,465603,,,K23
play,5,0,457545,,,8/F
play,5,1,456594,,,8/F
play,5,1,444340,,,43/G
play,5,1,444430,,,W
play,5,1,469040,,,S8/L.1-2
play,5,1,452073,,,K
play,6,0,446469,,,NP
sub,444836,Aaron Laffey,1,0,1
play,6,0,446469,,,K
play,6,0,460579,,,E5/TH
play,6,0,444448,,,K
play,6,0,468892,,,CS2
play,6,1,460067,,,NP
sub,453904,Yoann Torrealba,0,0,1
play,6,1,460067,,,W
play,6,1,460115,,,7/F
play,6,1,446382,,,WP.1-2
play,6,1,446382,,,3/P
play,6,1,488740,,,8/F
play,7,0,468892,,,53/G
play,7,0,456127,,,3/L
play,7,0,444388,,,D7/F
play,7,0,456727,,,K
play,7,1,456594,,,W
play,7,1,444340,,,K
play,7,1,444430,,,S7/G.1-2
play,7,1,469040,,,NP
sub,471529,Ramon Linares,0,0,1
play,7,1,469040,,,4(1)3/G4/GDP
play,8,0,465603,,,W
play,8,0,457545,,,14/SH.1-2
play,8,0,446469,,,63/G.2-3
play,8,0,460579,,,E4/TH.3-H
play,8,0,444448,,,S3/G.1-2
play,8,0,468892,,,NP
sub,452083,Kyle Collins,1,0,1
play,8,0,468892,,,W.1-2;2-3
play,8,0,456127,,,8/L
play,8,1,452073,,,K
play,8,1,460067,,,K
play,8,1,460115,,,7/F
play,9,0,444388,,,6/P
play,9,0,456727,,,8/F
play,9,0,465603,,,K
play,9,1,446382,,,K+WP.B-1
play,9,1,488740,,,13/SH.1-2
play,9,1,456594,,,W+WP.2-3
play,9,1,444340,,,NP
sub,449775,Brandon Pinckney,1,7,12
play,9,1,444340,,,IW.1-2
play,9,1,444430,,,HR/F7.1-H;2-H;3-H
id,KinCAR200605060
info,visteam,SalCAR
info,hometeam,KinCAR
info,date,2006/05/06
start,483337,Wade Robinson,0,1,4
start,445066,Ervin Alcantara,0,2,9
start,456511,Neil Sellers,0,3,5
start,454481,Scott Robinson,0,4,10
start,452742,Wallace Torbert,0,5,8
start,447718,Mario Garza,0,6,3
start,461246,Jeffrey Mackor,0,7,2
start,488812,Matthew Cunningham,0,8,7
start,446474,Edwin Maysonet,0,9,6
start,462956,Felipe Paulino,0,0,1
start,469040,Argenis Reyes,1,1,4
start,452073,Brian Finegan,1,2,6
start,460067,Trevor Crowe,1,3,8
start,460115,Stephen Head,1,4,3
start,446382,Brian Barton,1,5,7
start,457830,Ryan Goleski,1,6,9
start,456594,Matthew Whitney,1,7,5
start,488740,Jordan Brown,1,8,10
start,446897,Caleb Brock,1,9,2
start,449822,Scott Roehl,0,0,1
play,1,0,483337,,,S8/F
play,1,0,445066,,,K
play,1,0,456511,,,K+CS2
play,1,1,469040,,,63/G
play,1,1,452073,,,T9/F
play,1,1,460067,,,K
play,1,1,460115,,,S8/L.3-H
play,1,1,446382,,,K
play,2,0,454481,,,3/G
play,2,0,452742,,,S9/F
play,2,0,447718,,,W.1-2
play,2,0,461246,,,W.1-2;2-3
play,2,0,488812,,,FC6/G.1X2(64);2-3;3-H;B-1
play,2,0,446474,,,9/F
play,2,1,457830,,,W
play,2,1,456594,,,FC6/G.1X2(64);B-1
play,2,1,488740,,,FC6/G.1X2(64);B-1
play,2,1,446897,,,53/G
play,3,0,483337,,,S7/F
play,3,0,445066,,,9/L
play,3,0,456511,,,4(1)3/G4/GDP
play,3,1,469040,,,D9/F
play,3,1,452073,,,53/SH.2-3
play,3,1,460067,,,3/PF
play,3,1,460115,,,43/G
play,4,0,454481,,,NP
sub,445961,Reid Santos,1,0,1
play,4,0,454481,,,K
play,4,0,452742,,,K
play,4,0,447718,,,3/G
play,4,1,446382,,,E1
play,4,1,457830,,,K+SB2;1-3(E2/TH)
play,4,1,456594,,,HP
play,4,1,488740,,,5/PF
play,4,1,446897,,,13/G
play,5,0,461246,,,W
play,5,0,488812,,,23/SH.1-3
play,5,0,446474,,,63/G
play,5,0,483337,,,NP
sub,450300,Drew Sutton,0,1,11
play,5,0,450300,,,43/G
play,5,1,469040,,,NP
sub,450300,Drew Sutton,0,1,4
play,5,1,469040,,,K
play,5,1,452073,,,HR/F8
play,5,1,460067,,,S7/L
play,5,1,460115,,,CS2
play,5,1,460115,,,W
play,5,1,446382,,,S7/G.1-2
play,5,1,457830,,,WP.1-2;2-3
play,5,1,457830,,,S8/G.2-H;3-H;BX2(836)
play,6,0,445066,,,63/G
play,6,0,456511,,,53/G
play,6,0,454481,,,31/G
play,6,1,456594,,,NP
sub,455037,Enyelbert Soto,0,0,1
play,6,1,456594,,,K
play,6,1,488740,,,7/F
play,6,1,446897,,,D8/F
play,6,1,469040,,,E4.2-H
play,6,1,452073,,,4/P
play,7,0,452742,,,NP
sub,445069,T. J. Burton,1,0,1
play,7,0,452742,,,S9/G
play,7,0,447718,,,4/P
play,7,0,461246,,,SB2
play,7,0,461246,,,HP
play,7,0,488812,,,S9/L.1-2;2-3
play,7,0,446474,,,5/L.2-3(E5/TH);3-H
play,7,0,450300,,,S8/L.1-2;3-H
play,7,0,445066,,,NP
sub,452083,Kyle Collins,1,0,1
play,7,0,445066,,,WP.1-2;2-3
play,7,0,445066,,,53/G
id,KinCAR200604100
info,visteam,WilCAR
info,hometeam,KinCAR
info,date,2006/04/10
start,453056,Jacoby Ellsbury,0,1,8
start,452768,Jeffrey Corsaletti,0,2,7
start,476704,Jed Lowrie,0,3,6
start,446636,Claudio Arias,0,4,10
start,445945,Ian Bladergroen,0,5,3
start,452658,Scott White,0,6,5
start,458659,Jonathan Devries,0,7,2
start,458902,Ignacio Suarez,0,8,4
start,451621,Bryan Pritz,0,9,9
start,457128,Adam Blackley,0,0,1
start,469040,Argenis Reyes,1,1,4
start,452073,Brian Finegan,1,2,6
start,460067,Trevor Crowe,1,3,8
start,460115,Stephen Head,1,4,3
start,456594,Matthew Whitney,1,5,5
start,488740,Jordan Brown,1,6,7
start,457830,Ryan Goleski,1,7,9
start,449775,Brandon Pinckney,1,8,10
start,444430,Wyatt Toregas,1,9,2
start,455111,Chuck Lofgren,1,0,1
play,1,0,453056,,,K
play,1,0,452768,,,K
play,1,0,476704,,,K
play,1,1,469040,,,S6/G
play,1,1,452073,,,S9/G.1-3
play,1,1,460067,,,7/SF.3-H
play,1,1,460115,,,W.1-2
play,1,1,456594,,,K+SB3
play,1,1,488740,,,S7/F.1-2;3-H
play,1,1,457830,,,K
play,2,0,446636,,,7/F
play,2,0,445945,,,K
play,2,0,452658,,,9/F
play,2,1,449775,,,8/F
play,2,1,444430,,,3/P
play,2,1,469040,,,13/G
play,3,0,458659,,,K
play,3,0,458902,,,S7/L
play,3,0,451621,,,S7/F.1-3(E7)(E7);B-2
play,3,0,453056,,,13/SH.2-3;3-H
play,3,0,452768,,,K
play,3,1,452073,,,S9/F
play,3,1,460067,,,9/F.1-2
play,3,1,460115,,,D8/F.2-H
play,3,1,456594,,,K
play,3,1,488740,,,3/P
play,4,0,476704,,,63/G
play,4,0,446636,,,9/L
play,4,0,445945,,,K
play,4,1,457830,,,6/P
play,4,1,449775,,,8/F
play,4,1,444430,,,D7/F
play,4,1,469040,,,K
play,5,0,452658,,,3/P
play,5,0,458659,,,K
play,5,0,458902,,,S6/G
play,5,0,451621,,,43/G
play,5,1,452073,,,NP
sub,459409,Beau Vaughan,0,0,1
play,5,1,452073,,,63/G
play,5,1,460067,,,8/L
play,5,1,460115,,,8/F
play,6,0,453056,,,NP
sub,460264,Christopher Niesel,1,0,1
play,6,0,453056,,,7/F
play,6,0,452768,,,W
play,6,0,476704,,,PO1(?3)
play,6,0,476704,,,W
play,6,0,446636,,,S7/F.1-2
play,6,0,445945,,,3/G
play,6,1,456594,,,W
play,6,1,488740,,,64(1)3/GDP/G6
play,6,1,457830,,,W
play,6,1,449775,,,CS2
play,7,0,452658,,,7/F
play,7,0,458659,,,63/G
play,7,0,458902,,,S7/G
play,7,0,451621,,,4/P
play,7,1,444430,,,NP
sub,451507,Justin Sturge,0,0,1
play,7,1,449775,,,E1
play,7,1,444430,,,K
play,7,1,469040,,,S7/F.1-2
play,7,1,452073,,,WP.1-2;2-3
play,7,1,452073,,,W
play,7,1,460067,,,8/SF.3-H
play,7,1,460115,,,43/G
play,8,0,453056,,,NP
sub,444933,Jesus Soto,1,0,1
play,8,0,453056,,,4/L
play,8,0,452768,,,13/G
play,8,0,476704,,,K
play,8,1,456594,,,D7/G
play,8,1,488740,,,43/G.2-3
play,8,1,457830,,,53/G
play,8,1,449775,,,K
play,9,0,446636,,,NP
sub,445069,T. J. Burton,1,0,1
play,9,0,446636,,,8/F
play,9,0,445945,,,7/F
play,9,0,452658,,,S5/G
play,9,0,458659,,,FC6/G.1X2(64)
id,KinCAR200604110
info,visteam,WilCAR
info,hometeam,KinCAR
info,date,2006/04/11
start,453056,Jacoby Ellsbury,0,1,8
start,452768,Jeffrey Corsaletti,0,2,7
start,457958,John Otness,0,3,2
start,456031,Andrew Pinckney,0,4,5
start,446636,Claudio Arias,0,5,10
start,445945,Ian Bladergroen,0,6,3
start,456390,Michael Hall,0,7,9
start,458902,Ignacio Suarez,0,8,6
start,489227,Dominic Ramos,0,9,4
start,434669,Luis Mendoza,0,0,1
start,469040,Argenis Reyes,1,1,4
start,452073,Brian Finegan,1,2,6
