id,TreEL200607280
info,visteam,AkrEL
info,hometeam,TreEL
info,date,2006/07/28
start,462855,Eider Torres,0,1,4
start,430957,Brad Snyder,0,2,9
start,457830,Ryan Goleski,0,3,7
start,453892,Ryan Mulhern,0,4,3
start,446382,Brian Barton,0,5,8
start,444515,Shaun Larkin,0,6,10
start,455002,Pat Osborn,0,7,5
start,444430,Wyatt Toregas,0,8,2
start,430649,Ivan Ochoa,0,9,6
start,449089,Adam Miller,0,0,1
start,451668,Gabe Lopez,1,1,4
start,425479,Vince Faison,1,2,9
start,457859,Randy Ruiz,1,3,3
start,449080,Eric Duncan,1,4,10
start,446858,Kevin Howard,1,5,5
start,451629,Justin Christian,1,6,8
start,435408,Omir Santos,1,7,2
start,459449,Grant Plumley,1,8,6
start,454998,Matt Carson,1,9,7
start,400002,Matt Childers,1,0,1
play,1,0,462855,,,K
play,1,0,430957,,,K
play,1,0,457830,,,53/G
play,1,1,451668,,,K
play,1,1,425479,,,63/G
play,1,1,457859,,,K
play,2,0,453892,,,8/F
play,2,0,446382,,,W
play,2,0,444515,,,S8/G.1-3
play,2,0,455002,,,6/P
play,2,0,444430,,,63/G
play,2,1,449080,,,K
play,2,1,446858,,,K
play,2,1,451629,,,S5/G
play,2,1,435408,,,FC4/G.1X2(46)
play,3,0,430649,,,3/L
play,3,0,462855,,,K
play,3,0,430957,,,3/G
play,3,1,459449,,,E5
play,3,1,454998,,,D7/F.1-3
play,3,1,451668,,,6/P
play,3,1,425479,,,S9/F.2-3;3-H
play,3,1,457859,,,SB2
play,3,1,457859,,,K
play,3,1,449080,,,K
play,4,0,457830,,,63/G
play,4,0,453892,,,S7/F
play,4,0,446382,,,S9/G.1-2
play,4,0,444515,,,K
play,4,0,455002,,,S8/F.1X3;2-H
play,4,1,446858,,,K
play,4,1,451629,,,9/F
play,4,1,435408,,,D7/F
play,4,1,459449,,,13/G
play,5,0,444430,,,K
play,5,0,430649,,,8/F
play,5,0,462855,,,63/G
play,5,1,454998,,,D9/F
play,5,1,451668,,,K
play,5,1,425479,,,43/G.2-3
play,5,1,457859,,,HP
play,5,1,449080,,,K
play,6,0,430957,,,S8/G
play,6,0,457830,,,3/PF
play,6,0,453892,,,D8/F.1-H
play,6,0,446382,,,NP
sub,460079,J. B. Cox,1,0,1
play,6,0,446382,,,E6.2-3
play,6,0,444515,,,SB2
play,6,0,444515,,,43/G.2-3;3-H
play,6,0,455002,,,S7/F.3-H
play,6,0,444430,,,K
play,6,1,446858,,,63/G
play,6,1,451629,,,W
play,6,1,435408,,,FC6/G.1X2(64);B-1
play,6,1,459449,,,K
play,7,0,430649,,,K
play,7,0,462855,,,S5/G
play,7,0,430957,,,SB2
play,7,0,430957,,,D7/F.2-H
play,7,0,457830,,,SB3
play,7,0,457830,,,S8/G.3-H
play,7,0,453892,,,HR/F.1-H
play,7,0,446382,,,NP
sub,435461,Francisco Butto,1,0,1
play,7,0,446382,,,S9/G
play,7,0,444515,,,36(1)3/GDP/G3
play,7,1,454998,,,K
play,7,1,451668,,,4/P
play,7,1,425479,,,S9/G
play,7,1,457859,,,NP
sub,456108,Bubbie Buzachero,0,0,1
play,7,1,457859,,,3/PF
play,8,0,455002,,,S7/F
play,8,0,444430,,,8/F
play,8,0,430649,,,3/G.1-2
play,8,0,462855,,,63/G
play,8,1,449080,,,NP
sub,449822,Scott Roehl,0,0,1
play,8,1,449080,,,13/G
play,8,1,446858,,,W
play,8,1,451629,,,S9/G.1-2
play,8,1,435408,,,2/PF
play,8,1,459449,,,W.1-2;2-3
play,8,1,454998,,,63/G
play,9,0,430957,,,K
play,9,0,457830,,,K
play,9,0,453892,,,8/F
play,9,1,451668,,,NP
sub,450348,Jim Ed Warden,0,0,1
play,9,1,451668,,,D9/F
play,9,1,425479,,,K
play,9,1,457859,,,WP.2-3
play,9,1,457859,,,63/G.3-H
play,9,1,449080,,,K
id,TreEL200604130
info,visteam,ConEL
info,hometeam,TreEL
info,date,2006/04/13
start,435626,Clay Timpner,0,1,8
start,455723,Derin McMains,0,2,4
start,435625,Nate Schierholtz,0,3,9
start,452245,Eddy Martinez-Esteve,0,4,7
start,447800,Tyler Von Schell,0,5,2
start,452269,Aaron Sisk,0,6,5
start,448170,Travis Ishikawa,0,7,3
start,430653,Justin Knoedler,0,8,2
start,430929,Jake Wald,0,9,6
start,435619,Patrick Misch,0,0,1
start,451668,Gabe Lopez,1,1,4
start,455369,Ramiro Pena,1,2,6
start,435405,Caonabo Cosme,1,3,10
start,455167,Shelley Duncan,1,4,3
start,435408,Omir Santos,1,5,2
start,460652,Rudy Guillen,1,6,7
start,450363,Bronson Sardinha,1,7,9
start,451629,Justin Christian,1,8,8
start,447670,JT Stotts,1,9,5
start,408300,Danny Borrell,1,0,1
