id,VerFSL200604070
info,visteam,St.FSL
info,hometeam,VerFSL
info,date,2006/04/07
start,461360,Jose Coronado,0,1,6
start,434635,Ambiorix Concepcion,0,2,8
start,455077,Mike Carp,0,3,3
start,459001,Joshua Petersen,0,4,5
start,435520,Jesus Flores,0,5,2
start,458650,Alhaji Turay,0,6,7
start,457991,Jamar Hill,0,7,10
start,453536,Ryan Coultas,0,8,4
start,446457,Corey Coles,0,9,9
start,434057,Alay Soler,0,0,1
start,449082,Xavier Paul,1,1,9
start,469845,Jamie Hoffmann,1,2,8
start,455088,Blake Dewitt,1,3,4
start,458239,Travis Denker,1,4,5
start,111232,Pat Borders,1,5,2
start,451614,Cole Bruce,1,6,6
start,462569,Ryan Carter,1,7,7
start,489134,Jason Mooneyham,1,8,3
start,445172,Christopher Westervelt,1,9,10
start,455106,Blake Johnson,1,0,1
play,1,0,461360,,,E6
play,1,0,434635,,,K
play,1,0,455077,,,CS2
play,1,0,455077,,,W
play,1,0,459001,,,63/G
play,1,1,449082,,,8/F
play,1,1,469845,,,K
play,1,1,455088,,,D7/G
play,1,1,458239,,,63/G
play,2,0,435520,,,7/F
play,2,0,458650,,,S8/G
play,2,0,457991,,,HR/F.1-H
play,2,0,453536,,,4/P
play,2,0,446457,,,S9/G
play,2,0,461360,,,K
play,2,1,111232,,,6/P
play,2,1,451614,,,8/F
play,2,1,462569,,,K
play,3,0,434635,,,S8/G
play,3,0,455077,,,HR/F.1-H
play,3,0,459001,,,K
play,3,0,435520,,,K
play,3,0,458650,,,9/F
play,3,1,489134,,,S8/L
play,3,1,445172,,,S8/F.1-2
play,3,1,449082,,,8/F
play,3,1,469845,,,8/F.2-3
play,3,1,455088,,,W.1-2
play,3,1,458239,,,163/G1
play,4,0,457991,,,S7/L
play,4,0,453536,,,SB2
play,4,0,453536,,,K
play,4,0,446457,,,D7/L.2-H
play,4,0,461360,,,43/G.2-3
play,4,0,434635,,,NP
sub,461743,Zachary Hammes,1,0,1
play,4,0,434635,,,WP.3-H
play,4,0,434635,,,K
play,4,1,111232,,,5/P
