id,GbrGCL200606210
info,visteam,GtiGCL
info,hometeam,GbrGCL
info,date,2006/06/21
start,491676,Gorkys Hernandez,0,1,8
start,455371,Audy Ciriaco,0,2,6
start,501813,Michael Sullivan,0,3,7
start,502073,Christopher Carlson,0,4,3
start,502825,Michael Bertram,0,5,5
start,502422,Joseph Bowen,0,6,2
start,444487,Angel Flores,0,7,10
start,465098,Luis Arlet,0,8,9
start,449070,Jorge Patino,0,9,4
start,450852,Cristhian Martinez,0,0,1
start,448188,Deivis Rivadeneira,1,1,6
start,489409,Nate Weidenaar,1,2,7
start,502203,Adam Coe,1,3,5
start,445219,Adam Parliament,1,4,3
start,451080,Cody Johnson,1,5,10
start,467725,Javier Dominguez,1,6,2
start,503425,Albaro Campusano,1,7,4
start,449828,Rubi Koko,1,8,8
start,455697,Eliazar Carmona,1,9,9
start,491703,Neftali Feliz,1,0,1
play,1,0,491676,,,S8/F
play,1,0,455371,,,8/F
play,1,0,501813,,,CS2
play,1,0,501813,,,K
play,1,1,448188,,,3/G
play,1,1,489409,,,6/P
play,1,1,502203,,,S9/G
play,1,1,445219,,,5/P
play,2,0,502073,,,63/G
play,2,0,502825,,,63/G
play,2,0,502422,,,S6/G
play,2,0,444487,,,K
play,2,1,451080,,,W
play,2,1,467725,,,9/F
play,2,1,503425,,,46(1)3/GDP/G4
play,3,0,465098,,,K
play,3,0,449070,,,63/G
play,3,0,491676,,,43/G
play,3,1,449828,,,K
play,3,1,455697,,,E6
play,3,1,448188,,,S9/G.1-3
play,3,1,489409,,,1(B)13()/LDP.1X1
play,4,0,455371,,,NP
sub,474284,Cory Rasmus,1,0,1
play,4,0,455371,,,6/PF
play,4,0,501813,,,K
play,4,0,502073,,,63/G
play,4,1,502203,,,43/G
play,4,1,445219,,,53/G
play,4,1,451080,,,43/G
play,5,0,502825,,,5/P
play,5,0,502422,,,K
play,5,0,444487,,,53/G
play,5,1,467725,,,53/G
play,5,1,503425,,,E5
play,5,1,449828,,,S7/F.1-2
play,5,1,455697,,,WP.1-2;2-3
play,5,1,455697,,,W
play,5,1,448188,,,4(1)3/G4/GDP
play,6,0,465098,,,NP
sub,448855,Junior Guerra,1,0,1
play,6,0,465098,,,S6/G
