id,ChaIL200604140
info,visteam,PawIL
info,hometeam,ChaIL
info,date,2006/04/14
start,407483,Willie Harris,0,1,8
start,425472,Alejandro Machado,0,2,6
start,400292,Hee-Seop Choi,0,3,3
start,431158,Jeff Bailey,0,4,10
start,282598,Luke Allen,0,5,9
start,437593,Tyler Minges,0,6,7
start,451729,Rodney Nye,0,7,5
start,279570,Ken Huckaby,0,8,2
start,227495,Trent Durrington,0,9,4
start,408250,Jimmy Serrano,0,0,1
start,435539,Jerry Owens,1,1,8
start,462413,Angel Gonzalez,1,2,4
start,435220,Ryan Sweeney,1,3,9
start,435222,Josh Fields,1,4,5
start,434602,Casey Rogowski,1,5,3
start,279565,Darren Blakely,1,6,7
start,121252,Ruben Rivera,1,7,10
start,455755,Chris Stewart,1,8,2
start,434601,Pedro Lopez,1,9,6
start,457495,Heath Phillips,1,0,1
play,1,0,407483,,,S7/L
play,1,0,425472,,,S7/L.1-3
play,1,0,placeholder,,,POCS2(136)
play,1,0,400292,,,W
play,1,0,431158,,,W.1-2
play,1,0,placeholder,,,POCS2(13)
play,1,0,282598,,,3/G
play,1,1,435539,,,K
play,1,1,462413,,,S7/L
play,1,1,435220,,,W.1-2
play,1,1,435222,,,FC6/G.1X2(64);2-3;B-1
play,1,1,434602,,,S8/L.1-2;3-H
play,1,1,279565,,,K
play,2,0,437593,,,S4/G
play,2,0,451729,,,D7/G.1-3
play,2,0,279570,,,8/SF.2-3;3-H
play,2,0,227495,,,S8/G.3-H
play,2,0,407483,,,13/BG.1-2
play,2,0,425472,,,SB3
play,2,0,425472,,,S8/L.3-H
play,2,0,400292,,,3/L
play,2,1,121252,,,9/F
play,2,1,455755,,,K
play,2,1,434601,,,13/G
play,3,0,431158,,,7/F
play,3,0,282598,,,3/G
play,3,0,437593,,,W
play,3,0,451729,,,S4/G.1-2
play,3,0,279570,,,FC6/G.1X2(64)
play,3,1,435539,,,K
play,3,1,462413,,,63/G
play,3,1,435220,,,D7/F
play,3,1,435222,,,K
play,4,0,227495,,,S8/L
play,4,0,407483,,,46(1)3/GDP/G4
play,4,0,425472,,,53/G
play,4,1,434602,,,W
play,4,1,279565,,,9/L
play,4,1,121252,,,S7/L.1-2
play,4,1,455755,,,53/G.1-2;2-3
play,4,1,434601,,,D7/L.2-H;3-H
play,4,1,435539,,,53/G
play,5,0,400292,,,HR/F
play,5,0,431158,,,D7/F
play,5,0,282598,,,53/G
play,5,0,437593,,,K
play,5,0,451729,,,IW
play,5,0,279570,,,FC4/G.1X2(4)
play,5,1,462413,,,NP
sub,430607,Tim Bausher,0,0,1
play,5,1,462413,,,3/L
play,5,1,435220,,,31/G
play,5,1,435222,,,S6/G
play,5,1,434602,,,FC4/G.1X2(4)
play,6,0,227495,,,NP
sub,434600,Sean Tracey,1,0,1
play,6,0,227495,,,W
play,6,0,407483,,,K
play,6,0,425472,,,64(1)3/GDP/G6
play,6,1,279565,,,7/FF
play,6,1,121252,,,W
play,6,1,455755,,,CS2
play,6,1,455755,,,2/PF
play,7,0,400292,,,W
play,7,0,431158,,,K
play,7,0,282598,,,WP.1-2
play,7,0,282598,,,7/F
play,7,0,437593,,,NP
sub,407827,Ron Calloway,0,6,11
play,7,0,407827,,,IW
play,7,0,451729,,,WP.1-2;2-3
play,7,0,451729,,,W
play,7,0,279570,,,K
play,7,1,434601,,,NP
sub,407827,Ron Calloway,0,6,7
play,7,1,434601,,,S9/L
play,7,1,435539,,,1/BP
play,7,1,462413,,,6/P
play,7,1,435220,,,NP
sub,444520,Craig Breslow,0,0,1
play,7,1,435220,,,3/G
play,8,0,227495,,,43/G
play,8,0,407483,,,NP
sub,430566,Chad Bentz,1,0,1
play,8,0,407483,,,8/F
play,8,0,425472,,,W
play,8,0,400292,,,43/G
play,8,1,435222,,,HR/F
play,8,1,434602,,,K
play,8,1,279565,,,K
play,8,1,121252,,,K
play,9,0,431158,,,HR/F
play,9,0,282598,,,8/L
play,9,0,407827,,,43/G
play,9,0,451729,,,43/G
play,9,1,455755,,,6/L
play,9,1,434601,,,NP
sub,124696,Ernie Young,1,9,11
play,9,1,124696,,,HP
play,9,1,placeholder,,,NP
sub,123689,Jorge Velandia,1,9,12
play,9,1,435539,,,K
play,9,1,462413,,,K
id,ChaIL200604150
info,visteam,PawIL
info,hometeam,ChaIL
info,date,2006/04/15
start,407483,Willie Harris,0,1,8
start,425472,Alejandro Machado,0,2,6
start,400292,Hee-Seop Choi,0,3,3
start,431158,Jeff Bailey,0,4,10
start,282598,Luke Allen,0,5,9
start,437593,Tyler Minges,0,6,10
start,451729,Rodney Nye,0,7,5
start,279570,Ken Huckaby,0,8,2
start,124388,Enrique Wilson,0,9,4
start,452657,Jon Lester,0,0,1
start,123689,Jorge Velandia,1,1,6
start,462413,Angel Gonzalez,1,2,10
start,435220,Ryan Sweeney,1,3,8
start,435222,Josh Fields,1,4,5
start,434602,Casey Rogowski,1,5,3
start,279565,Darren Blakely,1,6,9
start,121252,Ruben Rivera,1,7,7
start,455755,Chris Stewart,1,8,2
start,434601,Pedro Lopez,1,9,4
start,150159,Stephen Randolph,1,0,1
play,1,0,407483,,,8/L
play,1,0,425472,,,K
play,1,0,400292,,,K
play,1,1,123689,,,53/G
play,1,1,462413,,,K
play,1,1,435220,,,K
play,2,0,431158,,,K
play,2,0,282598,,,7/F
play,2,0,437593,,,63/G
play,2,1,435222,,,9/F
play,2,1,434602,,,S9/G
play,2,1,279565,,,S9/L.1-3
play,2,1,121252,,,E3.1-2;3-H
play,2,1,455755,,,31/G.1-2;2-3
play,2,1,434601,,,HR/F.2-H;3-H
play,2,1,123689,,,S9/L
play,2,1,462413,,,E5/TH.1-2
play,2,1,435220,,,53/G
play,3,0,451729,,,53/G
play,3,0,279570,,,8/L
play,3,0,124388,,,2/PF
play,3,1,435222,,,HR/F
play,3,1,434602,,,W
play,3,1,279565,,,NP
sub,468402,Charlie Zink,0,0,1
play,3,1,279565,,,9/F.?X?(94)
play,3,1,121252,,,1/P
play,4,0,407483,,,K
play,4,0,425472,,,8/F
play,4,0,400292,,,3/G
play,4,1,455755,,,3/P
play,4,1,434601,,,K
play,4,1,123689,,,63/G
play,5,0,431158,,,W
play,5,0,282598,,,HR/L.1-H
play,5,0,437593,,,9/F
play,5,0,451729,,,4/P
play,5,0,279570,,,K
play,5,1,462413,,,W
play,5,1,435220,,,K
play,5,1,435222,,,WP.1-2
play,5,1,435222,,,W
play,5,1,434602,,,2/PF
play,5,1,279565,,,K
play,6,0,124388,,,53/G
play,6,0,407483,,,4/P
play,6,0,425472,,,K
play,6,1,121252,,,53/G
play,6,1,455755,,,63/G
play,6,1,434601,,,W
play,6,1,123689,,,PB.1-2
play,6,1,123689,,,PB.2-3
play,6,1,123689,,,W
play,6,1,462413,,,S9/G.1-2;3-H
play,6,1,435220,,,53/G
play,7,0,400292,,,S9/G
play,7,0,431158,,,W.1-2
play,7,0,282598,,,E4/TH.1-2;2-3
play,7,0,437593,,,NP
sub,407906,Jeff Farnsworth,1,0,1
play,7,0,437593,,,NP
sub,407827,Ron Calloway,0,6,11
play,7,0,407827,,,S7/L.1-2;2-3;3-H
play,7,0,451729,,,64(1)3/GDP/G6.2-3;3-H
play,7,0,279570,,,K
play,7,1,435222,,,NP
sub,407827,Ron Calloway,0,6,7
play,7,1,435222,,,D8/L
play,7,1,434602,,,8/F
play,7,1,279565,,,SB3
play,7,1,279565,,,W
play,7,1,121252,,,NP
sub,448592,Cla Meredith,0,0,1
play,7,1,121252,,,NP
sub,435539,Jerry Owens,1,7,11
play,7,1,435539,,,8/SF.3-H
play,7,1,455755,,,D7/G.1-3
play,7,1,434601,,,63/G
play,8,0,124388,,,NP
sub,435220,Ryan Sweeney,1,3,7
play,8,0,407483,,,NP
sub,435539,Jerry Owens,1,7,8
play,8,0,425472,,,NP
sub,435220,Ryan Sweeney,1,3,9
play,8,0,400292,,,NP
sub,279565,Darren Blakely,1,6,7
play,8,0,124388,,,63/G
play,8,0,407483,,,NP
sub,425657,Javier Lopez,1,0,1
play,8,0,407483,,,K
play,8,0,425472,,,13/BG
play,8,1,123689,,,E5
play,8,1,462413,,,W.1-2
play,8,1,435220,,,6/P
play,8,1,435222,,,S3/G.1-2;2-3
play,8,1,434602,,,K
play,8,1,279565,,,43/G
play,9,0,400292,,,S6/G
play,9,0,431158,,,64(1)3/GDP/G6
play,9,0,282598,,,K
id,ChaIL200604160
info,visteam,PawIL
info,hometeam,ChaIL
info,date,2006/04/16
start,407483,Willie Harris,0,1,4
start,425472,Alejandro Machado,0,2,6
start,400292,Hee-Seop Choi,0,3,3
start,431158,Jeff Bailey,0,4,10
start,282598,Luke Allen,0,5,9
start,407827,Ron Calloway,0,6,8
start,124388,Enrique Wilson,0,7,5
start,461234,Jim Buckley,0,8,2
start,227495,Trent Durrington,0,9,7
start,433877,Abe Alvarez,0,0,1
start,435539,Jerry Owens,1,1,8
start,123689,Jorge Velandia,1,2,10
start,462413,Angel Gonzalez,1,3,4
start,435222,Josh Fields,1,4,5
start,124696,Ernie Young,1,5,3
start,279565,Darren Blakely,1,6,9
start,121252,Ruben Rivera,1,7,7
start,434601,Pedro Lopez,1,8,6
start,150303,Pascual Matos,1,9,2
start,400062,Tim Redding,1,0,1
play,1,0,407483,,,E4/TH.B-2
play,1,0,425472,,,13/SH.2-3
play,1,0,400292,,,31/G.3-H
play,1,0,431158,,,W
play,1,0,282598,,,S9/G.1-3
play,1,0,407827,,,S9/G.1-3;3-H
play,1,0,124388,,,K
play,1,1,435539,,,K
play,1,1,123689,,,3/PF
play,1,1,462413,,,3/L
play,2,0,461234,,,D8/F
play,2,0,227495,,,1/SH.2-3
play,2,0,407483,,,D7/F.3-H
play,2,0,425472,,,E5/TH
play,2,0,400292,,,S9/L.1-3;2-H
play,2,0,431158,,,64(1)3/GDP/G6
play,2,1,435222,,,K
play,2,1,124696,,,6/P
play,2,1,279565,,,63/G
play,3,0,282598,,,W
play,3,0,407827,,,FC3/G.1X2(36);B-1
play,3,0,124388,,,CS2
play,3,0,124388,,,9/F
play,3,1,121252,,,K
play,3,1,434601,,,9/FF
play,3,1,150303,,,43/G
play,4,0,461234,,,9/L
play,4,0,227495,,,7/L
play,4,0,407483,,,7/F
play,4,1,435539,,,5/PF
play,4,1,123689,,,W
play,4,1,462413,,,HR/F.1-H
play,4,1,435222,,,K
play,4,1,124696,,,K
play,5,0,425472,,,HR/F
play,5,0,400292,,,K
play,5,0,431158,,,9/F
play,5,0,282598,,,31/G
play,5,1,279565,,,63/G
play,5,1,121252,,,8/F
play,5,1,434601,,,9/F
play,6,0,407827,,,6/G
play,6,0,124388,,,HR/F
play,6,0,461234,,,S6/G
play,6,0,227495,,,9/F
play,6,0,407483,,,HR/F.1-H
play,6,0,425472,,,NP
sub,434603,Paulino Reynoso,1,0,1
play,6,0,425472,,,W
play,6,0,400292,,,K
play,6,1,150303,,,53/G
play,6,1,435539,,,S7/L
play,6,1,123689,,,W.1-2
play,6,1,462413,,,WP.1-2;2-3
play,6,1,462413,,,W
play,6,1,435222,,,8/SF.2-3;3-H
play,6,1,124696,,,1/L
play,7,0,431158,,,63/G
play,7,0,282598,,,43/G
play,7,0,407827,,,43/G
play,7,1,279565,,,NP
sub,434668,Manny Delcarmen,0,0,1
play,7,1,279565,,,4/P
play,7,1,121252,,,7/F
play,7,1,434601,,,S7/L
play,7,1,150303,,,K
play,8,0,124388,,,W
play,8,0,461234,,,K
play,8,0,227495,,,8/F
play,8,0,407483,,,SB2
play,8,0,407483,,,K
play,8,1,435539,,,K
play,8,1,123689,,,4/P
play,8,1,462413,,,9/F
play,9,0,425472,,,NP
sub,434600,Sean Tracey,1,0,1
play,9,0,425472,,,W
play,9,0,400292,,,W.1-2
play,9,0,431158,,,8/F
play,9,0,282598,,,WP.2-3
play,9,0,282598,,,S8/L.1-2;3-H
play,9,0,407827,,,K
play,9,0,124388,,,S4/G.1-2;2-3
play,9,0,461234,,,W.1-2;2-3;3-H
play,9,0,227495,,,K
play,9,1,435222,,,NP
sub,116114,Mike Holtz,0,0,1
play,9,1,435222,,,K
play,9,1,124696,,,HP
play,9,1,279565,,,K
play,9,1,121252,,,FC5/G.1X2(54)
id,ChaIL200604170
info,visteam,PawIL
info,hometeam,ChaIL
info,date,2006/04/17
start,407483,Willie Harris,0,1,8
start,425472,Alejandro Machado,0,2,4
start,456030,Dustin Pedroia,0,3,6
start,400292,Hee-Seop Choi,0,4,3
start,282598,Luke Allen,0,5,10
start,451729,Rodney Nye,0,6,5
start,407827,Ron Calloway,0,7,9
start,279570,Ken Huckaby,0,8,2
start,227495,Trent Durrington,0,9,7
start,408040,Marc Deschenes,0,0,1
start,435539,Jerry Owens,1,1,8
start,462413,Angel Gonzalez,1,2,4
start,435220,Ryan Sweeney,1,3,7
start,435222,Josh Fields,1,4,5
start,434602,Casey Rogowski,1,5,3
start,121252,Ruben Rivera,1,6,9
start,124696,Ernie Young,1,7,10
start,455755,Chris Stewart,1,8,2
start,434601,Pedro Lopez,1,9,6
start,119827,Hideo Nomo,1,0,1
play,1,0,407483,,,3/G
play,1,0,425472,,,W
play,1,0,456030,,,SB2
play,1,0,456030,,,S7/L.2-H
play,1,0,400292,,,5/P
play,1,0,282598,,,K
play,1,1,435539,,,8/F
play,1,1,462413,,,53/G
play,1,1,435220,,,9/F
play,2,0,451729,,,63/G
play,2,0,407827,,,5/P
play,2,0,279570,,,K
play,2,1,435222,,,8/F
play,2,1,434602,,,9/F
play,2,1,121252,,,K
play,3,0,227495,,,3/L
play,3,0,407483,,,43/G
play,3,0,425472,,,K
play,3,1,124696,,,K
play,3,1,455755,,,3/PF
play,3,1,434601,,,W
play,3,1,435539,,,D8/L.1-H
play,3,1,462413,,,8/F
play,4,0,456030,,,E4
play,4,0,400292,,,W.1-2
play,4,0,282598,,,D7/L.1-3;2-H
play,4,0,451729,,,NP
sub,430903,Agustin Montero,1,0,1
play,4,0,451729,,,K
play,4,0,407827,,,IW
play,4,0,279570,,,K
play,4,0,227495,,,S8/L.1-3;2-H;3-H
play,4,0,407483,,,SB2
play,4,0,407483,,,K
play,4,1,435220,,,8/L
play,4,1,435222,,,53/G
play,4,1,434602,,,S4/G
play,4,1,121252,,,SB2
play,4,1,121252,,,W
play,4,1,124696,,,SB3;SB2
play,4,1,124696,,,K
play,5,0,425472,,,31/G
play,5,0,456030,,,2/PF
play,5,0,400292,,,K
play,5,1,455755,,,S1/BG
play,5,1,434601,,,8/F
