id,WisMDW200604060
info,visteam,PeoMDW
info,hometeam,WisMDW
info,date,2006/04/06
start,488922,Davy Gregg,0,1,8
start,452767,Matthew Ciaramella,0,2,9
start,455139,Robinson Chirinos,0,3,4
start,448650,Ryan Norwood,0,4,3
start,462944,Alberto Garcia,0,5,10
start,489356,Brandon Taylor,0,6,5
start,459949,Johnny Defendis,0,7,7
start,461861,Mark Reed,0,8,2
start,489004,Dylan Johnston,0,9,6
start,453264,Donald Veal,0,0,1
start,463622,Ronald Garth,1,1,5
start,490563,Robert Hudson,1,2,10
start,451178,Jeffrey Flaig,1,3,3
start,489818,J. B. Tucker,1,4,2
start,459431,Michael Saunders,1,5,9
start,472528,Luis Valbuena,1,6,4
start,488897,Alex Gary,1,7,8
start,452727,Casey Craig,1,8,7
start,451587,Jeffrey Dominguez,1,9,6
start,448760,Jason Snyder,0,0,1
play,1,0,488922,,,K
play,1,0,452767,,,7/F
play,1,0,455139,,,S9/L
play,1,0,448650,,,K
play,1,1,463622,,,W
play,1,1,placeholder,,,PO1(E?).1-2
play,1,1,490563,,,K
play,1,1,451178,,,CS3
play,1,1,451178,,,53/G
play,2,0,462944,,,S8/L
play,2,0,489356,,,3/P
play,2,0,459949,,,4/L
play,2,0,461861,,,S9/F.1-2
play,2,0,489004,,,S9/G.2X3(92)
play,2,1,489818,,,W
play,2,1,459431,,,53/G.1-2
play,2,1,472528,,,K
play,2,1,488897,,,W
play,2,1,452727,,,HR/F7.1-H;2-H
play,2,1,451587,,,43/G
play,3,0,488922,,,13/G
play,3,0,452767,,,K
play,3,0,455139,,,K
play,3,1,463622,,,E6
play,3,1,490563,,,SB2
play,3,1,490563,,,3/PF
play,3,1,451178,,,7/F.2X3(764)
play,4,0,448650,,,D9/L
play,4,0,462944,,,63/G.2-3
play,4,0,489356,,,S6/G.3-H
play,4,0,459949,,,8/F
play,4,0,461861,,,S7/L.1-3;B-2(E)
play,4,0,489004,,,W+PB.2-3;3-H
play,4,0,488922,,,SB2
play,4,0,488922,,,13/G
play,4,1,489818,,,W
play,4,1,459431,,,W.1-2
play,4,1,472528,,,S9/G.1-2;2-3
