id,BoiNWL200606220
info,visteam,EugNWL
info,hometeam,BoiNWL
info,date,2006/06/22
start,502423,Michael Epping,0,1,8
start,501793,Nicholas Kliebert,0,2,6
start,453327,Matt Antonelli,0,3,10
start,501896,David Freese,0,4,5
start,459945,Craig Cooper,0,5,3
start,464991,Luany Sanchez,0,6,2
start,464368,Willy Crafort,0,7,9
start,450600,Luke Cannon,0,8,7
start,453319,Raymond Stokes,0,9,4
start,455377,Rolando Valdez,0,0,1
start,501865,Matt Camp,1,1,8
start,502182,Steven Clevenger,1,2,4
start,448293,Alfred Joseph,1,3,9
start,453183,Deryck Lewis,1,4,7
start,467061,Elvin Puello,1,5,3
start,488859,Ryan Episcopo,1,6,10
start,453341,Joshua Lansford,1,7,5
start,456078,Welington Castillo,1,8,2
start,469196,Sammy Baez,1,9,6
start,488990,Brett Jackson,1,0,1
play,1,0,502423,,,43/G
play,1,0,501793,,,K
play,1,0,453327,,,S9/L
play,1,0,501896,,,SB2
play,1,0,501896,,,53/G
play,1,1,501865,,,W
play,1,1,502182,,,W.1-2
play,1,1,448293,,,23/SH.1-2;2-3
play,1,1,453183,,,S8/G.2-H;3-H
play,1,1,467061,,,43/G.1-2
play,1,1,488859,,,W
play,1,1,placeholder,,,PO1(23)
play,2,0,459945,,,9/FF
play,2,0,464991,,,3/PF
play,2,0,464368,,,7/F
play,2,1,453341,,,8/F
play,2,1,456078,,,63/G
play,2,1,469196,,,S5/BG
play,2,1,501865,,,FC5/G.1X2(54)
play,3,0,450600,,,W
play,3,0,453319,,,3/SH.1-2
play,3,0,502423,,,HR/F.2-H
play,3,0,501793,,,W
play,3,0,453327,,,PB.1-2
play,3,0,453327,,,7/F
play,3,0,501896,,,S7/G.2-H(E7)
play,3,0,459945,,,PB.1-2
play,3,0,459945,,,S8/G.2-H
play,3,0,464991,,,43/G
play,3,1,502182,,,31/G
play,3,1,448293,,,43/G
play,3,1,453183,,,W
play,3,1,467061,,,43/G
play,4,0,464368,,,K
play,4,0,450600,,,K23
play,4,0,453319,,,63/G
play,4,1,488859,,,43/G
play,4,1,453341,,,W
play,4,1,456078,,,13/G.1-2
play,4,1,469196,,,NP
sub,453970,Ben Krosschell,0,0,1
play,4,1,469196,,,HP
play,4,1,501865,,,WP.1-2;2-3
play,4,1,501865,,,W
play,4,1,502182,,,FC6/G.1X2(64)
play,5,0,502423,,,W
play,5,0,501793,,,D8/F.1-H
