id,AbeNYP200606230
info,visteam,BroNYP
info,hometeam,AbeNYP
info,date,2006/06/23
start,449171,Armand Gaerlan,0,1,4
start,456895,Timothy Grogan,0,2,5
start,446018,Jesus Gamero,0,3,7
start,502230,Dustin Martin,0,4,9
start,447737,Junior Contreras,0,5,3
start,453276,Jeremy Hambrice,0,6,10
start,475439,Ritchie Price,0,7,6
start,502764,Teddy Dziuba,0,8,2
start,503461,Will Vogl,0,9,8
start,502621,Tobi Stoner,0,0,1
start,452224,Daniel Figueroa,1,1,8
start,502487,Jedidiah Stephen,1,2,6
start,430899,Napoleon Calzado,1,3,5
start,489401,Christopher Vinyard,1,4,10
start,474319,Brandon Snyder,1,5,2
start,459933,Robert Andrews,1,6,7
start,452652,Corey Shafer,1,7,9
start,473224,Joel Pacheco,1,8,3
start,488652,Miguel Abreu,1,9,4
start,457673,Jeffrey Moore,1,0,1
play,1,0,449171,,,S7/F
play,1,0,456895,,,7/F
play,1,0,446018,,,8/F
play,1,0,502230,,,S4/G.1-3;B-2(E4/TH)
play,1,0,447737,,,53/G
play,1,1,452224,,,53/G
play,1,1,502487,,,7/F
play,1,1,430899,,,4/L
play,2,0,453276,,,43/G
play,2,0,475439,,,63/G
play,2,0,502764,,,5/P
play,2,1,489401,,,5/PF
play,2,1,474319,,,K
play,2,1,459933,,,9/F
play,3,0,503461,,,K
play,3,0,449171,,,8/F
play,3,0,456895,,,3/L
play,3,1,452652,,,3/G
play,3,1,473224,,,S4/G
play,3,1,488652,,,6(B)63(1)/LDP
play,4,0,446018,,,7/F
play,4,0,502230,,,7/F
play,4,0,447737,,,S6/G
play,4,0,453276,,,FC5/G.1X2(54)
play,4,1,452224,,,S9/F
play,4,1,502487,,,BK.1-2
play,4,1,502487,,,53/G
play,4,1,430899,,,4/P
play,4,1,489401,,,HP
play,4,1,474319,,,13/G
play,5,0,475439,,,E4.B-2
play,5,0,502764,,,13/SH.2-3
play,5,0,503461,,,K
play,5,0,449171,,,D7/F.3-H
play,5,0,456895,,,S9/F.2XH
play,5,1,459933,,,7/F
play,5,1,452652,,,9/F
play,5,1,473224,,,D8/F
play,5,1,488652,,,5/P
play,6,0,446018,,,NP
sub,489362,Chad Thall,1,0,1
play,6,0,446018,,,63/G
play,6,0,502230,,,S1/G
