id,IowPCL200604060
info,visteam,AlbPCL
info,hometeam,IowPCL
info,date,2006/04/06
start,435180,Robert Andino,0,1,6
start,150458,Mark Little,0,2,8
start,218694,Mike Colangelo,0,3,7
start,434593,Jason Stokes,0,4,3
start,407828,Matt Cepicky,0,5,9
start,133120,Jason Wood,0,6,5
start,346867,Scott Seabol,0,7,4
start,150137,Paul Hoover,0,8,2
start,430594,Renyel Pinto,0,9,1
start,429712,Felix Pie,1,1,8
start,444135,Ryan Theriot,1,2,4
start,431171,Casey McGehee,1,3,5
start,282879,Michael Restovich,1,4,7
start,451547,Brandon Sing,1,5,3
start,434567,Geovany Soto,1,6,2
start,459714,Buck Coats,1,7,9
start,324432,Augie Ojeda,1,8,6
start,472490,Jae Kuk Ryu,1,9,1
play,1,0,435180,,,S8/L
play,1,0,150458,,,K
play,1,0,218694,,,D8/F.1-3
play,1,0,434593,,,K
play,1,0,407828,,,31/G
play,1,1,429712,,,K
play,1,1,444135,,,W
play,1,1,431171,,,13/G.1-2
play,1,1,282879,,,WP.2-3
play,1,1,282879,,,W
play,1,1,451547,,,W+WP.1-2;3-H
play,1,1,434567,,,S8/G.1-2;2-H
play,1,1,459714,,,3/G
play,2,0,133120,,,43/G
play,2,0,346867,,,1/L
play,2,0,150137,,,D7/G
play,2,0,430594,,,8/F
play,2,1,324432,,,W
play,2,1,472490,,,34/SH.1-2
play,2,1,429712,,,W
play,2,1,444135,,,K
play,2,1,431171,,,W.1-2;2-3
play,2,1,282879,,,K
play,3,0,435180,,,K
play,3,0,150458,,,D9/F
play,3,0,218694,,,W+WP.2-3
play,3,0,434593,,,43/G.1-2;3-H
play,3,0,407828,,,43/G
play,3,1,451547,,,K
play,3,1,434567,,,6/L
play,3,1,459714,,,K
play,4,0,133120,,,4/PF
play,4,0,346867,,,2/PF
play,4,0,150137,,,63/G
play,4,1,324432,,,S4/G
play,4,1,472490,,,23/SH.1-2
play,4,1,429712,,,43/G.2-3
play,4,1,444135,,,WP.3-H
play,4,1,444135,,,W
play,4,1,431171,,,NP
sub,434591,Randy Messenger,0,9,1
play,4,1,431171,,,SB2
play,4,1,431171,,,K
play,5,0,434591,,,NP
sub,441144,Drew Niles,0,9,11
play,5,0,441144,,,3/G
play,5,0,435180,,,6/P
play,5,0,150458,,,S7/L
play,5,0,218694,,,K
play,5,1,282879,,,NP
sub,234194,Buddy Carlyle,0,9,1
play,5,1,282879,,,K
play,5,1,451547,,,S8/F
play,5,1,434567,,,CS2
play,5,1,434567,,,8/L
play,6,0,434593,,,NP
sub,458222,Bobby Brownlie,1,9,1
play,6,0,434593,,,S8/L
play,6,0,407828,,,S8/L.1-2
play,6,0,133120,,,13/SH.1-2;2-3
play,6,0,346867,,,63/G.2-3;3-H
play,6,0,150137,,,S7/L.3-H
play,6,0,234194,,,S8/F.1-3
play,6,0,435180,,,W.1-2
play,6,0,150458,,,S7/L.1-2;2-H;3-H
play,6,0,218694,,,NP
sub,469832,Andy Shipman,1,9,1
play,6,0,218694,,,SB3
play,6,0,218694,,,SB2
play,6,0,218694,,,2/PF
play,6,1,459714,,,S8/F
play,6,1,324432,,,8/L
play,6,1,469832,,,NP
sub,425473,Jamal Strong,1,9,11
play,6,1,425473,,,K
play,6,1,429712,,,SB2
play,6,1,429712,,,K
play,7,0,434593,,,NP
sub,282333,Mark Watson,1,9,1
play,7,0,434593,,,K
play,7,0,407828,,,S9/L
play,7,0,133120,,,S7/F.1-3
play,7,0,346867,,,S7/G.1-2;3-H
play,7,0,150137,,,W.1-2;2-3
play,7,0,234194,,,NP
sub,136726,Mike Kinkade,0,9,11
play,7,0,136726,,,HP.1-2;2-3;3-H
play,7,0,435180,,,K
play,7,0,150458,,,K
play,7,1,444135,,,NP
sub,114517,Eddie Gaillard,0,9,1
play,7,1,444135,,,S9/L
play,7,1,431171,,,S8/L.1-3
play,7,1,282879,,,K
play,7,1,451547,,,HP.1-2
play,7,1,434567,,,K
play,7,1,459714,,,NP
sub,150247,Jimmy Anderson,0,9,1
play,7,1,459714,,,43/G
play,8,0,218694,,,NP
sub,282879,Michael Restovich,1,4,9
play,8,0,434593,,,NP
sub,425777,Brandon Emanuel,1,7,1
play,8,0,407828,,,NP
sub,407846,Jeff Deardorff,1,9,7
play,8,0,218694,,,W
play,8,0,434593,,,K
play,8,0,407828,,,W.1-2
play,8,0,133120,,,PO1(13)
play,8,0,133120,,,K
play,8,1,324432,,,S9/F
play,8,1,407846,,,FC5/G.1X2(54);B-1
play,8,1,429712,,,3/G.1-2
play,8,1,444135,,,D9/L.2-H
play,8,1,431171,,,53/G
play,9,0,346867,,,D8/L
play,9,0,150137,,,S7/L.2-3
play,9,0,150247,,,NP
sub,437219,James Shanks,0,9,11
play,9,0,437219,,,46(1)3/GDP/G4.3-H
play,9,0,435180,,,9/FF
play,9,1,282879,,,NP
sub,112413,Brad Clontz,0,9,1
play,9,1,282879,,,K
play,9,1,451547,,,S7/G
play,9,1,434567,,,PB.1-2
play,9,1,434567,,,43/G.2-3
play,9,1,425777,,,NP
sub,430917,Mike Fontenot,1,7,11
play,9,1,430917,,,7/F
id,IowPCL200604070
info,visteam,AlbPCL
info,hometeam,IowPCL
info,date,2006/04/07
start,435180,Robert Andino,0,1,6
start,150458,Mark Little,0,2,8
start,218694,Mike Colangelo,0,3,7
start,434593,Jason Stokes,0,4,3
start,407828,Matt Cepicky,0,5,9
start,134263,Tom Wilson,0,6,2
start,346867,Scott Seabol,0,7,4
start,136726,Mike Kinkade,0,8,5
start,433589,Yusmeiro Petit,0,9,1
start,429712,Felix Pie,1,1,8
start,444135,Ryan Theriot,1,2,6
start,430917,Mike Fontenot,1,3,4
start,282879,Michael Restovich,1,4,7
start,451547,Brandon Sing,1,5,3
start,431171,Casey McGehee,1,6,5
start,459714,Buck Coats,1,7,9
start,434567,Geovany Soto,1,8,2
start,400113,Les Walrond,1,9,1
play,1,0,435180,,,13/G
play,1,0,150458,,,W
play,1,0,placeholder,,,PO1(E?).1-3
play,1,0,218694,,,HP
play,1,0,434593,,,9/SF.3-H
play,1,0,407828,,,4/PF
play,1,1,429712,,,S7/F
play,1,1,444135,,,4/P
play,1,1,430917,,,SB2
play,1,1,430917,,,FC1/G.2X3;BX2
play,2,0,134263,,,53/G
play,2,0,346867,,,K
play,2,0,136726,,,HP
play,2,0,433589,,,S1/G.1X3(32)
play,2,1,282879,,,3/P
play,2,1,451547,,,K
play,2,1,431171,,,S8/L
play,2,1,459714,,,8/F
play,3,0,435180,,,S9/L
play,3,0,150458,,,14/SH.1-2
play,3,0,218694,,,HP
play,3,0,434593,,,SB3
play,3,0,434593,,,153/G1.1-2;3-H
play,3,0,407828,,,7/F
play,3,1,434567,,,E8
play,3,1,400113,,,S1/BG.1-2
play,3,1,429712,,,E4.1-2;2-3
play,3,1,444135,,,8/SF.3-H
play,3,1,430917,,,K
play,3,1,282879,,,D7/F.1-H;2-H
play,3,1,451547,,,W
play,3,1,431171,,,E6.1-2;2-3
play,3,1,459714,,,31/G
play,4,0,134263,,,8/F
play,4,0,346867,,,K
play,4,0,136726,,,53/G
play,4,1,434567,,,13/G
play,4,1,400113,,,43/G
play,4,1,429712,,,31/G
play,5,0,433589,,,W
play,5,0,435180,,,46(1)3/GDP/G4
play,5,0,150458,,,K
play,5,1,444135,,,K
play,5,1,430917,,,S4/G
play,5,1,282879,,,D7/L.1-3
play,5,1,451547,,,K
play,5,1,431171,,,4/L
play,6,0,218694,,,E6/TH.B-2
play,6,0,434593,,,W
play,6,0,407828,,,W.1-2;2-3
play,6,0,134263,,,8/SF.1X2(864);2-3;3-H
play,6,0,346867,,,1/L
play,6,1,459714,,,NP
sub,150142,Ryan Rupe,0,7,1
play,6,1,434567,,,NP
sub,441144,Drew Niles,0,9,4
play,6,1,459714,,,HR/F
play,6,1,434567,,,13/G
play,6,1,400113,,,NP
sub,425473,Jamal Strong,1,9,11
play,6,1,425473,,,K
play,6,1,429712,,,S3/G
play,6,1,444135,,,SB2
play,6,1,444135,,,S8/G.2-H;BX2(834)
play,7,0,136726,,,NP
sub,469832,Andy Shipman,1,9,1
play,7,0,136726,,,63/G
play,7,0,441144,,,D8/F
play,7,0,435180,,,9/F
play,7,0,150458,,,8/F
play,7,1,430917,,,7/F
play,7,1,282879,,,K
play,7,1,451547,,,8/F
play,8,0,218694,,,NP
sub,430604,Roberto Novoa,1,9,1
play,8,0,218694,,,9/F
play,8,0,434593,,,3/PF
play,8,0,407828,,,8/F
play,8,1,431171,,,NP
sub,434137,Logan Kensing,0,5,1
play,8,1,459714,,,NP
sub,437219,James Shanks,0,7,9
play,8,1,431171,,,3/G
play,8,1,459714,,,S8/G
play,8,1,434567,,,36(1)1/GDP/G3
play,9,0,134263,,,NP
sub,430911,David Aardsma,1,9,1
play,9,0,134263,,,43/G
play,9,0,437219,,,K
play,9,0,136726,,,53/G
id,IowPCL200604080
info,visteam,AlbPCL
info,hometeam,IowPCL
info,date,2006/04/08
start,437219,James Shanks,0,1,8
start,435180,Robert Andino,0,2,6
start,218694,Mike Colangelo,0,3,7
start,434593,Jason Stokes,0,4,3
start,133120,Jason Wood,0,5,4
start,407828,Matt Cepicky,0,6,9
start,150137,Paul Hoover,0,7,2
start,136726,Mike Kinkade,0,8,5
start,425546,Nate Bump,0,9,1
