id,BilPIO200606220
info,visteam,GrePIO
info,hometeam,BilPIO
info,date,2006/06/22
start,488983,Joseph Hunter,0,1,8
start,464394,Christian Acosta,0,2,5
start,453318,John Shelby,0,3,4
start,502185,Lee Cruz,0,4,7
start,474892,Vernon Carter,0,5,3
start,489239,Tyler Reves,0,6,10
start,444493,Reymundo Tavares,0,7,2
start,461842,Christian Marrero,0,8,9
start,467830,Franklin Batista,0,9,6
start,466413,Ramon Sanchez,0,0,1
start,458214,Billy Rojo,1,1,4
start,453362,Chris Valaika,1,2,6
start,453211,Drew Stubbs,1,3,8
start,501846,Logan Parker,1,4,3
start,503146,Jason Winkler,1,5,10
start,502183,Michael McKennon,1,6,7
start,453120,Angel Colon,1,7,5
start,455705,Maikol Mesa,1,8,9
start,450180,Rey Gonzalez,1,9,2
start,463068,Misael DeJesus,1,0,1
play,1,0,488983,,,K
play,1,0,464394,,,9/F
play,1,0,453318,,,K
play,1,1,458214,,,K
play,1,1,453362,,,53/G
play,1,1,453211,,,8/F
play,2,0,502185,,,D7/L
play,2,0,474892,,,W+PB.2-3
play,2,0,489239,,,K
play,2,0,444493,,,HR/F.1-H;3-H
play,2,0,461842,,,K
play,2,0,467830,,,63/G
play,2,1,501846,,,S8/G
play,2,1,503146,,,6(1)3/G6/GDP
play,2,1,502183,,,63/G
play,3,0,488983,,,K23
play,3,0,464394,,,K
play,3,0,453318,,,K
play,3,1,placeholder,,,NP
sub,503079,Tim Lawrence,0,2,5
play,3,1,453120,,,8/L
play,3,1,455705,,,W
play,3,1,450180,,,FC3/G.1X2(36);B-2(E6/TH)
play,3,1,458214,,,S7/G.2XH
play,4,0,502185,,,W
play,4,0,474892,,,S7/F.1-H;BX1
play,4,0,489239,,,D7/L
play,4,0,444493,,,NP
sub,446162,Sean Watson,1,0,1
play,4,0,444493,,,7/F
play,4,0,461842,,,PO2(16)
play,4,1,453362,,,HR/F
play,4,1,453211,,,8/F
play,4,1,501846,,,W
play,4,1,503146,,,46(1)3/GDP/G4
play,5,0,461842,,,63/G
play,5,0,467830,,,8/F
play,5,0,488983,,,53/G
play,5,1,502183,,,43/G
play,5,1,453120,,,53/G
play,5,1,455705,,,63/G
play,6,0,503079,,,K
play,6,0,453318,,,K23
play,6,0,502185,,,9/F
play,6,1,450180,,,3/P
play,6,1,458214,,,W
play,6,1,453362,,,D8/L.1-H;BX3(865)
play,6,1,453211,,,T8/L
play,6,1,501846,,,E3.3-H
play,6,1,503146,,,NP
sub,503418,Patrick Feehan,0,0,1
play,6,1,503146,,,13/G
play,7,0,474892,,,K
play,7,0,489239,,,63/G
play,7,0,444493,,,K23
play,7,1,502183,,,K
play,7,1,453120,,,HP
play,7,1,455705,,,K+WP.1-2
play,7,1,450180,,,K
play,8,0,461842,,,NP
sub,450313,Terrell Young,1,0,1
play,8,0,461842,,,S7/G
play,8,0,467830,,,FC3/G.1X2(36);B-1
play,8,0,488983,,,K
play,8,0,503079,,,K
play,8,1,458214,,,NP
sub,503419,Steven Spurgeon,0,0,1
play,8,1,458214,,,K
play,8,1,453362,,,63/G
play,8,1,453211,,,K
play,9,0,453318,,,NP
sub,453365,Travis Webb,1,0,1
play,9,0,453318,,,W
play,9,0,502185,,,64(1)3/GDP/G6
play,9,0,474892,,,HR/F
play,9,0,489239,,,DGR/F78
play,9,0,444493,,,53/G
play,9,1,501846,,,NP
sub,456891,Tim Sabo,0,0,1
play,9,1,501846,,,S1/G
play,9,1,503146,,,NP
sub,501909,Anthony Esquer,1,5,11
play,9,1,501909,,,46(1)3/GDP/G4
play,9,1,502183,,,K23
id,BilPIO200606200
info,visteam,GrePIO
info,hometeam,BilPIO
info,date,2006/06/20
start,453318,John Shelby,0,1,4
start,463026,Pedro Moreno,0,2,6
start,464394,Christian Acosta,0,3,10
start,502185,Lee Cruz,0,4,7
start,474892,Vernon Carter,0,5,3
start,489239,Tyler Reves,0,6,10
start,461842,Christian Marrero,0,7,9
start,502236,Michael Grace,0,8,5
start,488983,Joseph Hunter,0,9,8
start,488825,Timothy Day,0,0,1
start,458214,Billy Rojo,1,1,4
start,448764,Yoni Lasso,1,2,6
start,453211,Drew Stubbs,1,3,8
start,501846,Logan Parker,1,4,3
start,501926,Jason Louwsma,1,5,5
start,502183,Michael McKennon,1,6,9
start,453120,Angel Colon,1,7,10
start,502317,Chris Heisey,1,8,7
start,460005,Justin Tordi,1,9,2
start,473659,Daniel Guerrero,1,0,1
play,1,0,453318,,,8/F
play,1,0,463026,,,K
play,1,0,464394,,,K23
play,1,1,458214,,,D8/F
play,1,1,448764,,,8/F
play,1,1,453211,,,S6/G
play,1,1,501846,,,S8/G.1-2;2-H
play,1,1,501926,,,S8/G.1-2;2-3
play,1,1,502183,,,HR/F.1-H;2-H;3-H
play,1,1,453120,,,63/G
play,1,1,502317,,,K
play,2,0,502185,,,T9/F
play,2,0,474892,,,9/SF.3-H
play,2,0,489239,,,S8/G
play,2,0,461842,,,K
play,2,0,502236,,,HP.1-2
play,2,0,488983,,,FC5/G.1X2(54)
play,2,1,460005,,,K
play,2,1,458214,,,S9/G
play,2,1,448764,,,S8/G.1X3
play,2,1,453211,,,K
play,3,0,453318,,,53/G
play,3,0,463026,,,53/G
play,3,0,464394,,,63/G
play,3,1,501846,,,D7/L
play,3,1,501926,,,E4.2-3
play,3,1,502183,,,T8/L.1-H;3-H
play,3,1,453120,,,HP
play,3,1,502317,,,NP
sub,503419,Steven Spurgeon,0,0,1
play,3,1,502317,,,W.1-2
play,3,1,460005,,,4(1)3/G4/GDP.2-3;3-H
play,3,1,458214,,,W
play,3,1,448764,,,E5.1-2;3-H
play,3,1,453211,,,WP.2-3
play,3,1,453211,,,W.1-2
play,3,1,501846,,,43/G
play,4,0,502185,,,53/G
play,4,0,474892,,,7/F
play,4,0,489239,,,8/F
play,4,1,501926,,,7/F
play,4,1,502183,,,8/F
play,4,1,453120,,,3/PF
play,5,0,461842,,,8/F
play,5,0,502236,,,E6/TH
play,5,0,488983,,,64(1)3/GDP/G6
play,5,1,502317,,,NP
sub,501843,Tyson Corley,0,0,1
play,5,1,502317,,,W
play,5,1,460005,,,S7/G.1-2
play,5,1,458214,,,S8/G.1-2;2-H
play,5,1,448764,,,K
play,5,1,453211,,,HP.1-2;2-3
play,5,1,501846,,,46(1)3/GDP/G4
play,6,0,453318,,,8/F
play,6,0,463026,,,4/P
play,6,0,464394,,,53/G
play,6,1,501926,,,53/G
play,6,1,502183,,,3/G
play,6,1,453120,,,K
play,7,0,502185,,,NP
sub,456496,Marcos Mateo,1,0,1
play,7,0,502185,,,43/G
play,7,0,474892,,,S7/G
play,7,0,489239,,,NP
sub,489722,Matt Sharp,0,6,11
play,7,0,489722,,,S9/L.1-2
play,7,0,461842,,,5/P
play,7,0,502236,,,3/G
play,7,1,502317,,,NP
sub,489722,Matt Sharp,0,6,2
play,7,1,460005,,,NP
sub,464993,Santo Garcia,0,7,9
play,7,1,458214,,,NP
sub,503079,Tim Lawrence,0,8,5
play,7,1,448764,,,NP
sub,456891,Tim Sabo,0,0,1
play,7,1,502317,,,NP
sub,455705,Maikol Mesa,1,8,11
play,7,1,455705,,,K
play,7,1,460005,,,9/F
play,7,1,458214,,,53/G
play,8,0,placeholder,,,NP
sub,475392,Kevyn Feiner,1,2,6
play,8,0,placeholder,,,NP
sub,455705,Maikol Mesa,1,8,7
play,8,0,placeholder,,,NP
sub,450180,Rey Gonzalez,1,9,2
play,8,0,488983,,,43/G
play,8,0,453318,,,9/F
play,8,0,463026,,,K
play,8,1,475392,,,NP
sub,491140,Chris Brennan,0,0,1
play,8,1,475392,,,S6/G.B-2(E6/TH)
play,8,1,453211,,,HP
play,8,1,501846,,,NP
sub,503146,Jason Winkler,1,4,11
play,8,1,503146,,,WP.1-2;2-3
play,8,1,503146,,,E6.2-3;3-H
play,8,1,501926,,,K
play,8,1,502183,,,8/SF.1X1(83);3-H
play,9,0,464394,,,NP
sub,503146,Jason Winkler,1,4,3
play,9,0,502185,,,NP
sub,458156,James Morris,1,0,1
play,9,0,464394,,,W
play,9,0,502185,,,WP.1-2
play,9,0,502185,,,K
play,9,0,474892,,,S9/L.2-3
play,9,0,489722,,,NP
sub,444493,Reymundo Tavares,0,6,11
play,9,0,444493,,,S8/G.1-2;3-H
play,9,0,464993,,,K
play,9,0,503079,,,K
id,BilPIO200606210
info,visteam,GrePIO
info,hometeam,BilPIO
info,date,2006/06/21
start,488983,Joseph Hunter,0,1,8
start,464394,Christian Acosta,0,2,5
start,453318,John Shelby,0,3,4
start,502185,Lee Cruz,0,4,7
start,474892,Vernon Carter,0,5,3
start,489239,Tyler Reves,0,6,2
start,502236,Michael Grace,0,7,10
start,461842,Christian Marrero,0,8,9
start,503079,Tim Lawrence,0,9,6
start,445183,Logan Williamson,0,0,1
start,458214,Billy Rojo,1,1,4
start,453362,Chris Valaika,1,2,6
start,453211,Drew Stubbs,1,3,8
start,501846,Logan Parker,1,4,3
start,501926,Jason Louwsma,1,5,5
start,502183,Michael McKennon,1,6,9
start,453120,Angel Colon,1,7,10
start,502317,Chris Heisey,1,8,7
start,460005,Justin Tordi,1,9,2
start,448289,Rafael Gonzalez,1,0,1
play,1,0,488983,,,HP
play,1,0,464394,,,53/G.1-2
play,1,0,453318,,,SB3.2-H(E1/TH)
play,1,0,453318,,,S7/G
play,1,0,502185,,,D8/F.1XH
play,1,0,474892,,,WP.2-3
play,1,0,474892,,,8/F
play,1,1,458214,,,S8/G
play,1,1,placeholder,,,POCS2(13)
play,1,1,453362,,,W
play,1,1,453211,,,FC4/G.1X2(46);B-1
play,1,1,501846,,,HR/F.1-H
play,1,1,501926,,,K
play,2,0,489239,,,8/F
play,2,0,502236,,,K
play,2,0,461842,,,43/G
play,2,1,502183,,,8/F
play,2,1,453120,,,W
play,2,1,502317,,,PB.1-2
play,2,1,502317,,,K
play,2,1,460005,,,63/G
play,3,0,503079,,,53/G
play,3,0,488983,,,53/BG
play,3,0,464394,,,9/F
play,3,1,458214,,,W
play,3,1,453362,,,7/L
play,3,1,453211,,,6/P
play,3,1,501846,,,S9/G.1-2
play,3,1,501926,,,FC5/G.2X3(5)
play,4,0,453318,,,53/G
play,4,0,502185,,,53/G
play,4,0,474892,,,HR/F
play,4,0,489239,,,63/G
play,4,1,502183,,,HP
play,4,1,453120,,,54343/GDP/G5.1X2
play,4,1,502317,,,63/G
play,5,0,502236,,,8/F
play,5,0,461842,,,3/P
play,5,0,503079,,,4/P
play,5,1,460005,,,63/G
play,5,1,458214,,,K
play,5,1,453362,,,K
play,6,0,488983,,,NP
sub,502382,Kevin Gunter,1,0,1
play,6,0,488983,,,HP
play,6,0,464394,,,K
play,6,0,453318,,,S9/G.1-3
play,6,0,502185,,,D7/F.1-H;3-H
play,6,0,474892,,,W
play,6,0,489239,,,46(1)3/GDP/G4
play,6,1,453211,,,NP
sub,444493,Reymundo Tavares,0,6,2
play,6,1,501846,,,NP
sub,502600,David Wasylak,0,0,1
play,6,1,453211,,,8/F
play,6,1,501846,,,S8/G
play,6,1,501926,,,S9/G.1-2
play,6,1,502183,,,W.1-2;2-3
play,6,1,453120,,,FC6/G.1X2(64);2-3;3-H;B-1
play,6,1,502317,,,SBH;SB2
play,6,1,502317,,,W
play,6,1,460005,,,13/G
play,7,0,502236,,,13/G
play,7,0,461842,,,W
play,7,0,503079,,,PO1(E?).1-2
play,7,0,503079,,,S8/G.2-3
play,7,0,488983,,,NP
sub,450183,Luis Moya,1,0,1
play,7,0,488983,,,K+WP.1-2;3-H
play,7,0,464394,,,PB.2-3
play,7,0,464394,,,6/L
play,7,1,458214,,,W
play,7,1,453362,,,WP.1-2
play,7,1,453362,,,4/L
play,7,1,453211,,,E6.2-H;B-2
play,7,1,501846,,,NP
sub,461420,Nick Walters,0,0,1
play,7,1,501846,,,W
play,7,1,501926,,,PO1(13)
play,7,1,501926,,,31/G
play,8,0,453318,,,K23
play,8,0,502185,,,S9/L
play,8,0,474892,,,S8/G.1-3
play,8,0,444493,,,K
play,8,0,502236,,,S7/G.1-2;3-H
play,8,0,461842,,,NP
sub,463026,Pedro Moreno,0,7,12
play,8,0,461842,,,7/F
play,8,1,502183,,,NP
sub,463026,Pedro Moreno,0,7,10
play,8,1,502183,,,K
play,8,1,453120,,,K
play,8,1,502317,,,W
play,8,1,460005,,,BK.1-2
play,8,1,460005,,,S5/G.2-H;B-2(E5/TH)
play,8,1,458214,,,8/F
play,9,0,503079,,,NP
sub,446185,Logan Ondrusek,1,0,1
play,9,0,503079,,,K
play,9,0,488983,,,S8/L
play,9,0,464394,,,S8/L.1-3
play,9,0,453318,,,S8/G.1-3;3-H;B-2
play,9,0,502185,,,IW
play,9,0,474892,,,WP.1-2;2-3;3-H
play,9,0,474892,,,K
play,9,0,444493,,,S6/G.2-3;3-H
play,9,0,463026,,,K
play,9,1,453362,,,NP
sub,502509,Andrew Urena,0,0,1
play,9,1,453362,,,K
play,9,1,453211,,,S5/G
play,9,1,501846,,,W.1-2
play,9,1,501926,,,54(1)3/GDP/G5
id,BilPIO200606230
info,visteam,GrePIO
info,hometeam,BilPIO
info,date,2006/06/23
start,488983,Joseph Hunter,0,1,8
start,464993,Santo Garcia,0,2,9
start,453318,John Shelby,0,3,4
start,502185,Lee Cruz,0,4,7
start,474892,Vernon Carter,0,5,3
start,489239,Tyler Reves,0,6,10
start,489722,Matt Sharp,0,7,2
start,467830,Franklin Batista,0,8,6
start,503079,Tim Lawrence,0,9,5
start,461852,Timothy Murphey,0,0,1
start,458214,Billy Rojo,1,1,4
start,453362,Chris Valaika,1,2,10
start,501846,Logan Parker,1,3,3
start,453211,Drew Stubbs,1,4,8
start,502183,Michael McKennon,1,5,9
start,448764,Yoni Lasso,1,6,6
start,501926,Jason Louwsma,1,7,5
start,460005,Justin Tordi,1,8,2
start,502317,Chris Heisey,1,9,7
start,502136,Jordan Smith,1,0,1
play,1,0,488983,,,W
play,1,0,464993,,,K+SB2
play,1,0,453318,,,3/PF
play,1,0,502185,,,T7/L.2-H
play,1,0,474892,,,S9/L.3-H
play,1,0,489239,,,K
play,1,1,458214,,,D9/L
play,1,1,453362,,,53/G
play,1,1,501846,,,S8/G.2-H
play,1,1,453211,,,K+CS2
play,2,0,489722,,,S7/L
play,2,0,467830,,,E6.1-2
play,2,0,503079,,,53/SH.1-2;2-3
play,2,0,488983,,,WP.2-3;3-H
play,2,0,488983,,,S7/L.3-H
play,2,0,464993,,,K
play,2,0,453318,,,CS2
play,2,1,502183,,,43/G
play,2,1,448764,,,W
play,2,1,501926,,,S9/L.1-2
play,2,1,460005,,,WP.1-2;2-3
play,2,1,460005,,,W
play,2,1,502317,,,8/F
play,2,1,458214,,,6/P
play,3,0,453318,,,53/G
play,3,0,502185,,,4/P
play,3,0,474892,,,K
play,3,1,453362,,,3/G
play,3,1,501846,,,S7/L
play,3,1,453211,,,T8/F.1-H
play,3,1,502183,,,PB.3-H
play,3,1,502183,,,5/L
play,3,1,448764,,,W
play,3,1,501926,,,E2.1-2;B-1
play,3,1,460005,,,53/G
play,4,0,489239,,,53/G
play,4,0,489722,,,W
play,4,0,467830,,,64(1)3/GDP/G6
play,4,1,502317,,,NP
sub,453334,Justin Cassel,0,0,1
play,4,1,502317,,,63/G
play,4,1,458214,,,43/G
play,4,1,453362,,,63/G
play,5,0,503079,,,NP
sub,502730,Christopher White,1,0,1
play,5,0,503079,,,8/F
play,5,0,488983,,,HR/F
play,5,0,464993,,,K
play,5,0,453318,,,HR/F
play,5,0,502185,,,S8/L
play,5,0,474892,,,4/P
play,5,1,501846,,,63/G
play,5,1,453211,,,S5/G
play,5,1,502183,,,SB2
play,5,1,502183,,,K
play,5,1,448764,,,PB.2-H
play,5,1,448764,,,K
play,6,0,489239,,,K
play,6,0,489722,,,8/F
play,6,0,467830,,,W
play,6,0,503079,,,S8/L.1-2
play,6,0,488983,,,9/F
play,6,1,501926,,,NP
sub,501843,Tyson Corley,0,0,1
play,6,1,501926,,,W
play,6,1,460005,,,WP.1-2
play,6,1,460005,,,WP.2-3
play,6,1,460005,,,HP
play,6,1,502317,,,NP
sub,461420,Nick Walters,0,0,1
play,6,1,502317,,,K
play,6,1,458214,,,46(1)3/GDP/G4
play,7,0,464993,,,NP
sub,446427,Kyle Huddy,1,0,1
play,7,0,464993,,,6/P
play,7,0,453318,,,43/G
play,7,0,502185,,,13/G
play,7,1,453362,,,7/L
play,7,1,501846,,,K
play,7,1,453211,,,13/G
play,8,0,474892,,,13/G
play,8,0,489239,,,HP
play,8,0,489722,,,W.1-2
play,8,0,467830,,,K
play,8,0,503079,,,HP.1-2;2-3
play,8,0,488983,,,FC5/G.2X3(5)
play,8,1,502183,,,K
play,8,1,448764,,,NP
sub,502509,Andrew Urena,0,0,1
play,8,1,448764,,,S8/L
play,8,1,501926,,,PB.1-2
play,8,1,501926,,,D8/L.2-H
play,8,1,460005,,,63/G
play,8,1,502317,,,PB.2-3
play,8,1,502317,,,S8/L.3-H
play,8,1,458214,,,PO1(13)
play,9,0,464993,,,W
play,9,0,453318,,,NP
sub,450183,Luis Moya,1,0,1
play,9,0,453318,,,S3/BG.1-2
play,9,0,502185,,,K+WP.1-2;2-3
play,9,0,474892,,,IW
play,9,0,489239,,,54(1)3/GDP/G5
play,9,1,458214,,,S8/L
play,9,1,453362,,,S1/BG.1-H(E3)
id,BilPIO200606240
info,visteam,HelPIO
info,hometeam,BilPIO
info,date,2006/06/24
start,455079,Stephen Chapman,0,1,8
start,488919,Taylor Green,0,2,4
start,453230,Chris Errecart,0,3,9
start,501895,Andy Bouchie,0,4,2
start,503225,J. R. Hopf,0,5,3
start,501868,Zach Clem,0,6,7
start,455696,Carlos De La Cruz,0,7,10
start,462503,Fredy De La Cruz,0,8,5
start,460002,Jordan Swaydan,0,9,10
start,456028,Brandon Parillo,0,0,1
start,458214,Billy Rojo,1,1,4
start,453362,Chris Valaika,1,2,6
start,453211,Drew Stubbs,1,3,8
start,501846,Logan Parker,1,4,3
start,501926,Jason Louwsma,1,5,5
start,453120,Angel Colon,1,6,10
start,502317,Chris Heisey,1,7,7
start,501909,Anthony Esquer,1,8,2
start,455705,Maikol Mesa,1,9,9
start,473705,Anthony Gressick,1,0,1
