id,ColSAL200604280
info,visteam,AshSAL
info,hometeam,ColSAL
info,date,2006/04/28
start,451594,Dexter Fowler,0,1,8
start,458913,Eric Young,0,2,4
start,455126,Christopher Nelson,0,3,6
start,446087,Travis Becktel,0,4,7
start,457595,Phillip Cuadrado,0,5,5
start,453045,Daniel Carte,0,6,9
start,451198,Cole Garner,0,7,10
start,488793,Christopher Cook,0,8,3
start,452014,Nelson Robledo,0,9,2
start,450284,Jacob Postlewait,0,0,1
start,461315,Lucas May,1,1,8
start,451096,Sergio Pedroza,1,2,9
start,452199,Russell Mitchell,1,3,10
start,489065,Andrew Locke,1,4,7
start,468401,Eduardo Perez,1,5,5
start,472544,David Sutherland,1,6,3
start,465698,Juan Apodaca,1,7,2
start,469125,Jesus Soto,1,8,4
start,489564,Juan Rivera,1,9,6
start,489052,Brent Leach,0,0,1
play,1,0,451594,,,S9/L
play,1,0,458913,,,SB2
play,1,0,458913,,,K+SB3.B-1
play,1,0,placeholder,,,POCS2.1-3(E?);3-H
play,1,0,455126,,,S3/G.3-H
play,1,0,446087,,,SB2
play,1,0,446087,,,K
play,1,0,457595,,,K
play,1,0,453045,,,K
play,1,1,461315,,,T8/F
play,1,1,451096,,,W
play,1,1,452199,,,S9/G.1-2;3-H
play,1,1,489065,,,7/L
play,1,1,468401,,,9/F
play,1,1,472544,,,3/G
play,2,0,451198,,,K
play,2,0,488793,,,K
play,2,0,452014,,,K
play,2,1,465698,,,E6
play,2,1,469125,,,S8/G.1-2
play,2,1,489564,,,2/PF
play,2,1,461315,,,8/F
play,2,1,451096,,,6/P
play,3,0,451594,,,13/G
play,3,0,458913,,,K
play,3,0,455126,,,K
play,3,1,452199,,,43/G
play,3,1,489065,,,8/F
play,3,1,468401,,,K
play,4,0,446087,,,K
play,4,0,457595,,,53/G
play,4,0,453045,,,K
play,4,1,472544,,,43/G
play,4,1,465698,,,W
play,4,1,469125,,,PO1(13)
play,4,1,469125,,,S7/G
play,4,1,489564,,,D8/F.1-H
play,4,1,461315,,,9/F
play,5,0,451198,,,K
play,5,0,488793,,,K23
play,5,0,452014,,,K
play,5,1,451096,,,3/G
play,5,1,452199,,,D7/F
play,5,1,489065,,,43/G.2-3
play,5,1,468401,,,13/G
play,6,0,451594,,,NP
sub,448750,David Pfeiffer,1,0,1
play,6,0,451594,,,K
play,6,0,458913,,,K
play,6,0,455126,,,W
play,6,0,446087,,,W.1-2
play,6,0,457595,,,8/F
play,6,1,472544,,,31/G
play,6,1,465698,,,8/L
play,6,1,469125,,,2/PF
play,7,0,453045,,,43/G
play,7,0,451198,,,K
play,7,0,488793,,,9/F
play,7,1,489564,,,NP
sub,445950,Chad Bailey,0,0,1
play,7,1,489564,,,K23
play,7,1,461315,,,E5
play,7,1,451096,,,K
play,7,1,452199,,,S8/G.1-3
play,7,1,489065,,,4/P
play,8,0,452014,,,W
play,8,0,451594,,,14/SH.1-2
play,8,0,458913,,,63/G.2-3
play,8,0,455126,,,NP
sub,465719,Francisco Felix,1,0,1
play,8,0,455126,,,63/G
play,8,1,468401,,,K
play,8,1,472544,,,W
play,8,1,465698,,,S7/G.1-2
play,8,1,469125,,,64(1)3/GDP/G6
play,9,0,446087,,,S7/G
play,9,0,457595,,,13/SH.1-2
play,9,0,453045,,,S8/G.2-H
play,9,0,451198,,,SB2
play,9,0,451198,,,S6/G
play,9,0,488793,,,K+SB3;SB2
play,9,0,452014,,,S7/G.2-H;3-H
play,9,0,451594,,,8/F
play,9,1,489564,,,NP
sub,457576,Brett Strickland,0,0,1
play,9,1,489564,,,9/F
play,9,1,461315,,,HR/F7
play,9,1,451096,,,W
play,9,1,452199,,,2/PF
play,9,1,489065,,,S8/G.1-2
play,9,1,468401,,,D7/L.1-3;2-H
play,9,1,472544,,,NP
sub,474443,Ivan De Jesus,1,5,12
play,9,1,472544,,,IW
play,9,1,465698,,,PB.1-2;2-3;3-H
play,9,1,465698,,,K
play,10,0,458913,,,NP
sub,474443,Ivan De Jesus,1,5,5
play,10,0,458913,,,K
play,10,0,455126,,,53/G
play,10,0,446087,,,K
play,10,1,469125,,,NP
sub,456029,David Patton,0,0,1
play,10,1,469125,,,8/F
play,10,1,489564,,,S3/G
play,10,1,461315,,,K
play,10,1,451096,,,5/P
play,11,0,457595,,,NP
sub,462961,Miguel Sanfler,1,0,1
play,11,0,457595,,,7/F
play,11,0,453045,,,K
play,11,0,451198,,,4/P
play,11,1,452199,,,K
play,11,1,489065,,,3/L
play,11,1,474443,,,S9/G
play,11,1,472544,,,K
play,12,0,488793,,,K
play,12,0,452014,,,8/F
play,12,0,451594,,,D8/F
