id,MisSL200604060
info,visteam,HunSL
info,hometeam,MisSL
info,date,2006/04/06
start,450825,Callix Crabbe,0,1,4
start,449776,Drew Anderson,0,2,7
start,448184,Steve Moss,0,3,8
start,431153,Ron Acuna,0,4,9
start,457824,Adam Heether,0,5,5
start,435139,Lou Palmisano,0,6,2
start,462560,Jeffrey Eure,0,7,3
start,461788,Ozzie Chavez,0,8,6
start,282656,Ben Sheets,0,9,1
start,453923,Gregor Blanco,1,1,8
start,445988,Martin Prado,1,2,5
start,488862,Yunel Escobar,1,3,6
start,457454,Jarrod Saltalamacchia,1,4,2
start,452169,Matt Esquivel,1,5,9
start,452190,Michael Rosamond,1,6,3
start,430643,Onil Joseph,1,7,7
start,434682,Luis Hernandez,1,8,4
start,457461,Sean White,1,9,1
play,1,0,450825,,,W
play,1,0,449776,,,SB2
play,1,0,449776,,,W
play,1,0,448184,,,FC5/G.1X2(54);2-3;B-1
play,1,0,431153,,,S9/G.1-2;3-H
play,1,0,457824,,,7/F
play,1,0,435139,,,K
play,1,1,453923,,,K
play,1,1,445988,,,S8/G
play,1,1,488862,,,SB2
play,1,1,488862,,,D9/L.2-H
play,1,1,457454,,,7/F
play,1,1,452169,,,K
play,2,0,462560,,,K
play,2,0,461788,,,W
play,2,0,282656,,,34/SH.1-2
play,2,0,450825,,,K
play,2,1,452190,,,63/G
play,2,1,430643,,,K
play,2,1,434682,,,T8/L
play,2,1,457461,,,K
play,3,0,449776,,,7/F
play,3,0,448184,,,D7/L
play,3,0,431153,,,K
play,3,0,457824,,,W
play,3,0,435139,,,K
play,3,1,453923,,,E6
play,3,1,445988,,,SB2
play,3,1,445988,,,43/G.2-3
play,3,1,488862,,,S8/G.3-H
play,3,1,457454,,,SB2
play,3,1,457454,,,WP.2-3
play,3,1,457454,,,K
play,3,1,452169,,,NP
sub,453646,Carlos Villanueva,0,9,1
play,3,1,452169,,,63/G
play,4,0,462560,,,S6/G
play,4,0,461788,,,8/F
play,4,0,453646,,,54/SH.1-2
play,4,0,450825,,,S8/G.2-H
play,4,0,449776,,,NP
sub,453450,Paul Bush,1,9,1
play,4,0,449776,,,SB2
play,4,0,449776,,,43/G
play,4,1,452190,,,5/L
play,4,1,430643,,,63/G
play,4,1,434682,,,8/L
play,5,0,448184,,,K
play,5,0,431153,,,9/F
play,5,0,457824,,,9/F
play,5,1,453450,,,K
play,5,1,453923,,,K
play,5,1,445988,,,53/G
play,6,0,435139,,,W
play,6,0,462560,,,HR/F.1-H
play,6,0,461788,,,W
play,6,0,453646,,,1/BP
play,6,0,450825,,,9/F.?X?(93)
play,6,1,488862,,,W
play,6,1,457454,,,K
play,6,1,452169,,,S7/G.1-2
play,6,1,452190,,,K
play,6,1,430643,,,43/G
play,7,0,449776,,,NP
sub,430666,Phil Stockman,1,7,1
play,7,0,448184,,,NP
sub,461345,Carl Loadenthal,1,9,7
play,7,0,449776,,,K
play,7,0,448184,,,3/P
play,7,0,431153,,,43/G
play,7,1,434682,,,6/P
play,7,1,461345,,,3/G
play,7,1,453923,,,S5/G
play,7,1,445988,,,4/PF
play,8,0,457824,,,K
play,8,0,435139,,,53/G
play,8,0,462560,,,K
play,8,1,488862,,,K
play,8,1,457454,,,53/G
play,8,1,452169,,,7/F
play,9,0,461788,,,NP
sub,407924,Manny Acosta,1,7,1
play,9,0,461788,,,43/G
play,9,0,453646,,,NP
sub,451682,Kennard Bibbs,0,9,11
play,9,0,451682,,,E6/TH.B-2
play,9,0,450825,,,CS3
play,9,0,450825,,,W
play,9,0,449776,,,S8/G.1-3
play,9,0,448184,,,FC5/G.1X2(54)
play,9,1,452190,,,NP
sub,430830,Alec Zumwalt,0,9,1
play,9,1,452190,,,63/G
play,9,1,407924,,,NP
sub,150306,Dax Norris,1,7,11
play,9,1,150306,,,7/F
play,9,1,434682,,,W
play,9,1,461345,,,43/G
id,MisSL200604070
info,visteam,HunSL
info,hometeam,MisSL
info,date,2006/04/07
start,450825,Callix Crabbe,0,1,4
start,449776,Drew Anderson,0,2,7
start,448184,Steve Moss,0,3,8
start,431153,Ron Acuna,0,4,9
start,457824,Adam Heether,0,5,5
start,435139,Lou Palmisano,0,6,2
start,462560,Jeffrey Eure,0,7,3
start,461788,Ozzie Chavez,0,8,6
start,457422,Tim Dillard,0,9,1
start,453923,Gregor Blanco,1,1,8
start,445988,Martin Prado,1,2,5
start,488862,Yunel Escobar,1,3,6
start,457454,Jarrod Saltalamacchia,1,4,2
start,452169,Matt Esquivel,1,5,9
start,452190,Michael RosamondJr.,1,6,3
start,430643,Onil Joseph,1,7,7
start,434682,Luis Hernandez,1,8,4
start,150102,David Coggin,1,9,1
play,1,0,450825,,,S8/G
play,1,0,449776,,,WP.1-2
play,1,0,449776,,,HR/F.2-H
play,1,0,448184,,,9/F
play,1,0,431153,,,9/F
play,1,0,457824,,,W
play,1,0,435139,,,S9/G.1-2
play,1,0,462560,,,W.1-2;2-3
play,1,0,461788,,,2/PF
play,1,1,453923,,,53/G
play,1,1,445988,,,43/G
play,1,1,488862,,,9/F
play,2,0,457422,,,3/G
play,2,0,450825,,,8/F
play,2,0,449776,,,6/L
play,2,1,457454,,,8/F
play,2,1,452169,,,31/G
play,2,1,452190,,,63/G
play,3,0,448184,,,K
play,3,0,431153,,,43/G
play,3,0,457824,,,9/F
play,3,1,430643,,,7/F
play,3,1,434682,,,7/F
play,3,1,150102,,,43/G
play,4,0,435139,,,7/F
play,4,0,462560,,,D7/F
play,4,0,461788,,,8/F.2-3
play,4,0,457422,,,S1/G.3-H
play,4,0,450825,,,31/G
play,4,1,453923,,,D9/F
play,4,1,445988,,,K
play,4,1,488862,,,W
play,4,1,457454,,,7/F
play,4,1,452169,,,FC6/G.1X2(64)
play,5,0,449776,,,NP
sub,457460,Ryan Basner,1,9,1
play,5,0,449776,,,43/G
play,5,0,448184,,,K
play,5,0,431153,,,31/G
