id,MidTEX200604160
info,visteam,CorTEX
info,hometeam,MidTEX
info,date,2006/04/16
start,461811,Josh Anderson,0,1,8
start,450314,Ben Zobrist,0,2,6
start,452254,Hunter Pence,0,3,9
start,407399,J. R. House,0,4,2
start,455650,Josh Bonifay,0,5,3
start,437912,Derek Nicholson,0,6,10
start,456757,John Fagan,0,7,7
start,277409,Jared Sandberg,0,8,5
start,444443,Jonathan Ash,0,9,4
start,448312,Joshua Miller,0,0,1
start,448590,Kevin Melillo,1,1,4
start,444912,Ronnie Merrill,1,2,6
start,456035,Danny Putnam,1,3,7
start,450196,Brant Colamarino,1,4,3
start,435559,Kurt Suzuki,1,5,2
start,434634,Jason Perry,1,6,9
start,460183,Lloyd Turner,1,7,8
start,460607,Vasili Spanos,1,8,10
start,435561,Brian Snyder,1,9,5
start,454456,Brad Knox,1,0,1
play,1,0,461811,,,K
play,1,0,450314,,,K
play,1,0,452254,,,63/G
play,1,1,448590,,,D7/F
play,1,1,444912,,,1/BP
play,1,1,456035,,,S8/G.2-H
play,1,1,450196,,,S9/G.1-2
play,1,1,435559,,,8/F
play,1,1,434634,,,K
play,2,0,407399,,,63/G
play,2,0,455650,,,D9/F
play,2,0,437912,,,8/F
play,2,0,456757,,,HP
play,2,0,277409,,,W.1-2;2-3
play,2,0,444443,,,63/G
play,2,1,460183,,,S9/G
play,2,1,460607,,,SB2
play,2,1,460607,,,S8/L.2-H
play,2,1,435561,,,54(1)3/GDP/G5
play,2,1,448590,,,S9/L
play,2,1,444912,,,PO1(13)
play,3,0,461811,,,D9/L
play,3,0,450314,,,S9/L.2-3
play,3,0,452254,,,HR/F.1-H;3-H
play,3,0,407399,,,S8/L
play,3,0,455650,,,46(1)3/GDP/G4
play,3,0,437912,,,31/G
play,3,1,444912,,,W
play,3,1,456035,,,S8/L.1-2
play,3,1,450196,,,D7/L.1-3;2-H
play,3,1,435559,,,63/G.2-3;3-H
play,3,1,434634,,,S9/L.3-H
play,3,1,460183,,,FC4/G.1X2(46);B-1
play,3,1,460607,,,SB2
play,3,1,460607,,,9/F
play,4,0,456757,,,K
play,4,0,277409,,,53/G
play,4,0,444443,,,43/G
play,4,1,435561,,,8/F
play,4,1,448590,,,S9/L
play,4,1,444912,,,E3/TH.1-2
play,4,1,456035,,,CS3
play,4,1,450196,,,PO1(E?).1-2
play,4,1,456035,,,D7/F.2-H
play,4,1,450196,,,43/G
play,5,0,461811,,,63/G
play,5,0,450314,,,W
play,5,0,452254,,,64(1)3/GDP/G6
play,5,1,435559,,,NP
sub,449476,Blake Allen,0,0,1
play,5,1,435559,,,7/F
play,5,1,434634,,,T8/L
play,5,1,460183,,,E3.3-H;B-2
play,5,1,460607,,,SB3
play,5,1,460607,,,S7/L.3-H
play,5,1,435561,,,S8/L.1-3;B-2
play,5,1,448590,,,K
play,5,1,444912,,,53/G
play,6,0,407399,,,D9/L
play,6,0,455650,,,S1/G.2-H
play,6,0,437912,,,D8/F.1-3
play,6,0,456757,,,W
play,6,0,277409,,,NP
sub,452075,Connor Robertson,1,0,1
play,6,0,277409,,,6/P
play,6,0,444443,,,46(1)3/GDP/G4
play,6,1,456035,,,W
play,6,1,450196,,,FC4/G.1X2(46);B-2(E6/TH)
play,6,1,435559,,,S7/L.2-H
play,6,1,434634,,,FC3/G.1X2(36);B-1
play,6,1,460183,,,E2/TH.1-H;B-2
play,6,1,460607,,,W
play,6,1,435561,,,NP
sub,473141,David Rollandini,0,0,1
play,6,1,435561,,,7/F
play,7,0,461811,,,D7/L
play,7,0,450314,,,43/G.2-3
play,7,0,452254,,,S8/L.3-H
play,7,0,407399,,,64(1)3/GDP/G6
play,7,1,448590,,,S8/G
play,7,1,444912,,,D7/L.1-3
play,7,1,456035,,,D9/G.2-H;3-H
play,7,1,450196,,,WP.2-3
play,7,1,450196,,,K
play,7,1,435559,,,S9/L.3-H
play,7,1,434634,,,HR/F.1-H
play,7,1,460183,,,4/P
play,7,1,460607,,,HR/F
play,7,1,435561,,,NP
sub,451647,Jon Skaggs,0,0,1
play,7,1,435561,,,D9/L
play,7,1,448590,,,D7/L.2-H
play,7,1,444912,,,W
play,7,1,456035,,,7/F
play,8,0,455650,,,NP
sub,455041,Alex Santos,1,0,1
play,8,0,455650,,,K
play,8,0,437912,,,43/G
play,8,0,456757,,,W
play,8,0,277409,,,K
play,8,1,450196,,,S8/G
play,8,1,435559,,,WP.1-2
play,8,1,435559,,,W
play,8,1,434634,,,D7/F.1-3;2-H
play,8,1,460183,,,31/G.2-3;3-H
play,8,1,460607,,,NP
sub,460639,Jailen Peguero,0,0,1
play,8,1,460607,,,9/SF.3-H
play,8,1,435561,,,W
play,8,1,448590,,,S8/G.1-2
play,8,1,444912,,,K
play,9,0,444443,,,NP
sub,454537,Jared Burton,1,0,1
play,9,0,444443,,,3/G
play,9,0,461811,,,S7/G
play,9,0,450314,,,S9/G.1-2
play,9,0,452254,,,S8/F.1-2;2-3
play,9,0,407399,,,S9/G.1-2;2-H;3-H
play,9,0,455650,,,HR/F.1-H;2-H
play,9,0,437912,,,43/G
play,9,0,456757,,,K
id,MidTEX200604170
info,visteam,CorTEX
info,hometeam,MidTEX
info,date,2006/04/17
start,461811,Josh Anderson,0,1,8
start,450314,Ben Zobrist,0,2,6
start,452254,Hunter Pence,0,3,7
start,407399,J. R. House,0,4,3
start,455650,Josh Bonifay,0,5,10
start,437912,Derek Nicholson,0,6,9
start,277409,Jared Sandberg,0,7,5
start,444443,Jonathan Ash,0,8,4
start,461258,Kevin Davidson,0,9,2
start,434641,Juan Gutierrez,0,0,1
start,448590,Kevin Melillo,1,1,4
start,445158,Eduardo Cornejo,1,2,6
start,456035,Danny Putnam,1,3,7
start,450196,Brant Colamarino,1,4,3
start,435559,Kurt Suzuki,1,5,2
start,461759,Jed Morris,1,6,9
start,460183,Lloyd Turner,1,7,8
start,460607,Vasili Spanos,1,8,10
start,435561,Brian Snyder,1,9,5
start,448253,Jason Windsor,1,0,1
play,1,0,461811,,,S8/L
play,1,0,450314,,,S9/G.1-3
