MLBAM,First,Last,Bats,Throws,M,D,Y
570815,Adrian,Sierra,L,L,01,10,1991
570814,Camilo,Santana,R,R,12,26,1987
570817,Felix,Marine,R,R,05,25,1990
114789,Brian,Giles,L,L,1,20,1971
504184,Rafael,Quezada,R,R,11,21,1986
542532,Alvaro,Bacil,R,R,10,28,1990
504186,Arnold,Leon,R,R,09,06,1988
504187,Kevin,Salmon,R,R,11,09,1983
542536,Marcos,Coca,R,R,01,19,1990
425878,Dan,Moylan,L,R,4,24,1979
460069,Ricky,Romero,R,L,11,06,1984
460067,Trevor,Crowe,B,R,11,17,1983
504188,Ricardo,Arias,R,R,04,16,1986
460063,Lance,Salsgiver,R,R,11,21,1983
460060,Cliff,Pennington,B,R,6,15,1984
594193,Manuel,Moreno,R,R,2,18,1992
570813,George,Ramirez,R,R,12,03,1989
544568,Wilton,Rodriguez,R,R,11,06,1990
544569,Oliver,Pascual,R,R,11,13,1989
544566,Deivi,Mojica,R,R,03,19,1991
544567,Isaias,Alvarez,R,R,12,09,1989
439013,Sharnol,Adriana,R,R,11,13,1970
570812,Joan,Pascual,L,L,03,06,1990
544562,Edison,Mejia,R,R,07,02,1990
596800,Ryan,McCrann,L,R,05,15,1986
544560,Chun-Hsiu,Chen,R,R,11,01,1988
462510,Jose Francisco,Ortiz,L,L,7,19,1985
462511,Timothy,Auty,R,R,12,21,1985
460266,Garry,Bakker,R,R,3,28,1983
462513,Rhys,Taylor,R,R,10,09,1985
462514,Layne,Berry,L,R,12,5,1980
462515,Miguel,Socolovich R.,R,R,7,24,1986
462517,Kent,Dixon,R,R,1,19,1986
462519,Andrew,Goff,R,R,09,02,1985
599071,David,Triplet,R,R,01,28,1987
542392,Rafi,Reyes,R,R,07,31,1991
570819,Jorge,Castillo,B,R,10,19,1990
542390,Dominque,Jean,R,R,11,24,1988
542391,Daurys,Mercedes,R,R,02,26,1990
150399,Trace,Coquillette,R,R,6,4,1974
449143,Monte,Mansfield,R,R,3,22,1981
449145,Brian,Esposito,R,R,2,24,1979
460602,Dirk,Hayhurst,L,R,3,24,1981
490151,Lesmir,Vargas,R,R,9,02,1986
460601,Travis,Brown,R,R,8,01,1980
460606,Keith,Perez,R,R,1,18,1980
460607,Vasili,Spanos,R,R,2,25,1981
460604,Thomas,Pauly,R,R,7,28,1981
460605,Bryce,Kartler,L,L,6,09,1980
489162,Joe,Napoli,R,R,10,04,1982
489163,Chris,Nash,R,R,02,22,1987
489160,Stuart,Musslewhite,R,R,8,28,1982
489166,Thomas,Neal,R,R,8,17,1987
489167,Joe,Ness,R,R,11,04,1983
489164,Jeff,Natale,R,R,8,24,1982
489165,Radames,Nazario,R,R,6,14,1987
489168,Darren,Newlin,R,R,11,20,1982
489169,David,Newton,R,R,3,04,1986
460260,Scott,Lewis,B,L,9,26,1983
543500,Mauricio,Matos,R,R,09,10,1990
542530,Miguel,Marte,R,R,08,29,1989
448819,Andy,MacFarlane,R,L,8,18,1983
448818,Wes,Long,R,R,6,12,1982
447843,DJ,Dixon,L,R,12,11,1982
448815,Joshua,Lex,R,R,10,07,1981
448814,Trent,Lare,L,L,08,25,1984
448817,Billy,Lockin,R,R,11,27,1982
448816,Marquise,Liverpool,R,R,4,16,1986
448811,Tim,Lahey,R,R,2,07,1982
448812,James,Langham,R,R,9,3,1982
543725,Brian,Rosenberg,R,R,09,17,1985
501808,Eric,Newton,R,R,6,17,1984
454448,Fernando,Pacheco,L,L,10,01,1984
542535,Victor,Trinidad,R,R,12,23,1990
543724,Zachary,Rosenbaum,R,R,04,25,1987
451123,Andrew,Larsen,R,R,12,14,1982
454442,Ryan,Rodriguez,L,L,7,10,1984
451121,Victor,Torres,B,R,4,16,1987
