TeamID,City,Nickname,League,06Aff,07Aff,08Aff,09Aff,10Aff
NwaTEX,NW Arkansas,Naturals,TEX,None,None,Kan,Kan,Kan
MyrCAR,Myrtle Beach,Pelicans,CAR,Atl,Atl,Atl,Atl,Atl
IdaPIO,Idaho Falls,Chukars,PIO,Kan,Kan,Kan,Kan,Kan
BatNYP,Batavia,Muckdogs,NYP,Phi,St.,St.,St.,St.
TucPCL,None,Sidewinders,PCL,Ari,Ari,Ari,None,None
TriNWL,Tri-City,Dust Devils,NWL,Col,Col,Col,Col,Col
VerNYP,Vermont,Lake Monsters,NYP,Was,Was,Was,Was,Was
AubNYP,Auburn,Doubledays,NYP,Tor,Tor,Tor,Tor,Tor
RodDSL,DSL Royals, ,DSL,None,None,None,Kan,Kan
EriEL,Erie,SeaWolves,EL,Det,Det,Det,Det,Det
WesMDW,West Michigan,Whitecaps,MDW,Det,Det,Det,Det,Det
CedMDW,Cedar Rapids,Kernels,MDW,Laa,Laa,Laa,Laa,Laa
GdoGCL,GCL Dodgers, ,GCL,Lad,Lad,Lad,None,None
SacPCL,Sacramento,River Cats,PCL,Oak,Oak,Oak,Oak,Oak
CleFSL,Clearwater,Threshers,FSL,Phi,Phi,Phi,Phi,Phi
RocIL,Rochester,Red Wings,IL,Min,Min,Min,Min,Min
HigCAL,High Desert,Mavericks,CAL,Kan,Kan,Sea,Sea,Sea
IndIL,Indianapolis,Indians,IL,Pit,Pit,Pit,Pit,Pit
TamGCL,GCL Rays, ,GCL,None,None,None,Tam,Tam
SddDSL,DSL Padres, ,DSL,None,None,None,Sdp,Sdp
BowSAL,None,Hot Rods,SAL,None,None,None,None,None
WilNYP,Williamsport,Crosscutters,NYP,Pit,Phi,Phi,Phi,Phi
AcuAZL,AZL Cubs, ,AZL,Chc,Chc,Chc,Chc,Chc
CarSL,Carolina,Mudcats,SL,Flo,Flo,Flo,Cin,Cin
SalPCL,Salt Lake,Bees,PCL,Laa,Laa,Laa,Laa,Laa
DayMDW,Dayton,Dragons,MDW,Cin,Cin,Cin,Cin,Cin
PhdDSL,DSL Phillies, ,DSL,None,None,None,Phi,Phi
AugSAL,Augusta,GreenJackets,SAL,Sfg,Sfg,Sfg,Sfg,Sfg
WinCAR,Winston-Salem,Warthogs,CAR,Chw,Chw,Chw,Chw,Chw
WesSAL,West Virginia,Power,SAL,Mil,Mil,Mil,Pit,Pit
GnaGCL,GCL Nationals, ,GCL,Was,Was,Was,Was,Was
RicEL,Richmond,Flying Squirrels,EL,None,None,None,None,Sfg
SanCAL,San Jose,Giants,CAL,Sfg,Sfg,Sfg,Sfg,Sfg
ScrIL,Scranton/WB,Red Barons,IL,Phi,Nyy,Nyy,Nyy,Nyy
MisSL,Mississippi,Braves,SL,Atl,Atl,Atl,Atl,Atl
YbdDSL,DSL Yankees2, ,DSL,None,None,None,Nyy,Nyy
BirSL,Birmingham,Barons,SL,Chw,Chw,Chw,Chw,Chw
MadDSL,DSL Marlins, ,DSL,None,None,None,Flo,Flo
SedDSL,DSL Mariners, ,DSL,None,None,None,Sea,Sea
CorTEX,Corpus Christi,Hooks,TEX,Hou,Hou,Hou,Hou,Hou
VreVZL,VSL Reds, ,VZL,Cin,Cin,Cin,None,Cin
JupFSL,Jupiter,Hammerheads,FSL,Flo,Flo,Flo,Flo,Flo
GmaGCL,GCL Marlins, ,GCL,Flo,Flo,Flo,Flo,Flo
DunFSL,Dunedin,Blue Jays,FSL,Tor,Tor,Tor,Tor,Tor
GmeGCL,GCL Mets, ,GCL,Nym,Nym,Nym,Nym,Nym
KanSAL,Kannapolis,Intimidators,SAL,Chw,Chw,Chw,Chw,Chw
VmaVZL,VSL Mariners, ,VZL,Sea,Sea,Sea,Sea,Sea
WsdDSL,DSL White Sox, ,DSL,None,None,None,Chw,Chw
NorEL,None,Navigators,EL,Sfg,None,None,None,None
NasPCL,Nashville,Sounds,PCL,Mil,Mil,Mil,Mil,Mil
AgiAZL,AZL Giants, ,AZL,Sfg,Sfg,Sfg,Sfg,Sfg
VpiVZL,VSL Pirates, ,VZL,Pit,Pit,Pit,Pit,Pit
NadDSL,DSL Nationals, ,DSL,None,None,None,Was,Was
DbdDSL,DSL Diamondbacks, ,DSL,None,None,None,Ari,Ari
GreMDW,Great Lakes,Loons,MDW,None,Lad,Lad,Lad,Lad
LowNYP,Lowell,Spinners,NYP,Bos,Bos,Bos,Bos,Bos
ChaIL,Charlotte,Knights,IL,Chw,Chw,Chw,Chw,Chw
HagSAL,Hagerstown,Suns,SAL,Nym,Was,Was,Was,Was
InlCAL,Inland Empire,66ers,CAL,Sea,Lad,Lad,Lad,Lad
TolIL,Toledo,Mud Hens,IL,Det,Det,Det,Det,Det
VisCAL,Visalia,Oaks,CAL,Tam,Ari,Ari,Ari,Ari
BurMDW,Burlington,Bees,MDW,Kan,Kan,Kan,Kan,Kan
StcNYP,State College,Spikes,NYP,St.,None,Pit,Pit,Pit
RenPCL,Reno,Aces,PCL,None,None,None,Ari,Ari
AndDSL,DSL Angels, ,DSL,None,None,None,Laa,Laa
HouGCL,GCL Astros, ,GCL,None,None,None,Hou,Hou
RddDSL,DSL Reds, ,DSL,None,None,None,Cin,Cin
LanMDW,Lansing,Lugnuts,MDW,Tor,Tor,Tor,Tor,Tor
MahNYP,Mahoning Valley,Scrappers,NYP,Cle,Cle,Cle,Cle,Cle
GstGCL,GCL Cardinals, ,GCL,None,St.,St.,St.,St.
LynCAR,Lynchburg,Hillcats,CAR,Pit,Pit,Pit,Pit,Cin
GinGCL,GCL Indians, ,GCL,Cle,Cle,Cle,None,None
AltEL,Altoona,Curve,EL,Pit,Pit,Pit,Pit,Pit
